     United Nations Global Compact,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
PRINCIPLES ,ACTIONS ,PAGE,
HUMAN RIGHTS,,,
Principle 1,,,
Protection of Human Rights ,Responsible Sourcing Program,2023 Sustainability Report page 23,
,,2023 Modern Slavery Statement,
Principle 2,,,
No Complicity in Human Rights Abuse,Responsible Sourcing Program,2023 Sustainability Report page 23,
,,2023 Modern Slavery Statement,
LABOUR,,,
Principle 3,,,
Freedom of Association and Collective Bargaining,Responsible Sourcing Program,2023 Sustainability Report page 23,
,Freedom of association and union engagement,2023 Modern Slavery Statement,
,,2023 Sustainability Data Pack - Diversity & Inclusion,
Principle 4,,,
Elimination of Forced and Compulsory Labour ,Responsible Sourcing Program,2023 Sustainability Report page 23,
,,2023 Modern Slavery Statement,
Principle 5,,,
Abolition of Child Labour ,Responsible Sourcing Program,2023 Sustainability Report page 23,
,,2023 Modern Slavery Statement,
Principle 6,,,
Elimination of Discrimination ,Diversity and equal opportunity,2023 Sustainability Report pages 20 – 23,
,,2023 Modern Slavery Statement,
,,2023 Sustainability Data Pack - Diversity & Inclusion,
ENVIRONMENT,,,
Principle 7,,,
Precautionary Approach,No explicit reference to precautionary approach,2023 GRI Index,
Principle 8,,,
Environmental Responsibility ,Planet,2023 Sustainability Report pages 28 - 41,
,,2023 Annual Report - Climate section,
Principle 9,,,
Environmentally Friendly Technologies,"Technology addressing climate change, water conservation, transport and packaging",2023 Sustainability Report pages 28 - 55,
,,2023 Annual Report - Climate section,
ANTI-CORRUPTION,,,
Principle 10,,,
Work against Corruption ,Anti-corruption,2023 GRI Index,
