Unnamed: 0,2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
139,,404-2 Programs for upgrading employee skills and transition assistance programs,2023 Sustainability Report pg 25\nPeople Goal 3 provides details on the most significant skill upgrade program for meaningful retail careers of today and tomorrow.\n\nA retirement planning toolkit is available as a resource for team members who are considering retirement.\n\nSupport is also providing for terminations under other conditions and varies according to the circumstances,,,,,,,,,,,,,,,,,,,,,,,
140,,404-3 Percentage of employees receiving regular performance and career development reviews,All employees are expected to receive regular feedback and have formal performance review conversations at least twice a year as well as development plan conversations. Internal reporting tracks completion of these through our people reporting systems.,,,,,,,,,,,,,,,,,,,,,,,
141,Diversity and equal opportunity,,,,,,,,,,,,,,,,,,,,,,,,,
142,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
143,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,2023 Sustainability data pack - Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,,
144,,405-2 Ratio of basic salary and remuneration of women to men,2023 Sustainability data pack - Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,,
145,Non-discrimination,,,,,,,,,,,,,,,,,,,,,,,,,
146,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
147,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,2023 Sustainability data pack - Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,,
148,Freedom of association and collective bargaining,,,,,,,,,,,,,,,,,,,,,,,,,
149,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
150,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,2023 Sustainability data pack - Diversity & Inclusion\n2023 Modern Slavery Statement\n\nhttps://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html,,,,,,,,,,,,,,,,,,,,,,,
151,Child labor,,,,,,,,,,,,,,,,,,,,,,,,,
152,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
153,GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,2023 Modern Slavery Statement\n\nhttps://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html,,,,,,,,,,,,,,,,,,,,,,,
154,Forced or compulsory labor,,,,,,,,,,,,,,,,,,,,,,,,,
155,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
156,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,2023 Modern Slavery Statement\n\nhttps://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html,,,,,,,,,,,,,,,,,,,,,,,
157,Security practices,,,,,,,,,,,,,,,,,,,,,,,,,
158,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
159,GRI 410: Security Practices 2016,410-1 Security personnel trained in human rights policies or procedures,2023 Modern Slavery Statement\n\nhttps://www.woolworthsgroup.com.au/au/en/sustainability/People/ethical---mutual-beneficial-partnerships.html\n\nWoolworths Group does not directly employ security personnel and compliance with Human Rights policy is included in contracts with third parties.,"part a, b",Information Unavailable / Incomplete,Direct team cover these topic areas under Code of Conduct training. External team such as contractors cover this topic in their trading agreement terms with Woolworths Group.,,,,,,,,,,,,,,,,,,,,
160,Rights of indigenous peoples,,,,,,,,,,,,,,,,,,,,,,,,,
161,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
162,GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,Woolworths Group Limited received several claims of discriminatory conduct involving Indigenous people during the reporting year. Woolworths Group has worked with the individuals to resolve areas of concern.,,,,,,,,,,,,,,,,,,,,,,,
163,Local communities,,,,,,,,,,,,,,,,,,,,,,,,,
164,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
165,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",2023 Sustainability Report pages 20 Ã¢ÂÂ 27,"part a i, ii, iii, iv, v, vi, vii, viii",Information incomplete,"Highlights of community engagement activities are contained in the 2023 Sustainability Report, however granular detail at the GRI disclosure level is not captured consistently or centrally",,,,,,,,,,,,,,,,,,,,
166,,413-2 Operations with significant actual and potential negative impacts on local communities,2023 Sustainability Report pages 20 Ã¢ÂÂ 27,"part a i, ii",,"Highlights of community engagement activities are contained in the 2023 Sustainability Report, however granular detail at the GRI disclosure level is not captured consistently or centrally",,,,,,,,,,,,,,,,,,,,
167,Supplier social assessment,,,,,,,,,,,,,,,,,,,,,,,,,
168,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
169,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,"All new suppliers are expected to adhere to ethical business conduct consistent with our own, and we are committed to working with them to fulfill this common goal and proactively address human rights.\nThe following documents outline these expectations\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/documents/group-responsibility/our-people/respecting-human-rights/126994_02_Responsible%20Sourcing%20Supplier%20Guidelines%20Update_A4_Dec_2022.pdf\n\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/documents/123008_01_Responsible%20Sourcing%20Policy_A4.pdf\n\nhttps://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/documents/196135_responsible-sourcing-standards.pdf",,,,,,,,,,,,,,,,,,,,,,,
170,,414-2 Negative social impacts in the supply chain and actions taken,2023 Modern Slavery Statement,,,,,,,,,,,,,,,,,,,,,,,
171,Public policy,,,,,,,,,,,,,,,,,,,,,,,,,
172,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
173,GRI 415: Public Policy 2016,415-1 Political contributions,2023 Sustainability data pack - Corporate governance,,,,,,,,,,,,,,,,,,,,,,,
174,Customer health and safety,,,,,,,,,,,,,,,,,,,,,,,,,
175,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
176,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,"We are committed to working closely with our suppliers, to provide our customers with a range of products they can trust to be safe and have consistent quality for them and their families.\n\nWe have developed the Supplier Excellence Program which is aimed at reducing auditing complexity associated with supplying Own Brand and Fresh Food products to us. Our Ã¢ÂÂSupplier Excellence Program defines all the safety and quality requirements for the supply of Woolworths' Ã¢ÂÂown-branded products.\nhttps://partnerhub.woolworthsgroup.com.au/s/article/Supplier-Excellence-Program-Consumer-Goods\n\nProduct recalls can be found at:\nhttps://www.woolworths.com.au/shop/discover/about-us/product-recalls",,,,,,,,,,,,,,,,,,,,,,,
177,,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,"During F23, there have been a small number of Woolworths own brand product recalls issued by Woolworths in accordance with Woolworths' product safety compliance systems and controls.\n\nFor Woolworths Supermarkets, Woolworths Chickpea and Falafel Salad and Woolworths Chicken Cobb salad were recalled due to possible contamination issue, this was an industry wide recall affecting other retailers as well. In addition, Woolworths Market Value Sausages were recalled due to the presence of foreign matter (plastic), Woolworths in-store made Fruit Hot Cross Buns 6 pack and 9 pack (Dural store only) for the presence of foreign matter (metal), and Woolworths Cookies & Cream ice cream sandwiches for the presence of foreign matter (metal).\n\nWoolworths actioned a recall of Hoyts Poppy Seeds in October 2022 due to a potential safety issue. The recalled product reentered Woolworths Supply chain in January 2023. The incident was investigated by NSW Department of Primary Industries (DPI) and Victoria Health. Woolworths was able to demonstrate that they were not at fault for the product reentering our supply chain, and moved quickly to remove the product from our supply chain once it was identified. \n\nFor BIG W, a pair of children's dungarees were recalled due to concerns in relation to safety of the fastening buttons.\n\nNo customer injuries or illness were reported in relation to the recalled products. No material or systemic issues have been identified and no regulatory action has been taken against Woolworths Group for these recalls.",,,,,,,,,,,,,,,,,,,,,,,
178,Marketing and labeling,,,,,,,,,,,,,,,,,,,,,,,,,
179,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
180,GRI 417: Marketing and Labeling 2016,417-1 Requirements for product and service information and labeling,Product safety standards and recalls\nhttps://www.woolworths.com.au/shop/discover/about-us/product-safety,,,,,,,,,,,,,,,,,,,,,,,
181,,417-2 Incidents of non-compliance concerning product and service information and labeling,"During F23, there were no material regulator actions against Woolworths Group for non-compliance concerning product and service information and labelling laws.",,,,,,,,,,,,,,,,,,,,,,,
182,,417-3 Incidents of non-compliance concerning marketing communications,There were no material incidents of non-compliance concerning marketing communications during the reporting period by Woolworths Group Limited or its employees.,,,,,,,,,,,,,,,,,,,,,,,
183,Customer privacy,,,,,,,,,,,,,,,,,,,,,,,,,
184,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
