Unnamed: 0,2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
47,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
48,GRI 202: Market Presence 2016,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,"Pay rates vary depending on the role, the state and the division. Most roles within Woolworths Limited are paid under the appropriate enterprise bargaining agreement or award",,,,,,,,,,,,,,,,,,,,,,,
49,,202-2 Proportion of senior management hired from the local community,,"part a, b, c, d",Information unavailable,Data is not held in people reporting systems,,,,,,,,,,,,,,,,,,,,
50,Indirect economic impacts,,,,,,,,,,,,,,,,,,,,,,,,,
51,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
52,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,Capital investments of physical infrastructure in nature such as stores and distribution centres are accounted for using standard accounting practices in the 2023 Annual Report.\nCommunity investment and services are summarised with some examples in the 2022 Sustainability Report pages 26 Ã¢ÂÂ 27,,,,,,,,,,,,,,,,,,,,,,,
53,,203-2 Significant indirect economic impacts,,"part a, b",Information unavailable,Data is not held in reporting systems,,,,,,,,,,,,,,,,,,,,
54,Procurement practices,,,,,,,,,,,,,,,,,,,,,,,,,
55,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
56,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,,"part a, b, c",confidentiality constraints,Some information is contained within the reporting suite and is commercially confidential at a Group level,,,,,,,,,,,,,,,,,,,,
57,Anti-corruption,,,,,,,,,,,,,,,,,,,,,,,,,
58,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
59,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,"For operations within standard business across the Group, we conduct risk assessments, incident investigations where relevant, internal and external audits of financial data, among other processes. Operations within the supply chain are covered by a dedicated Human Rights team.",,,,,,,,,,,,,,,,,,,,,,,
60,,205-2 Communication and training about anti-corruption policies and procedures,"Our Code of Conduct, Fraud, Anti-Bribery and Corruption Policy and team member Speak Up Program is communicated to all team members through mandatory training. All policies are available on the team member intranet. The implementation of policy commitments is supported by our Culture and People team and People Services, dedicated teams that provide specialised advice to team members on human resources issues",,,,,,,,,,,,,,,,,,,,,,,
61,,205-3 Confirmed incidents of corruption and actions taken,"During FY23, there were a small number of instances where certain Woolworths team members were found to not have complied with Woolworths' Fraud, Anti-bribery and Corruption policy. These incidents were non-systemic and resolved with disciplinary action.",,,,,,,,,,,,,,,,,,,,,,,
62,Anti-competitive behavior,,,,,,,,,,,,,,,,,,,,,,,,,
63,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
