Unnamed: 0,2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
93,,"304-2 Significant impacts of activities, products and services on biodiversity",,"part a i, ii, iii, iv, v, vi\npart b i, ii, iii, iv",Information incomplete,,,,,,,,,,,,,,,,,,,,,
94,,304-3 Habitats protected or restored,,"part a, b, c, d",Information incomplete,,,,,,,,,,,,,,,,,,,,,
95,,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,"part a i, ii, iii, iv, v",Information incomplete,,,,,,,,,,,,,,,,,,,,,
96,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,
97,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
98,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,"2023 Sustainability data pack - Scope 1+2 emissions - total scope 1 emissions were 482,624 tonnes\n\nGross direct scope 1 and 2 emissions are reported in the Sustainability data pack Scope 1+2 emissions section. In calculating Scope 1 emissions, CO2, CH4, HFC and N2O gases were included in the calculations. The calculation methodology and associated emission factors and global warming potentials are aligned with NGER Guidelines, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors. Refrigerant emissions were calculated using NGA emission factors and GWPs have been applied to supplier specific refrigerant blends. An operational control approach was adopted for calculating Scope 1 emissions.",part c,not applicable,Biogenic CO2 emissions have been deemed not applicable to the business due to nature of Woolworths Group principal activities and operations and the reporting of absolute scope 1 emissions.,,,,,,,,,,,,,,,,,,,,
99,,305-2 Energy indirect (Scope 2) GHG emissions,"2023 Sustainability data pack - total scope 2 emissions were 1,502,550 tonnes based on the location-based methodology and 1,458,957 tonnes based on the market-based methodology\n\nGross direct scope 1 and 2 emissions are reported in the Sustainability metrics section. In calculating Scope 2 emissions, CO2, CH4, HFC and N2O gases were included in the calculations. The calculation methodology and associated emission factors and global warming potentials are aligned with NGER Guidelines, NZ Ministry for the Environment - 2022 Emissions Measurement Guide and NGA emission factors. An operational control approach was adopted for calculating Scope 2 emissions.",,,,,,,,,,,,,,,,,,,,,,,
100,,305-3 Other indirect (Scope 3) GHG emissions,"2023 Sustainability data pack - Scope 3 emissions\n2023 Annual Report pages 42 Ã¢ÂÂ 43\n(a) Scope 3 emissions are estimated to be 29.7 million tonnes of CO2e\n(b) emission factors and assumptions used in scope 3 estimates include all gases\n(d) emission factors and assumptions used in scope 3 estimates include all categories\n(e) F23 data is used for most category calculations, with appropriate adjustments to the year of factor calculations. \n(f) ~81% of scope 3 emissions are in category 1. The calculation methodology for category 1 uses the latest available at the time of reporting emission factors. There is a moderate degree of overlap with Woolworths Group scope 1 emissions. \nPurchased items by Woolworths Group and not for resale to consumers are excluded from category 1 calculated value, these are expected to be small but meaningful proportion of overall category 1 scope 3 emissions, and will be investigated further in future years\n(g) guidance on calculation methodology used for each category and confidence level is provided with the Scope 3 table in the data pack",part c,Incomplete or Unavailable,"Scope 3 is based on aggregate estimates inclusive of all emission categories and not available at a granular level\n\nStandards, methodologies, assumptions and calculations will be further refined as project work is undertaken with priority categories of scope 3 emissions",,,,,,,,,,,,,,,,,,,,
101,,305-4 GHG emissions intensity,2023 Sustainability data pack - Scope 1+2 emissions,,,,,,,,,,,,,,,,,,,,,,,
102,,305-5 Reduction of GHG emissions,2023 Sustainability data pack - Scope 1+2 emissions,,,,,,,,,,,,,,,,,,,,,,,
103,,305-6 Emissions of ozone-depleting substances (ODS),,"part a, b, c, d",not applicable,Not identified within Woolworths Group,,,,,,,,,,,,,,,,,,,,
104,,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Emission sources are not itemised,"part a i, ii, iii, iv, v, vi, vii",not applicable,No significant amounts of these emissions within Group operations,,,,,,,,,,,,,,,,,,,,
105,Waste,,,,,,,,,,,,,,,,,,,,,,,,,
106,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report pages 10 Ã¢ÂÂ 13,,,,,,,,,,,,,,,,,,,,,,,
107,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,,"part a i, ii",Information incomplete,Available data is shown in the sustainability report. Waste management is an outsourced contract and GRI disclosure level reporting is out of scope for standard reports received by the Group,,,,,,,,,,,,,,,,,,,,
108,,306-2 Management of significant waste-related impacts,,"part a, b, c",Information incomplete,Available data is shown in the sustainability report. Waste management is an outsourced contract and GRI disclosure level reporting is out of scope for standard reports received by the Group,,,,,,,,,,,,,,,,,,,,
