    2023 GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement of use
",,Woolworths Group has reported in accordance with the GRI Standards for the period 1 July 2022 to 30 June 2023.,,,,,,,,,,,,,,,,,,,,,,,
GRI 1 used,,GRI 1: Foundation 2021,,,,,,,,,,,,,,,,,,,,,,,
Applicable GRI Sector Standard(s),,None applicable,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"GRI STANDARD/ 
OTHER SOURCE",DISCLOSURE,LOCATION / DETAILS,"OMISSION
",,,"GRI SECTOR STANDARD REF. NO.
",,,,,,,,,,,,,,,,,,,
,,,"REQUIREMENT(S) 
OMITTED","REASON
","EXPLANATION
",,,,,,,,,,,,,,,,,,,,
GENERAL DISCLOSURES,,,,,,,,,,,,,,,,,,,,,,,,,
"GRI 2: General Disclosures 2021





























































",2-1 Organizational details,"Woolworths Group Limited is a publicly listed company. 
Group Headquarters are located at 1 Woolworths Way Bella Vista NSW 2153
Operations are predominately across Australia and New Zealand with a small presence in Asia","A gray cell indicates that reasons for omission are not permitted for the disclosure or that a GRI Sector Standard reference number is not available.


",,,,,,,,,,,,,,,,,,,,,,
,2-2 Entities included in the organization’s sustainability reporting,2023 Sustainability Report incorporates all wholly owned businesses as of the reporting date unless stated otherwise,,,,,,,,,,,,,,,,,,,,,,,
,"2-3 Reporting period, frequency and contact point","The reporting period is from 1 July 2022 to 30 June 2023, or 27 June 2022 to 25 June 2023 (F23) if metric is based on weekly sales, and the reporting frequency is annual. Contact point details are in the Sustainability Report under the Company Directory on page 61.",,,,,,,,,,,,,,,,,,,,,,,
,2-4 Restatements of information,"Due to material changes to the Group, prior periods have been restated to exclude the demerged Endeavour business and, where stated, to include the majority owned businesses acquired during the period.",,,,,,,,,,,,,,,,,,,,,,,
,2-5 External assurance,"External assurance statement: Available from Group website
https://www.woolworthsgroup.com.au/au/en/investors/our-performance/reports.html",,,,,,,,,,,,,,,,,,,,,,,
,"2-6 Activities, value chain and other business relationships","2023 Woolworths Group Annual Report for business activities.
",,,,,,,,,,,,,,,,,,,,,,,
,2-7 Employees,2023 Sustainablity data pack - Workforce movements,,,,,,,,,,,,,,,,,,,,,,,
,2-8 Workers who are not employees,"2023 Sustainablity data pack - Workforce movements
The significant portion of Woolworths Group activities are performed by workers who are employees",,,,,,,,,,,,,,,,,,,,,,,
,2-9 Governance structure and composition,"2023 Annual report
Corporate Governance Statement
Woolworths Group website: www.woolworthsgroup.com.au",,,,,,,,,,,,,,,,,,,,,,,
,2-10 Nomination and selection of the highest governance body,"2023 Annual report
Corporate Governance Statement
Woolworths Group website: www.woolworthsgroup.com.au",,,,,,,,,,,,,,,,,,,,,,,
,2-11 Chair of the highest governance body,"2023 Annual report
Corporate Governance Statement
Woolworths Group website: www.woolworthsgroup.com.au",,,,,,,,,,,,,,,,,,,,,,,
,2-12 Role of the highest governance body in overseeing the management of impacts,"Sustainability Committee Charter
https://www.woolworthsgroup.com.au/content/dam/wwg/about-us/updated-policies-/Woolworths%20Group%20Sustainability%20Committee%20Charter%20(August%202022).pdf",,,,,,,,,,,,,,,,,,,,,,,
,2-13 Delegation of responsibility for managing impacts,"Woolworths Group Board of Directors Charter and delegation to the Sustainability Committee
https://www.woolworthsgroup.com.au/content/dam/wwg/about-us/documents/Woolworths%20Group%20Board%20Charter%20(Approved%2023%20September%202021).pdf",,,,,,,,,,,,,,,,,,,,,,,
,2-14 Role of the highest governance body in sustainability reporting,"Sustainability Committee Charter
https://www.woolworthsgroup.com.au/content/dam/wwg/about-us/updated-policies-/Woolworths%20Group%20Sustainability%20Committee%20Charter%20(August%202022).pdf",,,,,,,,,,,,,,,,,,,,,,,
,2-15 Conflicts of interest,"2023 Annual report
Corporate Governance Statement
Woolworths Group website: www.woolworthsgroup.com.au",,,,,,,,,,,,,,,,,,,,,,,
,2-16 Communication of critical concerns,Critical concerns are communicated formally to the Sustainability Committee on a cadence through both a narrative update and a metric driven scorecard update on the key 2025 Sustainability Plan goals and commitments. Critical concerns are raised within this reporting cadence.,,,,,,,,,,,,,,,,,,,,,,,
,2-17 Collective knowledge of the highest governance body,"Board skills and experience is located in the Annual Report.
Knowledge is advanced through the use of detailed updates provided to the Sustainability Committee across a broad range of sustainability topics which have either direct or indirect links back to sustainable development. Both internal and external expertise is sought to provide relevant and timely information to Sustainability Committee",,,,,,,,,,,,,,,,,,,,,,,
,2-18 Evaluation of the performance of the highest governance body,"Woolworths Group Board of Directors Charter and performance evaluation
https://www.woolworthsgroup.com.au/content/dam/wwg/about-us/documents/Woolworths%20Group%20Board%20Charter%20(Approved%2023%20September%202021).pdf",,,,,,,,,,,,,,,,,,,,,,,
,2-19 Remuneration policies,Remuneration report is contained in the Annual Report and the remuneration process is outlined in the Corporate Governance Statement,,,,,,,,,,,,,,,,,,,,,,,
,2-20 Process to determine remuneration,Remuneration report is contained in the Annual Report and the remuneration process is outlined in the Corporate Governance Statement,,,,,,,,,,,,,,,,,,,,,,,
,2-21 Annual total compensation ratio,"Calculated on total F23 remuneration of CEO from 2023 Annual Report divided by average salaries shown in the diversity & inclusion section of this data pack, at a ratio of managerial and non managerial roles.

Total compensation ratio for F23 is 123:1 which is a decrease of 2.8% compared with F22 ratio",,,,,,,,,,,,,,,,,,,,,,,
,2-22 Statement on sustainable development strategy,"Contained within the 2025 Sustainability Plan
https://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/documents/sustainability-plan/Woolworths_Group_Sustainability_Plan_2025_v2.0_2022.pdf",,,,,,,,,,,,,,,,,,,,,,,
,2-23 Policy commitments,"Policy Commitments are contained across several key artefacts including:
2025 Sustainability Plan
2023 Modern Slavery Statement
2023 Sustainability Report
2023 Corporate Governance Statement",part a iii,Not applicable,"Woolworths Group does not make a specific statement on precautionary principles, but commitments to addressing climate change and deforestation are applicable.",,,,,,,,,,,,,,,,,,,,
,2-24 Embedding policy commitments,"Policy Commitments implementation as well as progress and status is updated annually across our key reports:
2023 Modern Slavery Statement
2023 Sustainability Report
2023 Corporate Governance Statement",,,,,,,,,,,,,,,,,,,,,,,
,2-25 Processes to remediate negative impacts,"Grievance and remediation mechanisms are outlined in the Woolworths Group Responsible Sourcing Grievance Process Woolworths Group is also a signatory to the United Nations Global Compact highlighting our commitment to the core values of human rights, labour standards, protecting the environment and anti-corruption
Woolworths Group has an ethics reporting service (Speak Up) as well as a whistleblowing process, and actively encourages current and former team members, suppliers and their families to report wrongdoing and breaches of the law. ",,,,,,,,,,,,,,,,,,,,,,,
,2-26 Mechanisms for seeking advice and raising concerns,"Team Members
Our team is a top priority at Woolworths Group. This is why we strive to create a supportive environment that ensures everyone can feel valued, respected and have the opportunity to thrive. 
As part of this commitment, our Team Member Speak Up service offers an independent avenue (external to Woolworths Group) where matters can be raised confidentially if team members ever feel that a concern can’t be dealt with internally. 
Team Member Speak Up Policy 

Suppliers
At Woolworths, we are committed to open and positive relationships with all of our suppliers. 
We recognise, however, that a situation may arise where a supplier feels an important concern can’t be dealt with directly with us, and where the supplier would prefer to use an independent and confidential avenue for raising the concern. We have created the Supplier Speak Up Service for this purpose.
Suppliers (or their workers) can contact Supplier Speak Up online or by the toll-free numbers. If required, interpreters are available in other languages.

Supplier Speak Up Policy",,,,,,,,,,,,,,,,,,,,,,,
,2-27 Compliance with laws and regulations,"Over the reporting period, we identified non compliances with specific provisions of Australian enterprise agreements. Proceedings against Woolworths Group commenced by FWO in F21 remain in progress. A small number of other, lower materiality non-compliances were identified in the reporting period, and resolved independently or are the subject of ongoing engagement with the relevant regulator.",,,,,,,,,,,,,,,,,,,,,,,
,2-28 Membership associations,2023 Sustainablity data pack - Industry associations,,,,,,,,,,,,,,,,,,,,,,,
,2-29 Approach to stakeholder engagement,2023 Sustainability Report pg 10 - 11,,,,,,,,,,,,,,,,,,,,,,,
,2-30 Collective bargaining agreements,2023 Sustainablity data pack - Diversity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,
Material topics,,,,,,,,,,,,,,,,,,,,,,,,,
GRI 3: Material Topics 2021,3-1 Process to determine material topics,"Woolworths Group regularly reviews the most material environmental, social and governance issues affecting our business. This is done in collaboration with our key stakeholders, customers and team by listening to their concerns and issues. Through understanding the interests and expectations of our stakeholders and what matters to them, we identify and prioritise issues that have the highest priority to both our stakeholders and to the business.

Our materiality assessments were revised in F22, building on previous work. This process was undertaken using the following steps:
- Review of existing material matters and identified risks
- Desktop review using resources such as industry frameworks, peer sustainability disclosures, traditional and social media analysis
- A review of global megatrends evaluating longer term and potentially disruptive trends
- Interviews with key internal and external stakeholders
- Consideration of a lens of earth’s Planetary Boundaries as defined by the Stockholm Resilience Centre (‘SRC’)
- Management and Board level reviews.

A further review was undertaken in F23 as part of our annual strategy cycle",A gray cell indicates that reasons for omission are not permitted for the disclosure or that a GRI Sector Standard reference number is not available.,,,,,,,,,,,,,,,,,,,,,,
