Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
74,,102.0,General Disclosures,102-56,External assurance,,Regulatory monitoring,,,Lynas Rare Earth,2023.0,"Monitoring regulatory compliance and obtaining external assurance are crucial aspects of Lynas Rare Earth's commitment to transparency, responsible business practices, and environmental stewardship.",,,2,5,,,"Assurance, regulatory, monitoring",17,"E, S",,,,,,,,,,,,,,,
75,,102.0,General Disclosures,102-56,External assurance,,Department of Mines Industry Regulation and Safety reporting,,,Lynas Rare Earth,2023.0,"Lynas Rare Earth provides report requirements to the Department of Mines, Industry Regulation and Safety, to specific protocols and provides accurate and timely information. This regulatory authority and a proactive approach to compliance will contribute to positive relationships and demonstrate Lynas Rare Earth's commitment to responsible mining practices.",,,2,5,,,"Assurance, safety, regulatory",8.12,"E, S",,,,,,,,,,,,,,,
76,,102.0,General Disclosures,102-56,External assurance,,National Greenhouse and Energy Reporting,,,Lynas Rare Earth,2023.0,"National Greenhouse and Energy Reporting (NGER) is a regulatory framework in Australia that requires certain corporations to report on their greenhouse gas emissions, energy consumption, and production. If Lynas Rare Earth is subject to NGER reporting, the Company must comply with the reporting requirements outlined by the Clean Energy Regulator.",,,2,5,,,"Assurance, greenhouse, energy",71213,E,,,,,,,,,,,,,,,
77,,102.0,General Disclosures,102-56,External assurance,,Tailings facility audits,,,Lynas Rare Earth,2023.0,"Tailings facility audits are critical to responsible mining practices, ensuring the safe management and containment of tailings produced during mining operations. Tailings are waste materials left after extracting valuable minerals from ore, and their proper containment is essential to prevent environmental harm.",,,2,5,,,"Assurance, tailings, audit",7.12,E,,,,,,,,,,,,,,,
78,,103.0,Management Approach,103-01,Explanation of the material topic and its Boundary,"Determining FY23 material issues comprised four key steps: research, identification, prioritization and validation. A cross-functional team conducted this process to ensure that we considered the full scope of the effects of our activities, both within our operations and externally, through interactions with investors, customers, communities, suppliers, the broader industry and others.",,,,Lynas Rare Earth,2023.0,,,,2,8,,,,,,,,,,,,,,,,,,,,
79,,103.0,Management Approach,103-02,The management approach and its components,"The FY23 Lynas Rare Earths Corporate Governance Statement outlines the skills and experiences each Board member contributes to their independence, tenure, responsibilities for the entire Board and its committees, and other significant Board positions.",,,,Lynas Rare Earth,2023.0,,,,2,8,,,,,,,,,,,,,,,,,,,,
80,,103.0,Management Approach,103-03,Evaluation of the management approach,"The Lynas Diversity Policy recognizes and champions diversity, ensuring a broad range of perspectives, experience and expertise. The Policy includes requirements for the Board to establish measurable objectives for achieving gender diversity in the composition of the Board, senior executives and the workforce generally and for the Board to assess, on an annual basis, the objectives and progress in achieving them.",,,,Lynas Rare Earth,2023.0,,,,2,8,,,,,,,,,,,,,,,,,,,,
81,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,Lynas Community Policy,,,Lynas Rare Earth,2023.0,The Lynas Community Policy outlines our commitment to employing local people and sourcing from local businesses. The Lynas Way includes striving to create shared value through economic development and working with our host communities to address concerns and share the benefits of our operations.,,,2,34,,,"Community, policy, local people",8,S,,,,,,,,,,,,,,,
82,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,Local Engagement,,,Lynas Rare Earth,2023.0,Lynas approach to local engagement includes information and consultation with local communities and partnerships with community organizations and educational institutions. Lynas engages and consults with local communities and other interested parties regarding environmental approvals and undertakes Social Impact Assessments to determine the effects of these operations on local communities.,,,2,34,,,"Local people, engagement, economy","8, 17",S,,,,,,,,,,,,,,,
83,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,Investing in product & Process R&D,,,Lynas Rare Earth,2023.0,"Lynas Rare Earth is used in future-facing technologies designed to lower emissions, reduce energy consumption, and improve efficiency, performance, speed, durability, and thermal stability. Lynas also collaborates with leading universities and research institutions in Australia and Malaysia on R&D projects.",,,2,36,,,"Investation, product, R&D",8,S,,,,,,,,,,,,,,,
