Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
148,,306.0,Waste,306-05,Waste directed to disposal,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
149,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
150,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,"There was compliance regarding environmental laws and regulations. It includes a Human Rights Policy, an employee Code of Conduct, and a Supplier Sustainability Policy.",,,,Lynas Rare Earth,2023.0,,,,4,20,,,,,,,,,,,,,,,,,,,,
151,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
152,,401.0,Employment,401-01,New employee hires and employee turnover,"In FY23, the employment market remained strong in both Lynas' and Lynas' operating jurisdictions, and our company-wide turnover rate for FY23 was 8.7%.",,,,Lynas Rare Earth,2023.0,,,,4,35,,,,,,,,,,,,,,,,,,,,
153,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"In Malaysia, Lynas offer flexible working hours for non-operation employees, maternity leave above statutory requirements, part-time work transition from maternity leave, paternity leave and health schemes. Lynas Malaysia also operates a childcare facility for the children of Lynas Malaysia team members.",,,,Lynas Rare Earth,2023.0,,,,4,17,,,,,,,,,,,,,,,,,,,,
154,,401.0,Employment,401-03,Parental leave,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
155,,401.0,Employment,401-03,Parental leave,,,Full pay for the first 18 weeks,,Lynas Rare Earth,2023.0,"In Australia, Lynas Rare Earths reported under the Workplace Gender Equality Act (WGEA) for the year ending 31 March 2023 for Lynas Rare Earths' Australian operations. Total pay for the first 18 weeks of parental leave to Lynas employees with 12 months continuous service and who will be responsible for the child's primary care (biological or adoption related).",,,4,17,,,"Benefit, 18 weeks, parental",1,G,,,,,,,,,,,,,,,
156,,401.0,Employment,401-03,Parental leave,,,Full pay for three weeks,,Lynas Rare Earth,2023.0,"Lynas values its people and recognizes the dignity that comes from fair compensation. The total pay for three weeks of parental leave to Lynas employees is with 12 months of continuous service to support their dependents where an employee's partner, de facto spouse, has given birth to a child and is the primary caregiver.",,,4,17,,,"Benefit, 3 weeks, parental",1,G,,,,,,,,,,,,,,,
157,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
158,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
159,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Lynas Safety Reporting,,,Lynas Rare Earth,2023.0,Lynas' safety reporting is aligned with the ISO 45001 (Occupational Health and Safety Management) guidelines for recording and reporting occupational injuries and illnesses. There were no workplace fatalities or prosecutions in FY23 across all operating sites (Malaysia and Western Australia).\t,,,4,18,,,"HSE, safety, health",3.12,"E, S",,,,,,,,,,,,,,,
160,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Additional Education and Training,,,Lynas Rare Earth,2023.0,Additional education and training initiatives to facilitate improved performance are ongoing. Further education and training are crucial to ensure that the extraction and processing of rare earths are conducted in an environmentally responsible and safe manner.,,,4,18,,,"HSE, education, training",3.12,"E, S",,,,,,,,,,,,,,,
161,,403.0,Occupational Health and Safety,403-03,Occupational health services,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
162,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
163,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
164,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,First Aid Training,,Lynas Rare Earth,2023.0,"First aid training is designed to equip individuals with the knowledge and skills needed to provide immediate and initial assistance in the event of an injury or illness. The primary goal of first aid is to preserve life, prevent the condition from worsening, and promote recovery until professional medical help arrives.",,,4,,,,"HSE, first aid, training",3.4,S,,,,,,,,,,,,,,,
