Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,
1,,102.0,General Disclosures,102-01,Name of the organization,Lynas Rare Earths Limited (Lynas).,,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,
2,,102.0,General Disclosures,102-02,"Activities, brands, products, and services","Lynas is the only significant producer of separated rare earths. Lynas'Lynas' rare earth products include Neodymium and Praseodymium (NdPr) used in magnets, Lanthanum (La), Cerium (Ce) and a Mixed Heavy Rare Earths compound (SEG).",,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,
3,,102.0,General Disclosures,102-03,Location of headquaters,"Lynas Rare Earths Limited (Lynas) is headquartered in Perth, Western Australia.",,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,
4,,102.0,General Disclosures,102-04,Location of operations,"Lynas Rare Earths Limited (Lynas) operates in Australia, Malaysia, and The United States of America.",,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,
5,,102.0,General Disclosures,102-05,Ownership and legal form,Lynas Rare Earths Limited's (Lynas) largest shareholders are individual investors with 57% ownership. Institutions own 43%.,,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,"Lynas Rare Earths Limited's (ASX:LYC) largest shareholders are individual investors with 57% ownership, institutions own 43% - Simply Wall St News",,,,,,,,,,,,,
6,,102.0,General Disclosures,102-06,Markets served,"The key markets for these materials are manufacturing supply chains in East Asia, Europe and North America.",,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,
7,,102.0,General Disclosures,102-07,Scale of the organization,"Lynas Rare Earth Limited is a multinational company that operates in Australia, Malaysia, and the USA.",,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,
8,,102.0,General Disclosures,102-08,Information on employees and other workers,"Lynas employed 1102 people across Malaysia and Australia. Our employees include geologists, engineers, metallurgists, tradespeople, process technicians and others in support functions across both operating sites (Mt Weld and Gebeng) as well as professional and administrative functions undertaken at our offices in Perth, Western Australia and Kuala Lumpur, Malaysia.",,,,Lynas Rare Earth,2023.0,,,,1,34,,,,,,,,,,,,,,,,,,,,
9,,102.0,General Disclosures,102-09,Supply chain,Lynas is the only significant producer of separated rare earths outside of China.,,,,Lynas Rare Earth,2023.0,,,,1,6,,,,,,,,,,,,,,,,,,,,
