Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
185,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Modern slavery training session,,,Lynas Rare Earth,2023.0,"The FY22 Modern Slavery Statement (released in FY23) was to hold a modern slavery training session for Malaysian and international suppliers to build capacity in this area. A webinar was held with over 80 suppliers attending. A post-event survey found that before the webinar, 60% of attendees who completed the survey rated their understanding of modern slavery as limited and 40% as good.","Following the webinar, 70% of attendees rated their understanding good, and 30% rated their knowledge as excellent. All respondents said they understood how Lynas and our suppliers play a role in preventing modern slavery.",,4,20,,,"Rights, modern slavery, training",3.4,S,,,,,,,,,,,,,,,
186,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Human Rights Policy,,,Lynas Rare Earth,2023.0,"Lynas is a signatory to the United Nations Global Compact. This human rights policy includes protecting human rights and eliminating all forms of forced and compulsory labour as part of its Ten Principles. In FY23, Lynas participated in several U.N. Global Compact education sessions on human rights.",,,4,20,,,"Human rights, UNGC, forced labour",3.4,S,,,,,,,,,,,,,,,
187,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Employee Code of Conduct,,,Lynas Rare Earth,2023.0,"Employee code of conduct related to ethical behaviour, professional conduct, compliance with laws and regulations, and any specific guidelines relevant to Lynas rare earth.",,,4,20,,,"Code of conduct, ethical behaviour, professionalism",3.4,S,,,,,,,,,,,,,,,
188,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Supplier Sustainability Policy,,,Lynas Rare Earth,2023.0,"Supplier Sustainability Policy to mitigate the risks of modern slavery at our operations and in our supply chains, which requires all suppliers to agree to respect the fundamental rights of employees. Lynas assessed the policy for local and international suppliers.",,,4,20,,,"Rights, Supplier, Policy",3.4,S,,,,,,,,,,,,,,,
189,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,"Health, Safety and Environmental Protection Standard",,,Lynas Rare Earth,2023.0,"Health, Safety and Environmental Protection Standards are critical components of any responsible mining and processing operation, and companies often have detailed policies and procedures to ensure compliance with health, safety, and environmental regulations. It's crucial to mitigate potential risks and minimize the environmental impact.",,,4,20,,,"HSE, rights, protection",3.4,"E, S",,,,,,,,,,,,,,,
190,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Anti Conflict Minerals,,,Lynas Rare Earth,2023.0,"Lynas is unwavering in its stance against conflict minerals, taking a proactive initiative to combat modern slavery and unethical sourcing practices. Through a dedicated commitment to responsible mineral supply chains, Lynas is actively working to ensure that its operations remain free from materials associated with human rights abuses or funding linked to conflicts.",,,4,20,,,"Slavery, conflict, minerals",3.4,S,,,,,,,,,,,,,,,
191,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,"Lynas is a signatory to the United Nations Global Compact, which includes protecting human rights and eliminating all forms of forced and compulsory labour as part of its Ten Principles. In FY23, Lynas participated in several UN Global Compact education sessions on human rights and the environment.",,,,Lynas Rare Earth,2023.0,,,,4,20,,,,,,,,,,,,,,,,,,,,
192,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
193,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Laverton Cross Cultural \nAssociation (LCCA),,Lynas Rare Earth,2023.0,"The Laverton Cross Cultural Association (LCCA) is a not-for-profit organization based in Laverton in the Northern Goldfields of W.A. Funded through contributions from several mining companies operating in the region, the LCCA is a partnership between the mining industry, Aboriginal organizations and the Laverton community.",,,4,41,,,"Communities, Laverton, Cross",11,S,,,,,,,,,,,,,,,
194,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Shire of Laverton,,Lynas Rare Earth,2023.0,"Lynas initiative to make the Shire of Laverton and Lynas employees volunteer for community events and other Shire of Laverton initiatives each year, including Clean Up Laverton Day and Laverfest.",,,4,41,,,"Communities, Laverton, Shire",11,S,,,,,,,,,,,,,,,
195,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Supporting women \nand children,,Lynas Rare Earth,2023.0,"Lynas is assisting the Laverton-based One Tree Laverton Crisis Intervention Service in providing essential services for women and children. $5,000 donations were presented to One Tree Laverton and the Goldfields Women's Health Care Centre at Lynas' inaugural International Women's Day event in Kalgoorlie.",,,4,41,,,"Communities, Woman, Children",1311,S,,,,,,,,,,,,,,,
196,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Kalgoorlie community \nawards and events,,Lynas Rare Earth,2023.0,"Lynas sponsors the Goldfields Sports Awards and the Central Regional TAFE Vocational Student of the Year award. Sponsorship of community events, including Lorna Mitchell Spring Festival, Christmas in the Park and NAIDOC Youth Ball.",,,4,41,,,"Communities, Kalgoorlie, Events",3411,S,,,,,,,,,,,,,,,
197,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Kalgoorlie-Boulder \nUrban Landcare \nGroup (KBULG),,Lynas Rare Earth,2023.0,"In FY23, Lynas announced a 3-year, $150,000 partnership with the Kalgoorlie-Boulder Urban Landcare Group (KBULG), the premier community environmental organization in Kalgoorlie-Boulder. The partnership will support KBULG programs and initiatives, including the annual tree-planting day, supported by Lynas employee participation in FY23.",,,4,41,,,"Communities, Kalgoorlie, Landcare",111315,"E,S",,,,,,,,,,,,,,,
198,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Laverton sports,,Lynas Rare Earth,2023.0,Lynas' support for employee memberships and team activities at the Laverton Sports Club and sponsorship of the Laverton Cycling Program is designed to engage Laverton's young people in a fun learning experience.,,,4,41,,,"Communities, Laverton, Sport",3.11,S,,,,,,,,,,,,,,,
199,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Education scholarship,,Lynas Rare Earth,2023.0,"Lynas provide a scholarship amounting to $55,000, a 5-year commitment to Curtin University's Moorditj Yorga Scholarship to support mature-aged First Nations women to attain an undergraduate degree at Curtin, with priority to be given to women from the Goldfields region.",,,4,41,,,"Communities, Education, Scholarship",3411,S,,,,,,,,,,,,,,,
200,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Lynas Local Giving \nProgram,,Lynas Rare Earth,2023.0,"Lynas Local Giving Program to help meet the needs of grassroots community organizations with $500 donations. To date, 20 organizations have received grants to continue their great work, including Goldfields Giants Women's NBL, Days for Girls, Eastern Goldfields Netball Association, Retirees WA (Coolgardie), Kanyana Wildlife Rehabilitation Centre, Fairbridge College, Goldfields Community Legal Centre, Goldfields Women's Refuge, Boulder City Football Club, Salvation Army Kalgoorlie Boulder, Spartans Basketball Club, and Mines Hockey Club.",,,4,41,,,"Communities, Grassroots, Local",1311,S,,,,,,,,,,,,,,,
201,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Annual back-to-school program,,Lynas Rare Earth,2023.0,"Lynas's Annual Back to School Program aims to support underprivileged children within the Company's community. This initiative involves providing uniforms and educational materials, ensuring disadvantaged children have the necessary resources to pursue their education effectively.",,,4,42,,,"Communities, Schools, Annual",4.11,S,,,,,,,,,,,,,,,
202,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Recycling program and free health screening,,Lynas Rare Earth,2023.0,"The Recycling Program reflects Lynas' commitment to environmental stewardship by encouraging the responsible disposal and reuse of materials. Simultaneously, the Free Health Screening initiative underscores Lynas' dedication to community health by providing cost-free health assessments, ensuring that individuals access essential preventive healthcare services.",,,4,42,,,"Communities, Recycling, Screening",3.11,S,,,,,,,,,,,,,,,
