Unnamed: 0,Unnamed: 0.1,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
78,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,302.0,Energy,302-01,Energy consumption within the organization,"The total stationary energy used in FY23 was 8,877 Tj.",,,,Orica,2023.0,,,,2,,49,,,,,,,,,,,,,,,,,,,,
81,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,302.0,Energy,302-03,Energy intensity,Energy intensity FY23 was 5.4 GJ/t AN sold.,,,,Orica,2023.0,,,,2,,49,,,,,,,,,,,,,,,,,,,,
83,,302.0,Energy,302-04,Reduction of energy consumption,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,302.0,Energy,302-04,Reduction of energy consumption,,,LED lighting,,Orica,2023.0,"LED lighting is known for its energy efficiency, converting more energy into light while producing minimal heat. It contributes to cost savings and aligns with Orica's commitment to reducing its carbon footprint. Additionally, the longer lifespan of LED lights reduces the frequency of replacements, further minimising environmental impact.",,,,,10,,"LED lighting, Sustainability performance, lower-carbon technologies",2024-07-13 00:00:00,S,,,,,,,,,,,,,,,,
85,,302.0,Energy,302-04,Reduction of energy consumption,,,Lithium-ion batteries,,Orica,2023.0,"The adoption of lithium-ion batteries by companies, including potentially Orica, typically represents a move toward more efficient and sustainable energy solutions. Lithium-ion batteries are known for their high energy density, longer lifespan, and lower environmental impact than traditional battery technologies. They are commonly used in various applications, including electric vehicles, renewable energy storage, and portable electronic devices.",,,,,10,,"Lithium-ion batteries, Sustainability performance, lower-carbon technologies",2024-07-13 00:00:00,S,,,,,,,,,,,,,,,,
86,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"Orica's assessment of physical climate risks identifies water stress as a critical risk hazard. With competition for water resources increasing globally due to multiple pressures, particularly climate change, population growth and pollution, we are expanding our focus on optimising our water use.",,,,Orica,2023.0,,,,2,,66-67,,,,,,,,,,,,,,,,,,,,
88,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Cooling Water Supply,,,Orica,2023.0,"Cooling Water Supply Management is critical to industrial operations, ensuring efficient and sustainable water use for temperature control in various processes. In line with environmental responsibility, many companies implement strategies to optimise cooling water usage, minimise water consumption, and adhere to regulatory standards.",,,2,,66-67,,"Cooling Water Supply, project updating, Kooragang Island site",2024-06-14 00:00:00,S,,,,,,,,,,,,,,,,
89,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Recycle Water,,,Orica,2023.0,"Recycling water is a sustainable and environmentally conscious practice that involves treating and reusing water for various purposes. Companies, including potentially Orica, may implement water recycling initiatives as part of their commitment to responsible water management and conservation.",,,2,,66-67,,"Recycle Water, Kooragang Island, management of freshwater",2024-06-14 00:00:00,S,,,,,,,,,,,,,,,,
90,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,MCi Partnership,,,Orica,2023.0,"MCi is a pioneering carbon capture and utilisation start-up, forging a strategic partnership with Orica to address environmental challenges and promote sustainable practices. This innovative collaboration involves the utilisation of waste carbon dioxide sourced from Orica's operations in conjunction with alkaline materials through a proprietary process.",,,2,,66-67,,"MCi Partnership, Mineral Carbonation International, carbon capture",2024-06-14 00:00:00,S,,,,,,,,,,,,,,,,
91,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Alpha HPA,,,Orica,2023.0,"High-purity alumina is critical in producing advanced materials, including LEDs, lithium-ion batteries, and synthetic sapphire. These materials are integral to cutting-edge technologies supporting the global decarbonisation transition.",,,2,,66-67,,"Alpha HPA, equity position, 70 per cent lower",2024-06-14 00:00:00,S,,,,,,,,,,,,,,,,
92,,303.0,Water and Effluents,303-03,Water withdrawal,Total water withdrawal FY2 was 9.92 million kL.,,,,Orica,2023.0,,,,2,,66-67,,,,,,,,,,,,,,,,,,,,
93,,303.0,Water and Effluents,303-04,Water discharge,The total potable water intensity for FY23 was 1.57 kL/tonne AN.,,,,Orica,2023.0,,,,2,,66-67,,,,,,,,,,,,,,,,,,,,
94,,303.0,Water and Effluents,303-05,Water consumption,Gross water consumption fell three per cent to 8.35 million kL.,,,,Orica,2023.0,,,,2,,66-67,,,,,,,,,,,,,,,,,,,,
95,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,MEIR Program,,,Orica,2023.0,"If implemented by Orica, the Material Environmental Issues Review (MEIR) program is likely a strategic initiative to systematically assess and address environmental issues related to the materials used in its operations. This program would involve a comprehensive review of the environmental impact of materials throughout their lifecycle, from extraction or procurement to disposal.",,,2,,66,,"MEIR Program, Material Environmental Issues Review, some jurisdictions",15,E,,,,,,,,,,,,,,,,
96,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Nature Action 100,,,Orica,2023.0,"Nature Action 100, a global investor engagement initiative focused on nature and biodiversity, has identified Orica as one of the first 100 companies to be included in its investor engagement process. We will engage proactively and constructively with Nature Action 100 in due course and evolve our disclosures over time.",,,2,,66,,"Nature Action 100, nature and biodiversity, 100 companies",15,E,,,,,,,,,,,,,,,,
97,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Kooragang Island Tertiary Abatement project,,,Orica,2023.0,"Projects often involve advanced technologies and processes to minimise environmental impacts further, improve air quality, and meet or exceed regulatory standards. It could include implementing state-of-the-art abatement technologies, process optimisations, or other initiatives to enhance the sustainability of Orica's operations on Kooragang Island.",,,2,,28,,"Kooragang Island Tertiary Abatement project, 48 per cent, Scope 1 and 2 emissions",15,E,,,,,,,,,,,,,,,,
98,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Bio-based renewable emulsifier,,,Orica,2023.0,"This initiative underscores our dedication to continuous improvement and proactive approach to mitigating the environmental footprint of our operations. By integrating bio-based feedstock and conducting a thorough Life Cycle Assessment, we strive to meet and exceed environmental standards, ensuring that our products contribute positively to a more sustainable and eco-friendly future.",,,2,,65,,"Bio-based renewable emulsifier, feedstock, life cycle assessment",15,E,,,,,,,,,,,,,,,,
99,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"Orica's net operational Scope 1 and 2 GHG emissions for FY2023 were 1,704 ktCO2-e32.",,,,Orica,2023.0,,,,3,,62-64,,,,,,,,,,,,,,,,,,,,
102,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Orica's net operational Scope 1 and 2 GHG emissions for FY2023 were 1,704 ktCO2-e32.",,,,Orica,2023.0,,,,3,,62-64,,,,,,,,,,,,,,,,,,,,
103,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Orica's net operational Scope 3 GHG emissions for FY2023 were 1,034 ktCO2-e32.",,,,Orica,2023.0,,,,3,,62-64,,,,,,,,,,,,,,,,,,,,
104,,305.0,Emissions,305-04,GHG emissions intensity,"Global emissions intensity (net Scope 1, 2 and 336) (tCO2-e/t AN sold) FY23 was 1.59.",,,,Orica,2023.0,,,,3,,62-64,,,,,,,,,,,,,,,,,,,,
105,,305.0,Emissions,305-05,Reduction of GHG emissions,,2050 net zero ambition,,,Orica,2023.0,Orica's 2050 Net Zero Ambition is a forward-looking commitment that underscores the company's dedication to addressing climate change and achieving carbon neutrality by the year 2050. This ambitious goal reflects Orica's proactive stance in contributing to global efforts to mitigate the impacts of climate change.,,,3,,10,,"2050 net zero ambition, purchased goods and services, products in blasting activities",2024-07-13 00:00:00,E,,,,,,,,,,,,,,,,
106,,305.0,Emissions,305-05,Reduction of GHG emissions,,Say on Climate initiative,,,Orica,2023.0,"Orica's ""Say on Climate"" initiative represents a progressive and transparent approach to engaging stakeholders, particularly investors and shareholders, in climate-related matters. This initiative is designed to give these stakeholders a voice in shaping Orica's strategies, policies, and actions about climate change and environmental sustainability.",,,3,,10,,"Say on Climate initiative, Annual General Meeting, shareholders the opportunity",2024-07-13 00:00:00,E,,,,,,,,,,,,,,,,
107,,305.0,Emissions,305-05,Reduction of GHG emissions,,Strategic decarbonisation actions,,,Orica,2023.0,"Strategic decarbonisation involves adopting cleaner technologies, increasing energy efficiency measures, transitioning to renewable energy sources, and exploring innovative solutions such as carbon capture and storage. These actions align with Orica's broader sustainability goals and contribute to the global imperative of mitigating climate change.",,,3,,,,"Strategic decarbonisation actions, rising expectations, Climate change and decarbonisation",2024-07-13 00:00:00,E,,https://www.orica.com/ArticleDocuments/311/FY2023%20Climate%20Action%20Report.pdf.aspx,,,,,,,,,,,,,,
108,,305.0,Emissions,305-05,Reduction of GHG emissions,,Carbon Abatement Contracts,,,Orica,2023.0,"Orica's Carbon Abatement Contracts involve formal agreements on reducing or offsetting carbon emissions. These contracts may encompass initiatives, projects, or partnerships with third-party entities dedicated to activities that result in measurable and verified decreases in greenhouse gas emissions.",,,3,,,,"Carbon Abatement Contracts, $37 million, $13 million grant",2024-07-13 00:00:00,E,,https://www.orica.com/ArticleDocuments/311/FY2023%20Climate%20Action%20Report.pdf.aspx,,,,,,,,,,,,,,
