Unnamed: 0,Unnamed: 0.1,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
156,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,New careers website,,Orica,2023.0,"Orica's new careers website represents a redesigned platform to provide an enhanced and user-friendly experience for individuals seeking employment. This revamped site offers comprehensive insights into Orica's corporate culture, values, and available career paths.",,,,,59,,"New careers website, future shaper, point of differentiation",2024-04-10 00:00:00,S,,,,,,,,,,,,,,,,
157,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,Advocacy Program,,Orica,2023.0,"The Advocacy Program is a structured initiative designed to empower employees as advocates for the company's values and goals. Participants in this program actively promote critical aspects of Orica's mission, potentially focusing on sustainability, safety, or community engagement.",,,,,59,,"Advocacy Program, Employee Value Proposition, future shaper",4,S,,,,,,,,,,,,,,,,
158,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,,Business Understanding program,,Orica,2023.0,"Business Understanding Program is a comprehensive initiative designed to deepen employees' knowledge of the company's core operations, strategies, and the broader industry landscape. Participants gain valuable insights into Orica's business model and market positioning through structured training sessions and workshops.",,,,,80,,"Business Understanding program, Professional development, learning for Directors",4,S,,,,,,,,,,,,,,,,
159,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,Performance and development plans,,Orica,2023.0,"Performance and Development Plans are a structured framework to optimise employee growth and effectiveness. These plans likely involve a collaborative process between employees and managers to set clear performance objectives, assess skill development needs, and establish a roadmap for career progression.",,,,,34,,"Performance and development plans, Employees and contractors, Reward and recognition",2024-04-08 00:00:00,S,,,,,,,,,,,,,,,,
161,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,"Global Diversity, Equity and Inclusion strategy",,,Orica,2023.0,"Orica's Global Diversity, Equity, and Inclusion (DE&I) strategy is a strategic framework aimed at cultivating a workplace that values and embraces diversity in all its forms. This initiative goes beyond representation to create an inclusive culture where employees feel valued, respected, and empowered.",,,3,,58,,"Global Diversity, Equity and Inclusion strategy, 87 points",2024-05-10 00:00:00,S,,,,,,,,,,,,,,,,
162,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Inclusion Index,,,Orica,2023.0,"The Inclusion Index by Orica is a valuable metric for gauging the organisation's commitment to fostering an inclusive workplace environment. This index likely incorporates various factors, such as diversity representation, inclusivity initiatives, and employee feedback, to measure and track progress over time.",,,3,,58,,"Inclusion Index, local activation, strong culture",2024-05-10 00:00:00,S,,,,,,,,,,,,,,,,
163,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Inclusive leadership program,,,Orica,2023.0,"The Inclusive Leadership Program is a targeted initiative designed to cultivate and empower leaders who champion diversity, equity, and inclusion within the organisation. This program likely includes specialised training, workshops, and resources to enhance leadership skills in fostering an inclusive workplace culture.",,,3,,61,,"Inclusive leadership program, OricaÃ¢ÂÂs senior leaders, role modelling",2010-04-05 00:00:00,S,,,,,,,,,,,,,,,,
164,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,Mandatory online training module,,Orica,2023.0,"Orica's Mandatory Online Training Module for Ethics and Compliance is a targeted initiative to ensure all employees understand ethical standards and compliance protocols. This online module likely covers critical topics such as legal requirements, industry regulations, and Orica's specific policies to foster a workplace culture built on integrity and adherence to ethical principles.",,,,,40,,"Mandatory online training module, 14 languages, updated Code",4,S,,,,,,,,,,,,,,,,
167,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,Respect@Work,,Orica,2023.0,"Respect@Work is Orica's initiative to foster a workplace culture of respect, inclusion, and ethical conduct. This program ensures all employees understand and adhere to the highest ethical behaviour and compliance standards.",,,,,40,,"Respect@Work, respectful workplaces, safe and secure",2024-04-16 00:00:00,S,,,,,,,,,,,,,,,,
168,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,Ethics and Compliance program,,Orica,2023.0,Orica's Ethics and Compliance Program is a comprehensive initiative to uphold the organisation's highest standards of ethical conduct and regulatory compliance. This program ensures that all employees are well-informed and adhere to the legal and ethical frameworks governing Orica's operations.,,,,,40,,"Ethics and Compliance program, compliance landscape, independent benchmarking",2024-04-16 00:00:00,S,,,,,,,,,,,,,,,,
169,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,Modern slavery due diligence,,Orica,2023.0,"Modern Slavery Due Diligence is a robust and systematic approach to identifying and addressing the risk of modern slavery within the company's operations and supply chains. This initiative likely involves thorough assessments, audits, and ongoing monitoring to ensure Orica's business activities are free from modern slavery.",,,,,29,,"Modern slavery due diligence, modern slavery impacts, Increasing society","16, 17",G,,,,,,,,,,,,,,,,
176,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,Supplier due diligence,,Orica,2023.0,"Orica's Supplier Due Diligence is a comprehensive process to ensure ethical, legal, and responsible practices within its supply chain. This initiative involves systematic assessments, audits, and ongoing monitoring of suppliers to evaluate and mitigate various risks, including compliance, environmental impact, and social responsibility.",,,,,30,,"Supplier due diligence, Supply chain disruption, suppliers and conduct","16, 17",G,,,,,,,,,,,,,,,,
177,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Modern slavery training,,Orica,2023.0,"Orica's Modern Slavery Training is a specialised program designed to educate employees about the risks and issues related to modern slavery. This training likely provides comprehensive insights into identifying, preventing, and mitigating modern slavery within the company's operations and supply chains.",,,,,29,,"Modern slavery training, internal stakeholders, good governance",2024-04-16 00:00:00,"S, G",,,,,,,,,,,,,,,,
179,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Arbor Day Foundation,,,Orica,2023.0,"Orica's partnership with the Arbor Day Foundation exemplifies the company's commitment to environmental stewardship and community engagement. This community effort likely focuses on initiatives such as tree planting campaigns, sustainable forestry practices, and environmental education programs.",,,3,,71-73,,"Arbor Day Foundation, $216,000, 00 million trees",11,S,,,,,,,,,,,,,,,,
