Unnamed: 0,Unnamed: 0.1,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"Orica is one of the world's leading mining and infrastructure solutions providers. From producing and supplying explosives, blasting systems, mining chemicals and geotechnical monitoring to our cutting-edge digital solutions and comprehensive services, we sustainably mobilise the earth's resources.",,,,Orica,2023.0,,,,1,,192,,,,,,https://www.orica.com/About-Us,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"GroundProbe, Exsa, Explosivos, Axis Mining, Altona, Minova, Mintun, and Nitro Asia are group entities.",,,,Orica,2023.0,,,,1,,118-172,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point","The Group provides yearly information on GHG emissions, financial statements, and programs in the annual report. investorrelations@orica.com",,,,Orica,2023.0,,,,1,,118-172,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,The Group restate the Global Scope 3 Emission FY2022.,,,,Orica,2023.0,,,,1,,118-172,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,KPMG and EY provide external assurance for the current reporting period.,,,,Orica,2023.0,,,,1,,174-179,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","Orica's global network comprises continuous and discrete manufacturing operations, technology and monitoring centres and support offices, supported by a network of joint ventures, ammonium nitrate emulsion plants and bulk explosives depots strategically located to serve our customers worldwide.",,,,Orica,2023.0,,,,1,,14-17,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-7,Employees,,,Talent Lifecycle,,Orica,2023.0,"Orica diligently manages its talent lifecycle to ensure a seamless and enriching journey for its employees. From the strategic recruitment of skilled individuals to a comprehensive onboarding process that facilitates seamless integration, the company invests in developing its workforce through continuous learning initiatives.",,,,,19,,"Talent Lifecycle, diverse workforce, evolving technology",2024-08-10 00:00:00,S,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-7,Employees,,,People Strategy,,Orica,2023.0,"Orica's People Strategy exemplifies a commitment to maximising the potential of its workforce in alignment with overarching business objectives. The strategy encompasses a holistic approach, from strategic recruitment and talent acquisition to fostering a culture of continuous learning and development.",,,,,23,,"People Strategy, retention and development, employee experience",2024-08-10 00:00:00,S,,,,,,,,,,,,,,,,
