Unnamed: 0,Unnamed: 0.1,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
39,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Voice of Customer,,,Orica,2023.0,"Orica's ""Voice of Customer"" initiative is a strategic engagement effort to actively listen to and understand its customers' needs, preferences, and feedback. This program systematically gathers customer insights, including surveys, interviews, and other feedback channels.",,,2,,34-35,,"Voice of Customer, VoC, NPS",11,S,,,,,,,,,,,,,,,,
40,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Contract reviews,,,Orica,2023.0,"The company aims to ensure alignment with business objectives, legal compliance, and mutual understanding of expectations by conducting systematic contract reviews. This engagement effort strengthens relationships with suppliers, clients, and other partners and demonstrates Orica's dedication to fair and equitable business practices.",,,2,,34-35,,"Contract reviews, Customers, Identification",11,S,,,,,,,,,,,,,,,,
41,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Executive engagements,,,Orica,2023.0,"Orica's Executive Engagement initiative fosters direct and meaningful interactions between the company's executives and key stakeholders. This engagement effort involves proactive communication and collaboration with shareholders, employees, customers, and other relevant parties.",,,2,,34-35,,"Executive engagements, stakeholder engagement, governance",11,S,,,,,,,,,,,,,,,,
42,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Industry and sustainability forums,,,Orica,2023.0,"Orica's Industry and Sustainability Forums represent a strategic engagement effort that underscores the company's commitment to fostering collaboration and addressing sustainability challenges within its industry. These forums serve as platforms for Orica to engage with stakeholders, industry partners, and experts in discussions about sustainable practices, environmental responsibility, and industry-wide initiatives.",,,2,,34-35,,"Industry and sustainability forums, productive and safer mining, stakeholder engagement",11,S,,,,,,,,,,,,,,,,
43,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Webinars,,,Orica,2023.0,"Orica's Webinars are a dynamic engagement initiative, providing an interactive platform for knowledge-sharing, communication, and collaboration. These online events offer participants, including employees, clients, and industry stakeholders, the opportunity to access valuable insights, updates, and expert discussions in a virtual setting.",,,2,,34-35,,"Webinars, Digital platforms, support platforms",11,S,,,,,,,,,,,,,,,,
44,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Technology site tours,,,Orica,2023.0,"Orica's Technology Site Tours initiative is a hands-on engagement effort designed to provide stakeholders, including employees, customers, and partners, with a firsthand experience of the company's technological advancements. These site tours allow participants to explore Orica's cutting-edge technologies, innovative processes, and state-of-the-art facilities.",,,2,,34-35,,"Technology site tours, digital solutions, stakeholder engagement",11,S,,,,,,,,,,,,,,,,
45,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Supplier sustainability questionnaires,,,Orica,2023.0,"Supplier Sustainability Questionnaires exemplify the company's commitment to sustainable and responsible business practices throughout its supply chain. This engagement effort systematically gathers suppliers' information regarding their sustainability practices, environmental impact, and social responsibility.",,,2,,34-35,,"Supplier sustainability questionnaires, Suppliers and business partners, Fair contracting",11,S,,,,,,,,,,,,,,,,
46,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Supplier forums,,,Orica,2023.0,"Orica's Supplier Forums are a strategic engagement effort to foster collaboration and open communication with its network of suppliers. These forums provide a platform for direct interaction, allowing Orica to engage in meaningful discussions with its suppliers, share insights, and address mutual challenges and opportunities.",,,2,,34-35,,"Supplier forums, on-time payment, stakeholder engagement",11,S,,,,,,,,,,,,,,,,
47,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Stakeholder engagement plans,,,Orica,2023.0,"Stakeholder Engagement Plans represent a comprehensive strategy to actively involve and communicate with diverse stakeholders, including employees, customers, communities, and investors. These plans outline deliberate and proactive approaches to understanding, addressing, and incorporating the needs and expectations of stakeholders into Orica's business operations.",,,2,,34-35,,"Stakeholder engagement plans, Local communities, Strong partnerships",11,S,,,,,,,,,,,,,,,,
48,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Local stakeholder engagement sessions,,,Orica,2023.0,"Orica's Local Stakeholder Engagement Sessions are a targeted and localised effort to actively involve and communicate with stakeholders in specific regions or communities. These sessions provide a platform for Orica to directly engage with residents, community leaders, and other stakeholders to discuss concerns, share information, and seek input on matters related to the company's operations in that particular area.",,,2,,34-35,,"Local stakeholder engagement sessions, Investment in communities, common challenges",11,S,,,,,,,,,,,,,,,,
49,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Annual General Meeting,,,Orica,2023.0,"Orica's Annual General Meeting (AGM) is a crucial engagement effort that provides a formal platform for interaction between the company's leadership, shareholders, and other stakeholders. This annual event allows Orica to report on its financial performance, strategic initiatives, and key achievements over the past year.",,,2,,34-35,,"Annual General Meeting, AGM, Investors and financiers",11,S,,,,,,,,,,,,,,,,
50,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Hosting site familiarisation tours,,,Orica,2023.0,"Orica's Hosting Site Familiarization Tours is a proactive engagement effort, inviting stakeholders, including employees, customers, and local communities, to visit and become familiar with the company's operational sites. These tours provide firsthand experiences, allowing participants to gain insights into Orica's processes, safety measures, and environmental practices.",,,2,,34-35,,"Hosting site familiarisation tours, Government and regulators, Regulatory compliance",11,S,,,,,,,,,,,,,,,,
51,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Submissions to government,,,Orica,2023.0,"Orica's Submissions to the Government represent a structured and proactive engagement effort wherein the company communicates its perspectives, insights, and recommendations to government entities. These submissions serve as a formal channel for Orica to contribute to policy discussions, regulatory frameworks, and legislative processes that may impact its operations and industry.",,,2,,34-35,,"Submissions to government, Effective policy development, Government and regulators",11,S,,,,,,,,,,,,,,,,
52,,2.0,General Disclosures,2-30,Collective bargaining agreements,,,,NO DISCLOSURE,Orica,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,3.0,Material Topics,3-1,Process to determine material topics,,IR materiality methodology,,,Orica,2023.0,"Orica's IR Materiality Methodology likely includes a systematic process for determining the materiality of various aspects of the company's financial, environmental, social, and governance performance. This process may involve stakeholder engagement, analysis of industry trends, and consideration of both financial and non-financial factors.",,,2,,5,,"IR materiality methodology, International Integrated Reporting, material topics",2024-12-13 00:00:00,"E, S, G",,,,,,,,,,,,,,,,
