Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,2023 Sustainability Fact Book,
,,,,,
,,,,,
,GLOBAL REPORTING INITIATIVE (GRI) STANDARDS CONTENT INDEX,,,,
,Rio Tinto has reported in accordance with the GRI Standards for the period 1 January - 31 December 2023.,,,,
,GR 1: Foundation 2021,Requirement title,Reference,Links and Fact Book sheets,UN SDG
,Requirement 1,Apply the reporting principles,2023 Annual Report – Sustainability (pages 41-78),Annual Report,
,Requirement 2,Report the disclosures in GRI 2: General Disclosures 2021,As shown below,,
,Requirement 3,Determine material topics,2023 Annual Report – How we report on sustainability (page 42),,
,Requirement 4,Report the disclosures in GRI 3: Material Topics 2021,2023 Annual Report – Sustainability (pages 41-78),Annual Report,
,Requirement 5,Report disclosures from the GRI Topic Standards for each material topic,As shown below,,
,Requirement 6,Provide reasons for omission for disclosures and requirements that the organisation cannot comply with,Done where applicable – 2023 Annual Report – Sustainability (pages 41-78),Annual Report,
,Requirement 7,Publish a GRI content index,This sheet,,
,Requirement 8,Provide a statement use,Rio Tinto has reported in accordance with the GRI standards for the period 1 Jan - 31 Dec 2023,,
,Requirement 9,Notify GRI,Notified,,
,GR 2: General disclosures 2021,Disclosure title,Reference to disclosure,Links and Fact Book sheets,UN SDG
,2-1,Organisational details,"Rio Tinto Limited and Rio Tinto plc; 2023 Annual Report – Shareholder information (pages 349-355); 2023 Annual Report – Production, Reserves and Operations (pages 299-345)",Annual Report,
,2-2,Entities included in the organisation's sustainability reporting,2023 Annual Report – Shareholder information (pages 349-355),,
,2-3,"Reporting period, frequency and contact point",1 January 2023 - 31 December 2023; annual; sustainability@riotinto.com,,
,2-4,Restatements of information,Stated accordingly,,
,2-5,External assurance,2023 Annual Report – Independent Limited Assurance Report (pages 348-350),Annual Report,
,2-6,"Activities, value chain and other business relationships",2023 Annual Report – Strategic report (pages 1-33),,
,2-7,Employees,2023 Sustainability Fact Book – People,,
,2-8,Workers who are not employees,2023 Sustainability Fact Book – People,,
,2-9,Governance structure and composition,2023 Annual Report – Directors' report (page 93-98),Annual Report,
,2-10,Nomination and selection of the highest governance body,2023 Annual Report – Directors' report (page 93-98),,
,2-11,Chair of the highest governance body,2023 Annual Report – Chairman’s statement (pages 4-5),,
,2-12,Role of highest governance body in overseeing the management of impacts,2023 Annual Report – Chairman’s statement (pages 4-5),,
,2-13,Delegation of responsibility for managing impacts,2023 Annual Report – From the Chief Executive (pages 6-7),,
,2-14,Role of the highest governance body in sustainability reporting,2023 Annual Report – Sustainability Committee report (pages 114-115),,
,2-15,Conflicts of interest,2023 Annual Report – Directors’ report (pages 93-160),,
,2-16,Communication of critical concerns,2023 Annual Report – Sustainability Committee report (pages 114-115),,
,,,Rio Tinto Policies and Standards,riotinto.com/sustainability/policies,
,2-17,Collective knowledge of highest governance body,2023 Annual Report – Directors' report (page 93-160),Annual Report,
,2-18,Evaluation of the performance of the highest governance body,2023 Annual Report – Directors’ report (page 107),,
,2-19,Remuneration policies,2023 Annual Report – Remuneration report (pages 116-149),,
,2-20,Process to determine remuneration,2023 Annual Report – Remuneration report (pages 116-149),,
,2-21,Annual total compensation ratio,2023 Annual Report – Remuneration report (pages 116-149),,
,,,2023 Annual Report – Sustainability Committee report (pages 114-115),,
,2-22,Statement on sustainable development strategy,2023 Annual Report – Directors' report (page 93-160),Annual Report,
,2-23,Policy commitments,2023 Annual Report – Chairman’s statement (pages 4-5),,
,2-24,Embedding policy commitments,2023 Annual Report – Directors' report (page 93-160),,
,2-25,Processes to remediate negative impacts,2023 Annual Report – Directors' report (page 93-160),,
,2-26,Mechanisms for seeking advice and raising concerns,2023 Annual Report – Evaluating our performance (page 107),,
,2-27,Compliance with laws and regulations,2023 Annual Report – Directors' report (page 93-160),,
,2-28,Membership associations,2023 Annual Report – Evaluating our performance (page 107),,
,2-29,Approach to stakeholder engagement,2023 Annual Report – Our stakeholders (pages 95-98),,
,2-30,Collective bargaining agreements,Our human rights guidance is applicable at all sites and covers freedom of association in relation  to union membership.,,
,GRI 3: Material Topics 2021,Disclosure title,Reference to disclosure,Links and Fact Book sheets,UN SDG
,3-1,Process to determine material topics,2023 Annual Report – How we report on sustainability (page 42),Annual Report,
,3-2,List of material topics,2023 Annual Report – How we report on sustainability (page 42),,
,,,Sustainability Glossary,,
,3-3,Management of material topics,2023 Annual Report - Sustainability (page 40-75),,
,Topic-specific disclosures,Disclosure title,Reference to disclosure,Links and Fact Book sheets,UN SDG
,Economic performance,,,,"SDG 8, SDG 10, SDG 11"
,3-1,Process to determine material topics,2023 Annual Report – How we report on sustainability (page 42),,
,3-2,List of material topics,2023 Annual Report – How we report on sustainability (page 42),riotinto.com/sustainability/communities,
,3-3,Management of material topics,2023 Annual Report – Sustainability (page 40-75),,
,,,2023 Sustainability Fact Book – Communities,Sustainability Fact Book – Communities,
,201-1,Direct economic value generated and distributed,2023 Sustainability Fact Book – Communities,Sustainability Fact Book – Communities,
,201-2,Financial implications and other risks and opportunities due to climate change,Climate change,riotinto.com/sustainability/climate-change,
,,,2023 Climate Change Report,Climate Change Report,
,201-3,Defined benefit plan obligations and other retirement plans,2023 Annual Report – Remuneration report (pages 116-149),Annual Report,
,,,2023 Annual Report – Financial statements (pages 161-298),,
,201-4,Financial assistance received from government,2023 Annual Report – Financial statements (pages 161-298),,
,Indirect economic impacts,,,,"SDG 5, SDG 8, SDG 9, SDG 11"
,3-1,Process to determine material topics,2023 Annual Report – How we report on sustainability (page 42),Annual Report,
,3-2,List of material topics,2023 Annual Report – How we report on sustainability (page 42),,
,,,Sustainability Glossary,Sustainability Glossary,
,3-3,Management of material topics,Communities,riotinto.com/sustainability/communities,
,,,2023 Sustainability Fact Book – Communities,Sustainability Fact Book – Communities,
,203-1,Infrastructure investments and services supported,2023 Annual Report – Social performance (pages 69-72),,
,,,Communities,riotinto.com/sustainability/communities,
,,,2023 Sustainability Fact Book – Communities,Sustainability Fact Book – Communities,
,203-2,Significant indirect economic impacts,2023 Annual Report – Social performance (pages 69-72),,
,,,Communities,riotinto.com/sustainability/communities,
,Procurement practices,,,,"SDG 8, SDG 10, SDG 11"
,3-1,Process to determine material topics,2023 Annual Report – How we report on sustainability (page 42),Annual Report,
,3-2,List of material topics,2023 Annual Report – How we report on sustainability (page 42),,
