Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
104,,,,,,,,,,,Voluntary Principles on Security and Human Rights,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
107,,PRINCIPLE 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,"Respect human rights and the interests, cultures, customs and values of employees and communities affected by our activities.",,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,Human Rights Policy,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,Inclusion and Diversity Policy,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,Communities and Social Performance Standard,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,myVoice Procedure,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,Why agreements matter,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,Why Human Rights Matter,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,Why cultural heritage matters,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,Modern Slavery Statement,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,Voluntary Principles on Security and Human Rights,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
122,,PRINCIPLE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,Implement effective risk-management strategies and systems based on sound science and which account for stakeholder perceptions of risks.,,,,,,,,,Risk Policy and Standard,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,Management of Tailings and Water Storage Standard,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,Tailings Policy,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
129,,PRINCIPLE 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Pursue continual improvement in health and safety performance with the ultimate goal of zero harm.,,,,,,,,,The Way We Work,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,"Health, Safety, Environment and Communities Policy",,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,Management System Standard,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,Health Management Approach,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,Radiation Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,Aviation Safety Standard,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,Vector-borne and Infectious Disease Control Standard,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,Confined Spaces Standard,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,Electrical Safety Standard,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,Management of Slope Geotechnical Hazards Standard,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,Underground Safety Standard,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,Cranes and Lifting Standard,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,Annual Report,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,Sustainability Fact Book,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,Explosives Standard,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,Fitness for Work in Safety-critical Jobs Standard,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,Noise Exposure Control Standard,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,Manual Tasks and Workplace Ergonomics Management Standard,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,Vehicles and Driving Standard,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,Isolation Standard,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,Process Safety Standard,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,Functional Safety Standard,,,,,,,,,,,,,,,,,,,,,,
