Unnamed: 0,Unnamed: 1,Unnamed: 2
,,Sustainability Fact Book 2023
,,
,,
,HEALTH & SAFETY,
,Performance metric,Spreadsheet tab
,Number of employees,People
,"New cases of occupational illness (per 10,000 employees)",Health
,Occupational illness,Health
,Fatalities,Safety
,Safety maturity model (SMM) score,Safety
,Potential fatal incident (PFI),Safety
,All injury frequency rate (AIFR),Safety
,Lost time injuries (LTI),Safety
,Permanent damage injury (PDI),Safety
,Injury severity,Safety
,Process safety,Safety
,Critical risk management (CRM),Safety
,Fines and prosecutions – safety (US$’000),Safety
,Fines and prosecutions – health (US$’000),Health
