Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
23,,,Boron - Boric Acid Pond 8A,USA,"35.05139, -117.71582",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2021,Yes,N/A (single embankment),10.2,57973,958413,44348,Yes,High,GISTM,No,Both,Yes - July 2023,Yes and Yes,Yes,National Hazard categorisation: Group A Mining Waste.,,
24,,,Boron - Pond 1,USA,"35.03952, -117.71798",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1956,Yes,N/A (single embankment),4.7,1631894,1631894,43160,Yes,Low,GISTM,No,Both,No:\nFormal analysis of the downstream impact to reflect current conditions has commenced.,Yes and Yes,Yes,National Hazard categorisation: Group A Mining Waste.,,
25,,,Boron - Pond 2,USA,"35.04034, -117.70865",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1956,Yes,N/A (single embankment),4.7,1631894,1631894,43160,Yes,Low,GISTM,No,Both,No:\nFormal analysis of the downstream impact to reflect current conditions has commenced.,Yes and Yes,Yes,National Hazard categorisation: Group A Mining Waste.,,
26,,,Boron - Pond 3,USA,"35.03710, -117.71130",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1970,Yes,N/A (single embankment),9.4,1359295,1359295,43160,Yes,Low,GISTM,No,Both,No:\nFormal analysis of the downstream impact to reflect current conditions has commenced.,Yes and Yes,Yes,National Hazard categorisation: Group A Mining Waste.,,
27,,,Boron - Pond 5,USA,"35.05482, -117.71206",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1976,Yes,N/A (single embankment),3.5,3839730,3839730,43160,Yes,Low,GISTM,No,Both,No:\nFormal analysis of the downstream impact to reflect current conditions has commenced.,Yes and Yes,Yes,National Hazard categorisation: Group A Mining Waste.,,
28,,,Boron - Pond 6,USA,"35.03937, -117.72575",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1980,Yes,N/A (single embankment),1.8,1906720,1906720,43160,Yes,Low,GISTM,No,Both,No:\nFormal analysis of the downstream impact to reflect current conditions has commenced.,Yes and Yes,Yes,National Hazard categorisation: Group A Mining Waste.,,
29,,,Diavik - A418 TSF,Canada,"64.49220, -110.24415",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2023,Yes,N/A (in-pit),0:\nTailings are deposited into a completed open pit and underground workings.,48000,1240000,45108,Yes,High,GISTM,No,Both,Yes - May 2023,Yes and Yes,Yes,Q7: Underground deposition with bulkheads/hydrostatic plugs isolating active underground operations.,,
30,,,Diavik - PKCF TSF,Canada,"64.49025, -110.30971",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2002,Yes,Modified Centreline,52,45860000,47800000,44652,Yes,High,GISTM,No,Both,Yes - November 2021,Yes and Yes,Yes,,,
31,,,FalCon Project - Star FMA,Canada,"53.22447, -104.77796",The lease holder is Star Diamond Corporation. Rio Tinto Exploration Canada is the current operator.,Rio Tinto; Star Diamond Corporation,Rio Tinto,Rio Tinto,Inactive,2004,Yes,Downstream,2,4986,25000,44075,Yes,Low,GISTM,No,External only,Yes - June 2018,Yes and Yes,Yes,,,
32,,,Gove - Northern Ponds,Australia,"-12.18698, 136.72553","The Northern Ponds were rehabilitated and relinquished in the 1980s, however further rehabilitation activities have been incorporated as part of Gove closure with construction works starting in June 2022. Rio Tinto does not have tenure but has access permission to undertake the remediation works.","The Northern Ponds were rehabilitated and relinquished in the 1980s, however further rehabilitation activities have been incorporated as part of Gove closure with construction works starting in June 2022. Rio Tinto does not have tenure but has access permission to undertake the remediation works.","The Northern Ponds were rehabilitated and relinquished in the 1980s, however further rehabilitation activities have been incorporated as part of Gove closure with construction works starting in June 2022. Rio Tinto does not have tenure but has access permission to undertake the remediation works.",,Closed,1972,Yes,Downstream,8,4710000,4710000,44682,Yes,High,GISTM,No,Both,"The Northern Ponds were rehabilitated and relinquished in the 1980s, however further rehabilitation activities have been incorporated as part of Gove closure with construction works starting in June 2022. Rio Tinto do not have tenure but have access permission to undertake the remediation works.",Yes and Yes,Yes,,,
33,,,Gove - Pond 2,Australia,"-12.19295, 136.71383",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1972,Yes,Downstream,7,400000,400000,44682,Yes,High,GISTM,No,Both,Yes - February 2021,Yes and Yes,Yes,,,
34,,,Gove - Pond 3,Australia,"-12.19539, 136.72393",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1974,Yes,Downstream,29,9600000,9600000,44682,Yes,High,GISTM,No,Both,Yes - February 2021,Yes and Yes,Yes,,,
35,,,Gove - Pond 4,Australia,"-12.20007, 136.72844",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1977,Yes,Downstream,24,10330000,10330000,44682,Yes,Very High,GISTM,No,Both,Yes - February 2021,Yes and Yes,Yes,,,
