Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
65,,,QIT Madagascar Minerals (QMM) - Feedprep Pond,Madagascar,"-24.96781, 47.00854",Independent Operation,"Rio Tinto (80%), State of Madagascar (20%)",QIT Madagascar Minerals (QMM),QIT Madagascar Minerals (QMM),Active,2016,Yes,N/A (excavated storage facility),0:\nElevation of surrounding topography is approx 7 masl.,180000,438000,44621,Yes,Significant,GISTM,No,Both,Yes - December 2021,Yes and Yes,Yes,,,
66,,,QIT Madagascar Minerals (QMM) - Settling Pond,Madagascar,"-24.96330, 47.00889",Independent Operation,"Rio Tinto (80%), State of Madagascar (20%)",QIT Madagascar Minerals (QMM),QIT Madagascar Minerals (QMM),Active,2016,Yes,N/A (excavated storage facility),0:\nElevation of surrounding topography is approx 8 masl.,101000,0:\nPredominantly a Water Storage Facility. Minerals carried from the Mineral Separation Plant are periodically recovered and re-processed.,44621,Yes,Significant,GISTM,No,Both,Yes - December 2021,Yes and Yes,Yes,,,
67,,,Queensland Alumina Limited (QAL) - Ash Pond 4,Australia,"-23.87240, 151.29744",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1978,Yes,Upstream,15,5000000,6000000,44593,Yes,High,GISTM,No,Both,Yes - November 2019,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
68,,,Queensland Alumina Limited (QAL) - Sand Pond 1,Australia,"-23.86431, 151.28374",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Closed,1970s,Yes,Centreline,4,840000,840000,44593,Yes,Low,GISTM,No,Both,No:\nClosed facility.,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
69,,,Queensland Alumina Limited (QAL) - Sand Pond 2,Australia,"-23.85896, 151.28288",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Closed,1970s,Yes,Centreline,4,960000,960000,44593,Yes,Significant,GISTM,No,Both,No:\nClosed facility.,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
70,,,Queensland Alumina Limited (QAL) - Sand Pond 3,Australia,"-23.85876, 151.28747",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Closed,1970s,Yes,Centreline,4,1080000,1080000,44593,Yes,Significant,GISTM,No,Both,No:\nClosed facility.,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
71,,,Queensland Alumina Limited (QAL) - Historic RMD,Australia,"-23.90302, 151.31669",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Inactive,1967,Yes,Downstream,7,5000000,5000000,44805,Yes,High,GISTM,No,Both,"No:\nInactive, capped and partially rehabilitated facility.",Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
72,,,Queensland Alumina Limited (QAL) - MWDF,Australia,"-23.87421, 151.29407",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1967,Yes,Upstream,15,430000,510000,44593,Yes,Significant,GISTM,No,Both,Yes - March 2020,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
73,,,Queensland Alumina Limited (QAL) - RMD1,Australia,"-23.92005, 151.32281",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1967,Yes,Upstream,20,36000000,45000000,44713,Yes,Very High,GISTM,No,Both,Yes - June 2020,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
74,,,Queensland Alumina Limited (QAL) - RMD2,Australia,"-23.93675, 151.31705",Non-Managed Joint Venture,"Rio Tinto (80%), Rusal (20%)",Joint Venture,Queensland Alumina Limited,Active,1975,Yes,Centreline,26,107000000,125000000,44713,Yes,Extreme,GISTM,No,Both,Yes - June 2020,Yes and Yes,Yes,"The responses provided in relation to all questions for this facility, which is not managed or operated by Rio Tinto, have been provided by the operating entity and have not been independently verified by Rio Tinto nor based on Rio TintoÃ¢ÂÂs own records.",,
