Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
44,,,IOC Labrador City - Wabush Lake Disposal,Canada,"53.02673, -66.86581",Independent Operation,"Rio Tinto (58.7%), Mitsubishi (26.2%), Labrador Iron Ore Royalty Income Corporation (15.1%)",Iron Ore Company of Canada,Iron Ore Company of Canada,Active,1962,Yes,N/A (lake disposal),0:\nLake disposal.,740179126,829226399,44805,Yes,Significant,GISTM,No,Both,Yes - August 2021,Yes and Yes,Yes,Q1: IOC has deposited into Wabush Lake since 1962. In 2008 a section of Wabush Lake was designated a Tailings Impoundment Area under federal regulations. Tailings are maintained within the lease line by discharging into a naturally occurring deep trench within the lake and using a flocculation system to settle solids. Tailings which remain above the water level following deposition are progressively restored on an ongoing basis protecting the ecological and recreational attributes of the lake.,,
45,,,IOC Sept-ÃÂles - Tailings,Canada,"50.21808, -66.32418",Independent Operation,"Rio Tinto (58.7%), Mitsubishi (26.2%), Labrador Iron Ore Royalty Income Corporation (15.1%)",Iron Ore Company of Canada,Iron Ore Company of Canada,Inactive,1973,Yes,Centreline,10,5400000,5400000,45047,"No:\nThe inactive Sept Iles Tailings facility was opened in 1973, and limited design documentation is available. Further assessment will be carried out in 2023.",Very High,GISTM,No,Both,Yes - September 2022,No and No,Yes,,,
46,,,Kelian - In-pit TSF,Indonesia,"-0.02652, 115.44275",Managed Joint Venture,"Rio Tinto (90%), PT Harita Jayaraya (10%)",Joint Venture,Rio Tinto,Closed,2003,Yes,N/A (in-pit),0:\nTailings are deposited into a completed open pit.,12000000,12000000,45047,Yes,Significant,GISTM,No,Both,Yes - July 2005,Yes and Yes,Yes,"Q8: Tailings were deposited into an existing open pit, and are now covered with more than 160 m of water.",,
47,,,Kelian - Namuk TSF,Indonesia,"-0.04904, 115.40443",Managed Joint Venture,"Rio Tinto (90%), PT Harita Jayaraya (10%)",Joint Venture,Rio Tinto,Closed,1992,Yes,N/A (single embankment),49,51000000,51000000,44197,Yes,Extreme,GISTM,No,Both,Yes - June 2022,Yes and Yes,Yes,,,
48,,,Kennecott - North TSF Impoundment,USA,"40.75118, -112.11749",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1999,Yes,Modified Centreline,53,652904000,742462928,44835,Yes,High,GISTM,No,Both,Yes - September 2022,Yes and Yes,Yes,,,
49,,,Kennecott - South (Magna) TSF Impoundment,USA,"40.73097, -112.12810",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1906,"No:\nThe South (Magna) TSF Impoundment was opened in 1906 and has been inactive since 2001. Due to its age it does not have an approved design and the original design documentation is not available, however, we have sufficient relevant records to assess stability.",Upstream,70,1562000000,1562000000,44835,"No:\nThe South (Magna) TSF Impoundment was opened in 1906 and has been inactive since 2001. Due to its age it does not have an approved design and the original design documentation is not available, however, we have sufficient relevant records to assess stability.",High,GISTM,"Yes:\nThe inactive South (Magna) TSF Impoundment is stable, however RTKC is continuing to implement mitigating actions and monitor effectiveness to manage any susceptibility to limited failure during a significant earthquake event. Actions are determined and implemented by RTKC and EOR and proper notifications to the State Regulator. The current program will continue through to mine closure to provide long term stability of the facility.",Both,Yes - September 2022,Yes and Yes,Yes,,,
50,,,Marandoo - SWFSF,Australia,"-22.66481, 118.16292",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2019,Yes,Downstream,22.3,2920000,7600000,44713,Yes,High,GISTM,No,Both,Yes - April 2020,Yes and Yes,Yes,,,
51,,,Marandoo - WFSF,Australia,"-22.63501, 118.10128",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,2013,Yes,Downstream,27.5,7200000,8880000,44713,Yes,High,GISTM,No,Both,Yes - February 2021,Yes and Yes,Yes,,,
52,,,McGill - McGill TSF,USA,"39.41203, -114.80048",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1908,Yes,Upstream,15,633750000,633750000,44013,"No:\nKennecott Nevada Copper facility was opened in the early 1900s and has been inactive since 1978. Due to the age of the facility original design documentation is not currently available; however, an investigation and stability assessment was conducted in 2020.",Significant,GISTM,No,Both,Yes - January 2020,Yes and Yes,Yes,,,
53,,,Mesa A-Warramboo - TSF1,Australia,"-21.66272, 115.82862",Managed Joint Venture,"Rio Tinto Group (53%), Mitsui (33%), Nippon Steel (14%)",Joint Venture,Rio Tinto,Active,2021,Yes,N/A (in-pit),0:\nTailings are deposited into a completed open pit.,1250000,16000000,44774,Yes,Significant,GISTM,No,Both,Yes - March 2022,Yes and Yes,Yes,,,
