Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sustainability Fact Book 2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICMM - Performance Expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"As a founding member of the ICMM, Rio Tinto has committed to completing our implementation of the ICMM Performance Expectations (PEs). The ICMM Mining Principles framework focuses on implementation of systems and practices related to a broad range of sustainability areas. In line with ICMM requirements, all 29 Rio Tinto-managed operating and refining assets completed an ICMM PE self-assessment before 30 September 2022. A self-assessment was also completed for Rio Tinto Corporate. 

In 2022, Rio Tinto prioritised 26 of the 29 operating assets for validation in the initial three-year cycle based on the following criteria:
•  Integrated assurance schedule: Rio Tinto is taking an integrated approach to the ESG assurance program, which will commence in 2023. Integrated assurance refers to an asset completing one assurance activity to respond to multiple different frameworks. The integrated assurance schedule aligns all of Rio Tinto’s ESG certifications and membership commitments such that they will be conducted as an integrated assurance activity over a three-year assurance cycle.
•  Operating/refining assets risk and size considerations: The three assets that will not be prioritised in this initial three-year validation cycle include Wilmington; Coudekerque and Suzhou. They were not prioritised for this validation cycle due to the nature of the operations and as many of the PEs were self-assessed and calibrated by an experienced Validation Service Provider (VSP), ERM Canada as “Not Applicable”. In addition, all three operations have a workforce below 100 full-time equivalents.

In 2023, on-site third-party validations were completed for 12 of our priority operating and refining assets and included validation of the Rio Tinto corporate self-assessment. As of 9 February 2024, we have received validation reports for three sites; Oyu Tolgoi (OT), Rio Tinto Kennecott (RTK) and Iron Ore Company of Canada (IOC). The remaining nine sites were assessed in late 2023 and the final reports are still pending. The validation outcomes for these sites will be disclosed in the 2024 Sustainability Fact Book. The validation reports received to date indicate alignment between the self-assessment and validation outcomes, with identification of relevant areas for improvement. 

The results presented in the table below reflect the most recent self-assessments. For sites that have completed third-party validation and received their final reports, the results presented in the table below reflect the validated outcomes.

The possible outcomes for the validation of an individual PE are ‘Meets’, ‘Partially meets’, and ‘Does not meet’ as defined below:
• Meets: Systems and/or practices related to the PE have been implemented and there is sufficient evidence that the intent of the PE is being met. However, opportunities for improvement may still remain.
• Partially meets: Systems and/or practices related to meeting the intent of the PE have been only partially implemented. There are gaps that may contribute to an inability to meet the intended outcome of the PE, or insufficient evidence can be provided to demonstrate that the activity is aligned to the intent of the PE.
• Does not meet: Systems and/or practices required to support the core intent of the PE are not in place, are not being implemented or cannot be evidenced.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Detailed Disclosure of Self-Assessments against ICMM Performance Expectations (PEs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3rd party validation outcomes:,l,Meets,,◑,Partially meets,,⚪,Does not meet,,V,Not applicable,,,,,,,,,,,,,,,,,,,,
,Self-assessment outcomes:,l,Meets,,◑,Partially meets,,⚪,Does not meet,,V,Not applicable,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rio Tinto Product Groups,IRON ORE,,,,,,,,,MINERALS,,,,,,,,,ALUMINIUM,,,,,,,,,COPPER,,RIO TINTO CORPORATE,Commentary
,Rio Tinto managed operating/refining assets,Dampier Salt,Robe Valley,Greater Brockman,Greater Tom Price & Marandoo,Paraburdoo,Gudai-Darri,Yandicoogina,West Angelas,Greater Hope Downs,RTIT Quebec Operations,Richards Bay Minerals ,QIT Madagascar Minerals,Suzhou,Coudekerque,Wilmington,Iron Ore Company of Canada,Diavik Diamond Mine,Boron Mine,BC Works,Quebec Operations,Bell Bay Aluminium Smelter,Boyne Smelters Limited,Weipa Bauxite Mines,Gove Bauxite Mine,Yarwun Alumina Refinery,New Zealand's Aluminium Smelter,ISAL Aluminium Smelter,Oyu Tolgoi,Rio Tinto Kennecott,,
,Year of current self-assessment,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,"2021 
(with minor update in 2022)","2021 
(with minor update in 2022)","2021 
(with minor update in 2022)",2022,2022,"2021 
(with minor update in 2022)","2021 
(with minor update in 2022)","2021 
(with minor update in 2022)","2021 
(with minor update in 2022)","2021 
(with minor update in 2022)","2021 
(with minor update in 2022)","2021 
(with minor update in 2022)",2022,"2021 
(with minor update in 2022)",2022,
,On-site third party validation,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not scheduled in 2023,Not prioritised for third-party validation,Not prioritised for third-party validation,Not prioritised for third-party validation,Q4 2023,Not scheduled in 2023,Not scheduled in 2023,Q4 2023 (awaiting report),Q4 2023 (awaiting report),Q3 2023 (awaiting report),Q3 2023 (awaiting report),Q3 2023 (awaiting report),Q3 2023 (awaiting report),Q3 2023 (awaiting report),Q3 2023 (awaiting report),Q3 2023 (awaiting report),Q3 2023,Q1 2023,Corporate processes verified during asset validations,
,Validation service provider,,,,,,,,,,,,,,,,EEM Gestion ESS Inc.,,,ERM CVS,ERM CVS,ERM CVS,ERM CVS,ERM CVS,ERM CVS,ERM CVS,ERM CVS,ERM CVS,RCS,RCS,,
,PRINCIPLE 1: Apply ethical business practices and sound systems of corporate governance and transparency to support sustainable development.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1: Establish systems to maintain compliance with applicable law.,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,"1.2: Implement policies and practices to prevent bribery, corruption and to publicly disclose facilitation payments.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,1.3: Implement policies and standards consistent with the ICMM policy framework.,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,"This PE is applicable at the corporate level only and therefore is not applicable for all operating/refining assets. 
While corporate requirements were not independently validated in 2023, they were assessed as part of multiple site validations."
,1.4: Assign accountability for sustainability performance at the Board and/or Executive Committee level.,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating/refining assets.
,1.5: Disclose the value and beneficiaries of financial and in-kind political contributions whether directly or through an intermediary.,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating/refining assets.
,PRINCIPLE 2: Integrate sustainable development in corporate strategy and decision-making processes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2.1: Integrate sustainable development principles into corporate strategy and decision-making processes relating to investments and in the design, operation and closure of facilities.",V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,l,This PE is applicable at the corporate level only and therefore is not applicable for all operating/refining assets.
,"2.2: Support the adoption of responsible health and safety, environmental, human rights and
labour policies and practices by joint venture partners, suppliers and contractors, based on risk.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,"PRINCIPLE 3: Respect human rights and the interests, cultures, customs and values of employees and communities affected by our activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3.1 Support the UN Guiding Principles on Business and Human Rights by developing a policy commitment to respect human rights, undertaking human rights due diligence and providing for or cooperating in processes to enable the remediation of adverse human rights impacts that members have caused or contributed to.",◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,l,l,l,l,l,l,l,l,l,◑,"Rio Tinto has a Human Rights Policy and mechanisms to identify, assess, communicate, control and remediate (if necessary) human rights impacts.  

While the processes in place fully meet the human rights requirements as per the UN Guiding Principles, learnings from the past few years have resulted in a recent update to Rio Tinto's human rights processes. The majority of assets are in the process of implementing these improvements and have therefore self-assessed as ""partially meets"" to acknowledge this work in progress.  

The Iron Ore Company of Canada (IOC) validation aligned with the self-assessment outcome of ""partially meets"". IOC has commenced work to improve the human rights risk assessment and deployment of human rights training.

The aluminium and copper assets have progressed improvement works in relation to human rights and have therefore assessed as ""meets""."
,3.2 Avoid the involuntary physical or economic displacement of families and communities. Where this is not possible apply the mitigation hierarchy and implement actions or remedies that address residual adverse effects to restore or improve livelihoods and standards of living of displaced people.,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,V,This PE is applicable at  the asset level only and therefore not applicable at the corporate level.
,"3.3 Implement, based on risk, a human rights and security approach consistent with the Voluntary Principles on Security and Human Rights.",◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,l,l,◑,◑,◑,l,l,l,l,l,l,l,l,l,l,l,l,l,l,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

The Rio Tinto Human Rights Policy and Group Security Standard requires implementation of the Voluntary Principles on Security and Human Rights (VPSHR). The assets are at different stages of implementation and this has been highlighted in the self-assessment outcomes.

Rio Tinto Iron Ore (RTIO) operations are not located in high risk or conflict affected countries, however, an opportunity to include adherence to the VPSHR was identified. Work is well progressed to implement this improvement.

Suzhou, Wilmington and Coudekerque are progressing to identify human rights risks, update their security management plans and finalize the VPSHR training deployment."
,3.4 Respect the rights of workers by: not employing child or forced labour; avoiding human trafficking; not assigning hazardous/dangerous work to those under 18; eliminating harassment and discrimination; respecting freedom of association and collective bargaining; and providing a mechanism to address workers grievances.,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,"In February 2022, Rio Tinto released the Everyday Respect Report. The Everyday Respect Report highlighted issues related to discrimination and harassment throughout the organisation. These findings covered the global spectrum. While Rio Tinto is actively implementing the recommendations from this report, we recognise that there is still work to be completed.  

To accurately represent these improvement opportunities, all assets have self-assessed as ""partially meets"". Assets that had previously completed self-assessments prior to February 2022 have reviewed their self-assessments in light of this report.

The IOC, Oyu Tolgoi (OT) and Rio Tinto Kennecott (RTK) validation outcomes aligned with the self-assessment outcomes of ""partially meets"". All sites are implementing actions to address findings from the Everyday Respect Report. "
,3.5 Remunerate employees with wages that equal or exceed legal requirements or represent a competitive wage within that job market (whichever is higher) and assign regular and overtime working hours within legally required limits.,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,"3.6 Respect the rights, interests, aspirations, culture and natural resource-based livelihoods of Indigenous Peoples in project design, development and operation; apply the mitigation hierarchy to address adverse impacts; and deliver sustainable benefits for Indigenous Peoples.",l,l,l,l,l,l,l,l,l,l,l,l,V,V,V,l,l,l,l,◑,l,◑,l,l,◑,l,V,V,l,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

Four assets (ISAL, Suzhou, Coudekeque and Wilmington) have been assessed as ""not applicable"" due to the absence of identified Indigenous Peoples in the regions which they operate.  

While systems and processes are in place to recognise and respect the rights and interests of Indigenous Peoples that meet the intent of this PE, three assets (Yarwun, Boyne Smelters Limited [BSL], Quebec Operations) are actively completing improvement work through engagements with Traditional Owners and First Nations to strengthen processes. To acknowledge this work in progress, these assets have self-assessed as ""partially meets"".

The validation outcome for RTK was confirmed as ""meets"" and acknowledges ongoing efforts to mature plans and processes."
,"3.7 Work to obtain the free, prior and informed consent of Indigenous Peoples where significant adverse impacts are likely to occur, as a result of relocation, disturbance of lands and territories or of critical cultural heritage, and capture the outcomes of engagement and consent processes in agreements.",l,l,l,l,l,l,l,l,l,l,l,l,V,V,V,l,l,l,l,l,l,l,l,l,l,l,V,V,V,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

Six assets (ISAL, Suzhou, Coudekeque and Wilmington, RTK and OT) assessed as ""not applicable"" due to the absence of identified Indigenous Peoples in the regions which they operate. 

The validation outcome for RTK was confirmed as ""not applicable"" in light of its 120-year history. The validation outcome for OT was also confirmed as ""not applicable"" as herder communities proximate to OT do not identify as Indigenous; Mongolians consider themselves socially and culturally homogeneous."
,3.8 Implement policies and practices to respect the rights and interests of women and support diversity in the workplace.,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,l,◑,◑,◑,"In February 2022, Rio Tinto released the Everyday Respect Report. The Everyday Respect Report highlighted issues related to discrimination related to gender throughout the organisation. These findings mostly covered the global spectrum. While Rio Tinto is actively implementing the recommendations from this report, we recognise that there is still work to be completed. Assets that previously completed self-assessments prior to February 2022 have reviewed their self-assessments in light of this report. To accurately represent these improvement opportunities, the majority of assets have self-assessed as ""partially meets"". 
 
The only asset that self-assessed as ""meets"" for this PE is ISAL, where legislation on gender equality, supported by a parliamentary resolution has shown continued improvements. The World Economic Forum's Global Gender Gap Report for the past 13 years has shown Iceland as the top performing country and in the top three most improved countries. Human rights and equality are fundamental statements in ISAL's policy, strategy and objectives which are audited externally on an annual basis.

The IOC, OT and RTK validation outcomes aligned with the self-assessment outcomes of ""partially meets"". All sites are implementing actions to address findings from the Everyday Respect Report. "
,PRINCIPLE 4: Implement effective risk management strategies and systems based on sound science and which account for stakeholder perceptions of risks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4.1 Assess environmental and social risks and opportunities of new projects and of significant changes to existing operations in consultation with interested and affected stakeholders, and publicly disclose assessment results.",l,◑,◑,◑,◑,◑,l,◑,◑,l,◑,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,◑,"Impact assessments are conducted in line with the Rio Tinto Project definitions guideline, Environmental and social impact guidance notes as well as the CSP Standard. This includes requirements at each project stage for assessment of impacts including environmental, social, cultural, and human rights impacts. While the assessment includes analysis of population and demography and consultation with potentially impacted populations, there is an opportunity for further improvement to include public disclosure of the assessment results.

Evidence of public disclosure processes for some studies was not available for the assets assessed as ""partially meets"". "
,"4.2 Undertake risk-based due diligence on conflict and human rights that aligns with the OECD Due Diligence Guidance on Conflict-Affected and High-Risk Areas, when operating in, or sourcing from, a conflict-affected or high-risk area.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
,"4.3 Implement risk-based controls to avoid/prevent, minimise, mitigate and/or remedy health, safety and environmental impacts to workers, local communities, cultural heritage and the natural environment, based upon a recognised international standard or management system.",◑,◑,◑,◑,◑,◑,◑,◑,◑,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

Rio Tinto HSEC Management System, HSEC standards and the Risk Management Standard describes our approach to risk management.    

All RTIO operations assessed as ""partially meets"" for this PE as there are currently improvement plans included in the HSE strategy to strengthen the approach to Chemical and hazardous substances exposure control; Fitness for work; Safety critical work; and Vector-borne and infectious disease control. "
,"4.4 Develop, maintain and test emergency response plans. Where risks to external stakeholders are significant, this should be in collaboration with potentially affected stakeholders and consistent with established industry good practice.",◑,◑,◑,◑,◑,◑,◑,◑,◑,◑,l,◑,◑,l,l,l,l,◑,l,l,l,l,l,l,l,l,l,l,l,V,"This PE is applicable at the asset level only and therefore is not applicable at the corporate level.

Rio Tinto has processes in place to develop, maintain and test emergency response plans in collaboration with potentially affected stakeholders.  

The assets assessed as ""partially meets"" identified improvement opportunities to demonstrate compliance with the emergency response exercise schedule and recording evidence of potentially impacted stakeholders involved in the development of emergency response plans.   "
,PRINCIPLE 5: Pursue continual improvement in health and safety performance with the ultimate goal of zero harm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5.1 Implement practices aimed at continually improving workplace health and safety, and monitor performance for the elimination of workplace fatalities, serious injuries and prevention of occupational diseases, based upon a recognised international standard or management system.",l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
