Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
86,,,Tom Price - TSF1,Australia,"-22.74290, 117.75118",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1979,Yes,Downstream,73,3500000,3500000,45078,No:\nOriginal design drawings are available. TSF1 is encapsulated in a mine waste rock dump and only the Northern Saddle dam remains exposed.,Low,GISTM,No,Both,No:\nTSF1 is encapsulated in a mine waste rock dump and only the Northern Saddle dam remains exposed.,No and No,Yes,"Q1: The TSF1 facility is encapsulated in a mine waste rock dump, except for the Northern saddle dam.",,
87,,,Tom Price - TSF2A,Australia,"-22.72063, 117.80431",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1992,Yes,Upstream,36.5,21500000,26500000,45078,Yes,Very High,GISTM,No,Both,Yes - March 2021,Yes and Yes,Yes,,,
88,,,Vaudreuil - Laterriere TSF Basins XC-XD,Canada,"48.34406, -71.20384",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1967,Yes,Downstream,25,10000000,10000000,44470,Yes,High,GISTM,No,Both,Yes - October 2022,Yes and Yes,Yes,,,
89,,,Vaudreuil - Local TSF Jonquiere,Canada,"48.41650, -71.15025",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1942,Yes,Downstream,40,36000000,41000000,44470,Yes,Significant,GISTM,No,Both,Yes - November 2022,Yes and Yes,Yes,,,
90,,,Vaudreuil - Pond 4,Canada,"48.41975, -71.15868",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1953,Yes,Downstream,16,800000,800000,44743,Yes,Extreme,GISTM,No,Both,Yes - October 2022,Yes and Yes,Yes,,,
91,,,Weipa - Andoom TSF,Australia,"-12.52083, 141.84377",Owned and Operated,,Rio Tinto,Rio Tinto,Active,2004,Yes,Upstream,21.5,64000000,80000000,44896,Yes,High,GISTM,No,Both,Yes - September 2021,Yes and Yes,Yes,,,
92,,,Weipa - East Weipa Emergency TSF,Australia,"-12.66509, 141.87959",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1993,Yes,Modified Centreline,8,800000,800000,44896,Yes,High,GISTM,No,Both,Yes - September 2021,Yes and Yes,Yes,,,
93,,,Weipa - East Weipa TSF1 and TSF2,Australia,"-12.66595, 141.88763",Owned and Operated,,Rio Tinto,Rio Tinto,Inactive,1976,Yes,Modified Centreline,10,11500000,11500000,44896,Yes,Low,GISTM,No,Both,Yes - September 2021,Yes and Yes,Yes,,,
94,,,Weipa - East Weipa TSF4,Australia,"-12.65000, 141.87585",Owned and Operated,,Rio Tinto,Rio Tinto,Active,1970,Yes,Upstream,26,79000000,79500000,44896,Yes,Extreme,GISTM,No,Both,Yes - August 2021,Yes and Yes,Yes,,,
95,,,Weipa - G and X Dam,Australia,"-12.65493, 141.85197",Owned and Operated,,Rio Tinto,Rio Tinto,Closed,1978,Yes,Upstream,6,1100000,1100000,N/A:\nThis facility has been decommissioned and rehabilitated.,No:\nThis facility has been decommissioned and rehabilitated.,Low,GISTM,No,Both,No:\nThis facility has been decommissioned and rehabilitated.,N/A and N/A:\nThis facility has been decommissioned and rehabilitated.,Yes,,,
