Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,,,,,,,,,,Sustainability Fact Book 2023,,,,,,,
2,,CLIMATE ACTION 100+ NET ZERO BENCHMARK - Transition materials metrics,,,,,,,,,,,,,,,
3,,Commodity,Classification,Year ended 31 December,Production1,Revenue2\nUS$m,Capital expenditure3\n$m,Operating assets4\n$m,"Emissions\nMt CO2e5,6","2024 Guidance\nRio Tinto production share, unless otherwise stated",,,,,,,
4,,Lithium,KTM,2023,0,0,27,834,0,0,,,,,,,
5,,('000 tonnes),,2022,0,0,15,835,0,0,,,,,,,
6,,Copper7 (Mined),KTM,2023,562.4,"2023: 6,625\n2022: 6,618","2023: 2.474\n2022: 1,942","2023: 21.046\n2022: 18,463",2023: 1.1\n2022: 1.7,Mined copper: 660 to 720kt\nRefined copper: 230 to 260kt,,,,,,,
7,,('000 tonnes),,2022,521,,,,,,,,,,,,
8,,Copper7 (Refined),KTM,2023,175.2,,,,,,,,,,,,
9,,('000 tonnes),,2022,209,,,,,,,,,,,,
10,,Silver (Mined),OTM,2023,3811,,,,,,,,,,,,
11,,('000 ounces),,2022,3940,,,,,,,,,,,,
12,,Silver (Refined),OTM,2023,1407,,,,,,,,,,,,
13,,('000 ounces),,2022,1950,,,,,,,,,,,,
14,,Molybdenum,OTM,2023,1.8,,,,,,,,,,,,
15,,('000 tonnes),,2022,3.3,,,,,,,,,,,,
16,,Gold (Mined),TNM,2023,281.5,,,,,,,,,,,,
17,,('000 ounces),,2022,235,,,,,,,,,,,,
18,,Gold (Refined),TNM,2023,74.2,,,,,,,,,,,,
19,,('000 ounces),,2022,113.9,,,,,,,,,,,,
20,,Aluminium8,OTM,2023,3272,9272,906,11919,17.2,3.2 to 3.4Mt,,,,,,,
