Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
33,,102.0,General Disclosures,102-30,Effectiveness of risk management processes,,Risk Management Framework,,,APA Group,2023.0,"APA adopts a three-line model for managing risks and establishing controls to promote the behaviours and decision-making to support effective risk management. This model of risk management is depicted below. Our employees are responsible for day-to-day risk management and decision-making within established guidelines. At the same time, APA's Executive Leadership Team, the Board's Risk Management Committee, and relevant business divisions provide ongoing oversight and review of significant risks with the assistance of internal and external experts.",,,Sustainability Report Data Book FY23,,19,,"Risk, Control, Model",12,G,,,,,,,,,,,,,,,
34,,102.0,General Disclosures,102-31,"Review of economic, environmental, and social topics",,ESG Scorecard,,,APA Group,2023.0,"APA has an ESG Scorecard. The scorecard explains that APA wants to:\n- Build: Climate Change Transition and Risk, Community and Social Performance, and First Nation People\n- Accelerate: Environmental Management, including Heritage Management\n- Maintain and Evolve: Safety, Health, and well-being, Inclusion and Diversity, People and Culture, and Governance and Risk Management",,,Sustainability Report Data Book FY23,,17,,"Build, Accelerate, Maintain & Evolve",9,G,,,,,,,,,,,,,,,
35,,102.0,General Disclosures,102-32,Highest governance body's role in sustainability reporting,"Directors were also briefed on industry developments, regulatory changes, and other matters relevant to the BoardÃ¢ÂÂs role in monitoring the implementation of APAÃ¢ÂÂs strategic intent. These presentations included externally facilitated sessions with subject matter experts on areas such as the energy market transition, climate change risk and reporting, developments in Health and Safety Laws and Officer Due Diligence.",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,3,,"Board's Role, Monitoring, Strategic Intent",9,G,,,,,,,,,,,,,,,
36,,102.0,General Disclosures,102-33,Communicating critical concerns,,APAÃ¢ÂÂs Annual Commercial Customer Feedback Survey,,,APA Group,2023.0,APAÃ¢ÂÂs annual commercial customer feedback survey was completed in November 2022. This means prioritising key attributes such as ease of doing business and innovation whilst delivering on commitments and working on improved communications and understanding of customersÃ¢ÂÂ concerns.,,,Sustainability Report Data Book FY23,,47,,"Customer Feedback, Concern, Communication",12,S,,,,,,,,,,,,,,,
37,,102.0,General Disclosures,102-34,Nature and total number of critical concerns,"Reviewed regulatory-related risk and compliance reports and new control environments, including the Security of Critical Infrastructure Risk Management Plan, Cyber Security, and the Modern Slavery Statement",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,10,,"Risk, Compliance Reports, Environment","9, 16",G,,,,,,,,,,,,,,,
38,,102.0,General Disclosures,102-35,Remuneration policies,"APAÃ¢ÂÂs remuneration objective is to reward executives at the median of observed total remuneration for selected comparable companies when performance is at target and up to the 75th percentile for above-target performance. APA has Fixed Pay, STI Plan, LTI Plan, etc.",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,81,,"Reward, Performance, 75 Percentile",8,E,,,,,,,,,,,,,,,
39,,102.0,General Disclosures,102-36,Process for determining remuneration,"Remuneration arrangements for Executive KMP are formalised in individual employment agreements. Termination arrangements, in addition to standard statutory entitlements, consisted of CEO/MD and GE Strategy & Commercial with each total fixed remuneration and notice period.",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,74,,"Remuneration Arrangement, Executive, KMP",9,G,,,,,,,,,,,,,,,
40,,102.0,General Disclosures,102-37,Stakeholders' involvement in remuneration,"The Remuneration Report (the Report) for APA for FY23 has been prepared by Section 300A of the Corporations Act 2001. This Report includes the following KMP: Non-Executive Directors (NEDS), Former NEDS, Executive KMP, Former Executive KMP.",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,75,,"Remuneration Report, Corporations Act, KMP",9,G,,,,,,,,,,,,,,,
41,,102.0,General Disclosures,102-38,Annual total compensation ratio,,,,NO DISCLOSURE,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,,,,,,,,,,,,,,,,,,,,
42,,102.0,General Disclosures,102-39,Percentage increase in annual total compensation ratio,,,,NO DISCLOSURE,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,,,,,,,,,,,,,,,,,,,,
43,,102.0,General Disclosures,102-40,List of stakeholder groups,FY23 associations\nÃ¢ÂÂ¢ Australian Climate Leaders Coalition\nÃ¢ÂÂ¢ Australian Hydrogen Council\nÃ¢ÂÂ¢ Australian Pipeline and Gas Association\nFY23 signatories\n1. United Nations Global Compact\n2. Energy Charter\n3. Methane Guiding Principles,,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,67,,,,,,,,,,,,,,,,,,,
44,,102.0,General Disclosures,102-41,Collective bargaining agreements,Obligations (often legally binding) that the organization has undertaken. They represent a form of joint decision-making concerning the organizationÃ¢ÂÂs operations.,,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,197,,"Obligations, Decision-making, Operations",9,G,,,,,,,,,,,,,,,
45,,102.0,General Disclosures,102-42,Identifying and selecting stakeholders,"To continue to deliver the most positive impact for APA and the highest value for our stakeholders, we must regularly re-evaluate the sustainability issues that are most relevant to our business and stakeholders. It will enable us to assess the economic, social, environmental and cultural impacts of our activities and business relationships and refine our main focus areas and associated initiatives.",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,,25,,"Positive Impact, Re-evaluate, Stakeholders","12, 17",G,,,,,,,,,,,,,,,
46,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Social Investment Framework Revision,,,APA Group,2023.0,In FY23 we prepared a revised Social Investment Framework and 2-year CSP Strategy which is scheduled for consultation in early Q1 FY24. This strategy seeks to elevate practices and drive consistency and awareness throughout the business.,,,Sustainability Report Data Book FY23,,30,,"Engagement, Development, Partnership","7, 17",S,,,,,,,,,,,,,,,
