Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
66,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"In FY23, APA contributed 6,809 AUD m total economic value generated and distributed.",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,2,,,,,,,APA FY23 Sustainability Data Book - 2. Economic,,,,,,,,,,,,,
67,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Sustainability Roadmap,,,APA Group,2023.0,Our approach to sustainability is governed by a Sustainability Roadmap centred on nine material sustainability issue areas identified through a consultative process. Our Roadmap provides a three-year framework for building the foundations of sector-leading sustainability performance.,,,Sustainability Report Data Book FY23,,17,,"Sustainability Issues, Roadmap, Sustainable Performance",7,E,,,,,,,,,,,,,,,
68,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Infrastructure Emission Reduction,,,APA Group,2023.0,"APA has committed to finance these infrastructure emission reduction initiatives through a $150 million to $170 million net-zero fund over FY23 to FY30. There is some upside pressure on this spending projection compressor electrification due to higher grid connection and electric motor drive unit costs. At the same time, other opportunities may be implemented in a more cost-efficient manner.",,,Sustainability Report Data Book FY23,,28,,"Infrastructure, Emission Reduction, Compressor Electrification","7, 9",E,,,,,,,,,,,,,,,
69,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
70,,201.0,Economic Performance,201-04,Financial assistance received from government,"In FY23, APA received 5,865,834 AUD, the total monetary value of financial assistance received from any government.",,,,APA Group,2023.0,,,,Sustainability Report Data Book FY23,2,,,,,E,,APA FY23 Sustainability Data Book - 2. Economic,,,,,,,,,,,,,
71,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Decarbonisation of the economy,,,APA Group,2023.0,APA supports the development of Renewable Energy Zones and contestability in transmission delivery to help efficiently connect renewable generation to the National Electricity Market. APA also supported amendments to the National Energy Objectives and the Safeguard Mechanism to help drive the decarbonisation of the economy.,,,Sustainability Report Data Book FY23,,13,,"Renewable Energy Zone, transmission delivery, National Electricity Market","Renewable Energy Zone, Transmission Delivery, Renewable Generation",E,,,,,,,,,,,,,,,
74,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
75,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
76,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
77,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Anti-Bribery and Corruption Policy,,,APA Group,2023.0,"APAÃ¢ÂÂs Anti-Bribery and Corruption Policy prohibits bribery and corruption in any form. The Policy mandates our anti-bribery and corruption program covers approvals for gifts, sponsorships, donations and entertainment, and third-party due diligence and provides for monitoring and reporting.",,,Sustainability Report Data Book FY23,,66,,"Bribery, Corruption, Monitoring and Reporting",16,G,,,,,,,,,,,,,,,
