Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
351,,,30-50 years of age (%),69.4,71.2,71.2,72.5,72.5,,,,,,,,,,,,,,,,,
352,,,50+ years of age (%),26.5,25.2,25.8,24.7,24.3,,,,,,,,,,,,,,,,,
354,,,"Operator, Technical Advisor (Level 1)",,,,,,,,,,,,,,,,,,,,,,
355,,,Total employees (#),4576,3587,3464,4216,3674,,,,,,,,,,,,,,,,,
356,,,Male (%),83.1,84,85.2,87,86.2,,,,,,,,,,,,,,,,,
357,,,Female (%),16.9,16,14.8,13,13.8,,,,,,,,,,,,,,,,,
358,,,<30 years of age (%),18.99,16.5,15.1,13.2,13,,,,,,,,,,,,,,,,,
359,,,30-50 years of age (%),60.16,64.3,63.8,66.6,70.1,,,,,,,,,,,,,,,,,
360,,,50+ years of age (%),20.84,19.3,21,20.2,16.9,,,,,,,,,,,,,,,,,
362,,,"Governance Committees - Diversity of employees by level, gender and age group (as at June 30 2023)",,,,,,,,,,,,,,,,,,,,,,
363,,,Board of Directors,Company,,,,,,,,,,,,,,,,,,,,,
364,,,Total employees (#),7,,,,,,,,,,,,,,,,,,,,,
365,,,Male (%),57.14,,,,,,,,,,,,,,,,,,,,,
366,,,Female (%),42.86,,,,,,,,,,,,,,,,,,,,,
367,,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
368,,,30-50 years of age (%),14.29,,,,,,,,,,,,,,,,,,,,,
369,,,50+ years of age (%),85.71,,,,,,,,,,,,,,,,,,,,,
371,,,Audit & Risk Committee,,,,,,,,,,,,,,,,,,,,,,
372,,,Total employees (#),3,,,,,,,,,,,,,,,,,,,,,
373,,,Male (%),0,,,,,,,,,,,,,,,,,,,,,
374,,,Female (%),100,,,,,,,,,,,,,,,,,,,,,
375,,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
376,,,30-50 years of age (%),33.33,,,,,,,,,,,,,,,,,,,,,
377,,,50+ years of age (%),66.67,,,,,,,,,,,,,,,,,,,,,
379,,,Human Resources & Renumeration Committee,,,,,,,,,,,,,,,,,,,,,,
380,,,Total employees (#),4,,,,,,,,,,,,,,,,,,,,,
381,,,Male (%),50,,,,,,,,,,,,,,,,,,,,,
382,,,Female (%),50,,,,,,,,,,,,,,,,,,,,,
383,,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
384,,,30-50 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
385,,,50+ years of age (%),100,,,,,,,,,,,,,,,,,,,,,
387,,,Safety & Sustainability Committee,,,,,,,,,,,,,,,,,,,,,,
388,,,Total employees (#),4,,,,,,,,,,,,,,,,,,,,,
389,,,Male (%),75,,,,,,,,,,,,,,,,,,,,,
390,,,Female (%),25,,,,,,,,,,,,,,,,,,,,,
391,,,<30 years of age (%),0,,,,,,,,,,,,,,,,,,,,,
392,,,30-50 years of age (%),25,,,,,,,,,,,,,,,,,,,,,
393,,,50+ years of age (%),75,,,,,,,,,,,,,,,,,,,,,
395,,,Nominations Committee,,,,,,,,,,,,,,,,,,,,,,
396,,,Total employees (#),3,,,,,,,,,,,,,,,,,,,,,
397,,,Male (%),66.67,,,,,,,,,,,,,,,,,,,,,
