Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
2,,,GRI 400 series - Social,,,,,,,,,,,,,,,,,,,,,,
4,,,"Year-on-year data may not be directly comparable as a result of acquisition or divestment activity. \nBrucejack data is presented in company totals for the first time in FY23. FY20 reporting did not include Red Chris performance unless otherwise stated. Data contained in the FY20 Sustainability Report for Gosowong was reported up to divestment on 4 March 2020 (unless otherwise stated).\n\nIn the interests of public disclosure, Wafi-Golpu JV data is presented in performance data tables however is not included in Company totals unless otherwise stated. \n\nThe data presented in the following tables may not total exactly due to rounding.",,,,,,,,,,,,,,,,,,,,,,
8,,,GRI 401-1 New employee hires and employee turnover FY23,,,,,,,,,,,,,,,,,,,,,,
9,,,Employment type,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
10,,,Total full-time employees (#),6436,890,1313,2470,803,479,36,53,8,58,384,,,,,,,,,,,
11,,,Total new full-time hires (#),1273,144,247,468,243,88,14,2,0,4,67,,,,,,,,,,,
12,,,Full-time employee turnover (#),981,151,167,310,183,106,8,12,0,3,44,,,,,,,,,,,
13,,,Full-time employee turnover to total full-time (%),15.24,0.17,12.72,12.55,22.79,22.13,22.22,22.64,0,5.2,11.46,,,,,,,,,,,
14,,,Full-time employee turnover to all employees (%),14.88,0.158,12.43,12.52,22.79,21.86,22.22,20,0,5.2,10.38,,,,,,,,,,,
15,,,Total part-time employees (#),155,66,30,6,0,6,0,7,0,0,40,,,,,,,,,,,
16,,,Total new part-time hires (#),153,130,2,2,0,0,0,1,0,0,18,,,,,,,,,,,
17,,,Part-time employee turnover (#),112,106,4,1,0,0,0,0,0,0,1,,,,,,,,,,,
18,,,Part-time employee turnover to total part-time (%),1.74,1.606,13.33,16.67,0,0,0,0,0,0,2.5,,,,,,,,,,,
19,,,Part-time employee turnover to total employees (%),1.7,0.111,0.3,0.04,0,0,0,0,0,0,0.24,,,,,,,,,,,
21,,,Gender,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Havieron,Exploration,Namosi,Wafi-Golpu,Corporate Offices,,,,,,,,,,,
22,,,Total males employed (#),5442,752,1197,2119,640,416,27,40,4,51,247,,,,,,,,,,,
23,,,Total new male hires (#),1135,198,217,403,187,68,10,1,0,5,51,,,,,,,,,,,
24,,,Male turnover (#),868,184,143,266,146,84,5,10,0,2,30,,,,,,,,,,,
25,,,Male turnover (of male employees) (%),15.95,0.245,11.95,12.55,22.81,20.19,18.52,25,0,3.9,12.15,,,,,,,,,,,
26,,,Male turnover (of all employees) (%),13.17,0.192,10.65,10.74,18.18,17.32,13.89,16.67,0,3.4,7.08,,,,,,,,,,,
27,,,Females employed (#),1149,204,146,357,163,69,9,20,4,7,177,,,,,,,,,,,
28,,,Total new female hires (#),291,76,32,67,56,20,4,2,0,0,34,,,,,,,,,,,
29,,,Female turnover (#),224,73,28,45,36,22,3,2,0,1,15,,,,,,,,,,,
30,,,Female turnover (of female employees) (%),19.5,0.358,19.18,12.61,22.09,31.88,33.33,10,0,14.3,8.47,,,,,,,,,,,
