Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
180,,,Which (if any) of these hazards have contributed to high consequence injury during the reporting period?,The following hazards have contributed to high-consequence injuries during the reporting period: Entanglement and Crushing; Ergonomics and Manual Handling,,,,,,,,,,,,,,,,,,,,,
181,,,Actions taken or underway to eliminate these hazards and minimise risks using the hierarchy of controls,"Newcrest's Risk Management process of risk identification, analysis, evaluation and control, supported by control verification with our Critical Control Management process aims to minimise the risk of these hazards. All incidents involving injuries are investigated to determine contributing factors and actions assigned based on the hierarchy of control, with a focus on higher order controls including elimination where practicable, substitution and engineering.",,,,,,,,,,,,,,,,,,,,,
182,,,Any actions taken or underway to eliminate other work-related hazards and minimise risks using the hierarchy of controls,As above,,,,,,,,,,,,,,,,,,,,,
183,,,"Whether and, if so, why any workers or types of worker have been excluded from this disclosure",Joint ventures where Newcrest is not the controlling partner are excluded,,,,,,,,,,,,,,,,,,,,,
184,,,"Contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, and assumptions used",The data has been compiled with reference to Newcrest's Occupational injury and illness classification and reporting procedure.,,,,,,,,,,,,,,,,,,,,,
188,,,GRI 403-10 Total Recordable Work-Related Ill Health,FY23,,,FY22,,,FY21,,,,,,,,,,,,,,,
189,,,,Company,Employees,Contractors,Company,Employees,Contractors,Company,Employees,Contractors,,,,,,,,,,,,,
191,,,Company,5,2,,3,1,2,5,0,5,,,,,,,,,,,,,
192,,,Brucejack,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
193,,,Cadia,1,0,1,1,1,0,3,1,3,,,,,,,,,,,,,
194,,,Lihir,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
195,,,Red Chris,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
196,,,Telfer,3,2,1,0,0,0,2,0,2,,,,,,,,,,,,,
197,,,Exploration,1,0,1,2,0,2,0,0,0,,,,,,,,,,,,,
198,,,Project Delivery,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
199,,,Namosi,0,0,0,0,0,0,-,-,-,,,,,,,,,,,,,
200,,,Corporate Offices,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
201,,,Wafi-Golpu,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
203,,,"(1) In line with ICMM guidelines, the calculation of Company-wide illness only includes operational sites and joint ventures in which Newcrest has a controlling interest; therefore, Wafi-Golpu is excluded.\n(2) Prior to FY22, illnesses recorded from Project delivery activities were included in the Company total\n(3) There were no fatalities as a result of ill health in FY23.\n(4) The main types of recordable work-related ill health were Strains/ Sprains, musculoskeletal disorders and infection\n(5) Recordable Work-Related ill Health is not reported by gender or types of ill Health.",,,,,,,,,,,,,,,,,,,,,,
208,,,Additional notes: Total Recordable Work-Related Ill Health,,,,,,,,,,,,,,,,,,,,,,
209,,,Work-related hazards that pose a risk of ill health,The main types of work-related hazards that pose a risk of ill health include: Silica; Diesel Particulate Matter; Manual Handling; Exposure to Hazardous Substances; Psychosocial; Psychological; Noise; Ergonomics,,,,,,,,,,,,,,,,,,,,,
210,,,How have these hazards been determined?,"The hazards have been determined in accordance with the Risk Management Standard, with identification through NewcrestÃ¢ÂÂs historical incident experience, Risk register and risk assessment reviews, Industry and/or Professional experience and research and document reviews.",,,,,,,,,,,,,,,,,,,,,
211,,,Which (if any) of these hazards have contributed to cases of ill health during the reporting period,The hazards that have contributed to cases of ill health in the reporting period include Manual Handling and Ergonomics.,,,,,,,,,,,,,,,,,,,,,
212,,,Actions taken or underway to eliminate these hazards and minimise risks using the hierarchy of controls,"NewcrestÃ¢ÂÂs Risk Management process of risk identification, analysis, evaluation, and control, supported by control verification with our Critical Control Management process aims to minimise the risk of these hazards. All incidents involving illnesses are investigated to determine contributing factors and actions assigned based on the hierarchy of control, with a focus on higher order controls including elimination where practicable, substitution and engineering.",,,,,,,,,,,,,,,,,,,,,
213,,,"Whether and, if so, why any workers or types of worker have been excluded from this disclosure",Joint ventures where Newcrest is not the controlling partner are excluded.,,,,,,,,,,,,,,,,,,,,,
214,,,"Contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, and assumptions used",The data has been compiled with reference to NewcrestÃ¢ÂÂs Occupational injury and illness classification and reporting procedure.,,,,,,,,,,,,,,,,,,,,,
215,,,Additional information,"Employees and contractors at Newcrest locations where mining, construction or exploration activities are conducted are exposed to the following work-related hazards that pose a risk of ill health: Silica; Manual Handling; Exposure to Hazardous Substances and Noise. Employees and Contractors at Underground mining or enclosed workplaces with diesel engine combustion are exposed to Diesel Particulate Matter. All employees and Contractors at Newcrest locations are exposed to Psychosocial, Psychological and Ergonomics Hazards. \nSome of the chemicals that pose a risk of ill health include cyanide, isocyanate, lead, mercury, arsenic, carbon monoxide and asbestos.",,,,,,,,,,,,,,,,,,,,,
218,,,GRI 405-2 Ratio of basic salary and remuneration of women to men (%) FY23 (1)(2),,,,,,,,,,,,,,,,,,,,,,
219,,,,Company,Brucejack,Cadia,Lihir,Red Chris,Telfer,Exploration,Havieron,Namosi,WGJV,Corporate offices,,,,,,,,,,,
220,,,Senior Executive (Level 5 & 6),,,,,,,,,,,5.1,,,,,,,,,,,
221,,,Senior Executive Ã¢ÂÂ male (Level 5 & 6),,,,,,,,,,,6,,,,,,,,,,,
222,,,Senior Executive Ã¢ÂÂ female (Level 5 & 6),,,,,,,,,,,4,,,,,,,,,,,
223,,,General Manager (Level 4),13.9,16.3,21.8,20.5,20.3,17.4,,,,0,9.4,,,,,,,,,,,
224,,,General Manager Ã¢ÂÂ male (Level 4),13.9,16.3,21.8,17.6,20.3,15.1,,,,0,9.3,,,,,,,,,,,
225,,,General Manager Ã¢ÂÂ female (Level 4),14.1,,,44.2,,29.3,,,,,9.5,,,,,,,,,,,
226,,,Manager (level 3),18.2,21.3,43.2,21.4,12.1,19.5,11.4,51.8,4.9,0,10.7,,,,,,,,,,,
227,,,Manager Ã¢ÂÂ male (Level 3),19.4,22.3,42.9,21.5,12.2,17.4,12.7,51.8,6.5,0,11.6,,,,,,,,,,,
228,,,Manager Ã¢ÂÂ female (Level 3),14.9,18.4,44.7,20.5,11.9,36.3,,,3.3,0,9,,,,,,,,,,,
229,,,"Supervisor, superintendent, coordinator & senior technical specialist (Level 2)",45.1,17.4,82,45.2,26.5,34.5,20.6,39.5,5.6,0,13.6,,,,,,,,,,,
230,,,"Supervisor, superintendent, coordinator & senior technical specialist Ã¢ÂÂ male (Level 2)",48.5,18.5,89,46.2,28.1,35.9,17.6,36,6.3,0,15.8,,,,,,,,,,,
231,,,"Supervisor, superintendent, coordinator & senior technical specialist Ã¢ÂÂ female (Level 2)",28.2,13.2,35.7,38.4,19.9,28.7,29.5,95.1,3.5,0,10.4,,,,,,,,,,,
232,,,"Operator, technical advisor & other (level 1)",47.2,9.7,93.7,29.2,25.3,31.5,9,16.7,3.1,0,12.6,,,,,,,,,,,
233,,,"Operator, technical advisor & other Ã¢ÂÂ male (Level 1)",49.6,11.3,95,30.4,25.9,32.5,6,14.6,,0,14,,,,,,,,,,,
234,,,"Operator, technical advisor & other Ã¢ÂÂ female (Level 1)",34.5,3.9,83.1,22.9,22.7,25.9,9.7,19.5,3.1,0,11.7,,,,,,,,,,,
236,,,"(1) Per average training hours recorded in Newcrest's system of record (learning management system). Please note that there are a small number of instances where employees are mapped to different sites in different system of source records. For example, some Exploration employees have been allocated to Corporate Offices in the learning management system and some Perth employees have been allocated to Telfer. \n(2) Company average does not include Brucejack.\n(3) For Brucejack - Training data only includes hours recorded for Executive Leadership Development, Pro Supervisor, HR 101s, Upstander Training, Workplace Behaviour Training, Safety/Vista Training, NewSafe, Code of Conduct, and Apprenticeship Training. \n(4) Site is under care and maintenance. No training hours were recorded however employees received on the job inductions.",,,,,,,,,,,,,,,,,,,,,,
239,,,404-2 Programs for upgrading employee skills and transition assistance programs,,,,,,,,,,,,,,,,,,,,,,
