Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
94,,,"Disclosure 403-2 Hazard identification, risk assessment, and incident investigation","How the organization ensures the quality of these processes, including the competency of persons who carry them out.",,,"The processes used to identify hazards, assess risks and apply the hierarchy of control is defined in the Newcrest Risk Management Standard, which aligns with the requirements of ISO 31000 Risk Management Principles and guidelines, in addition to the HSEMS Standard 7 - Hazard Identification and Risk Management.",,,,,,,,,,,,,,,,,,
95,,,,How the results of these processes are used to evaluate and continually improve the occupational health and safety management system.,,,"As defined in the Newcrest Assurance Standard, the HSEMS is assessed based on a first, second and third line assurance model.",,,,,,,,,,,,,,,,,,
96,,,,"A description of the processes for workers to report work-related hazards and hazardous situations, and an explanation of how workers are protected against reprisals.",,,Results from internal and external assurance are used to develop corrective action plans that improve the implementation and efficiency of the HSEMS.,,,,,,,,,,,,,,,,,,
97,,,,"A description of the policies and processes for workers to remove themselves from work situations that they believe could cause injury or ill health, and an explanation of how workers are protected against reprisals.",,,"Via induction training, personnel are instructed to report hazards identified in the workplace with their supervisor or manager, health and safety representatives or members of the health and safety Team. Hazard reports are raised in a database for investigation, review and the assignment of corrective actions. \nNewcrest's Code of Conduct https://www.newcrest.com/sites/default/files/2023-01/Code%20of%20Conduct.pdf supported by training defines expectations of our people to speak out about concerns including safety issues including our commitment to support those who do so from detrimental treatment.",,,,,,,,,,,,,,,,,,
98,,,,"A description of the processes used to investigate work-related incidents, including the processes to identify hazards and assess risks relating to the incidents, to determine corrective actions using the hierarchy of controls, and to determine improvements needed in the occupational health and safety management system.",,,"Our NewSafe program is designed to build a strong safety culture, supporting personnel to speak up and stop work where they believe it is not safe. This is built on three foundational elements: Leadership Ã¢ÂÂ build, promote and reinforce safety leadership at all levels; Coaching Ã¢ÂÂ create and support technically sound and visible frontline supervisors; and Behaviours Ã¢ÂÂ encourage personnel to reflect on past experiences to create behaviours and strategies to support safe choices.",,,,,,,,,,,,,,,,,,
99,,,Disclosure 403-3 Occupational health services,Describe the occupational health servicesÃ¢ÂÂ functions that contribute to the identification and elimination of hazards and minimization of risks.,,,Newcrest employs Health and Hygiene professionals to provide expertise and support and consults with allied health professionals as required.,,,,,,,,,,,,,,,,,,
100,,,,Explain how the organization ensures the quality of these services and facilitates employees and contractorsÃ¢ÂÂ access to them.,,,"The quality of health services provided for Newcrest employees and contractors is assessed in accordance with the Newcrest Assurance standard, performance management processes in accordance with defined objectives and metrics, for employees and contractors. Access to these services is facilitated through health promotion webinars, training induction information, advertising and safety and health meeting agendas.",,,,,,,,,,,,,,,,,,
101,,,,Describe how the organization maintains the confidentiality of employee and contractorsÃ¢ÂÂ personal health related Information and how the organization ensures that theirÃ¢ÂÂ personal health-related information and their participation in any occupational health services is not used for any favourable or unfavourable treatment.,,,"In accordance with the Newcrest Privacy Standard, health related records are maintained to protect personal privacy. Occupational Health Service consultations are strictly confidential. Access to information related to the use of Occupational Health Services and personal medical records is confidential. Access is restricted to personal information in Occupational health databases through security profile configuration and file security.",,,,,,,,,,,,,,,,,,
102,,,"Disclosure 403-4 Worker participation, consultation,\nand communication on occupational health and safety","Describe the process for employee and contractor participation and consultation in the development, implementation, and evaluation of the occupational health and safety management system, and for providing access to and communicating relevant information on occupational health and safety to workers.",,,"As defined in HSEMS Standard HSEMS Ã¢ÂÂ 04 Operational Control, Health Safety Environment (HSE) plans and procedures are required to be developed in consultation with the workforce. Furthermore our Management of Change processes as defined in HSEMS Standard 08 Management of Change, which were streamlined to improve functionality and efficiency at all levels of the business and functions, require stakeholder consultation and engagement.",,,,,,,,,,,,,,,,,,
103,,,,"Do formal joint management-worker health and safety committees exist? If YES, describe their responsibilities, meeting frequency, decision-making authority, and whether any workers are not represented by these committees.",,,"As defined in HSEMS Standard 01 Leadership, Planning and Review, the Health Safety Environment (HSE) committees that represent all levels of the operating site are established to address HSE matters and concerns, monitor HSE performance and processes, and assist in the implementation of improvement plans. Meetings are scheduled at a set frequency.",,,,,,,,,,,,,,,,,,
