Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,FY22 GRI content index,,,,,,,
,,,,,,,,,
,,"Statement of use
Newcrest Mining Ltd has reported in accordance with the GRI Standards for the period 
1 July 2022 to 30 June 2023 (FY23).

GRI used 
GRI 1: Foundation 2021	",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"GRI 2
General Disclosures 2021",,,,,,,
,,,,,,,,,
,,Disclosure,Report Section,Omission,,,,,
,,,,,,,,,
,,"Disclosure 2-1 
Organisational details","Newcrest Mining Limited
About Newcrest p.2
Newcrest Operations p. 6
2023 Annual Report",,,,,,
,,"Disclosure 2-2 
Entities included in the organisation’s sustainability reporting","About Newcrest  p. 2
Reporting Boundary  p. 9
Newcrest Operations p. 6
2023 Annual Report",,,,,,
,,"Disclosure 2-3 Reporting period, frequency and contact point","Reporting Boundary  p. 9
Our performance data tables reflect current operations and interests.",,,,,,
,,Disclosure 2-4 Restatements of information,"Reporting Boundary p. 9
When applicable, restatements are included as footnotes in the Report",,,,,,
,,Disclosure 2-5 External assurance,Assurance statement pp. 57-58,,,,,,
,,"Disclosure 2-6 Activities, value chain and other business relationships","About Newcrest p. 2
Newcrest Value Chain p. 8
Newcrest Operations p. 6
Community Partnerships pp. 16-20
Human rights  p. 21
Newcrest Value Chain GHG emissions p. 32
Transparent and ethical business pp. 35-37
Performance data p. 38
2023 Annual Report",,,,,,
,,Disclosure 2-7 Employees,"Our People p. 12-13
Performance data p. 39
GRI 200 Economic tab.",,,,,,
,,Disclosure 2-8 Other workers,"Our People p 12-13
Performance data p. 40
GRI 200 Economic tab.",,,,,,
,,Disclosure 2-9 Governance structure and composition,"Governance and Risk Management p. 8
Climate change - Governance - p. 28
2023 Corporate Governance Statement
2023 Annual Report",,,,,,
,,Disclosure 2-10 Nomination and selection of the highest governance body,"2023 Corporate Governance Statement
Governance and Risk Management p. 8",,,,,,
,,Disclosure 2-11 Chair of the highest governance body,"2023 Corporate Governance Statement
2023 Annual Report",,,,,,
,,Disclosure 2-12 Role of the highest governance body in overseeing the management of impacts,"Governance and Risk Management p. 8
Materiality Assessment p.9
Climate change - Governance - p. 28
Board Charter
2023 Corporate Governance Statement",,,,,,
,,Disclosure 2-13 Delegation of responsibility for managing impacts,"Governance and Risk Management p. 8
2023 Corporate Governance Statement",,,,,,
,,Disclosure 2-14 Role of the highest governance body in sustainability reporting,"Governance and Risk Management p. 8
Materiality Assessment p. 9",,,,,,
,,Disclosure 2-15 Conflicts of interest,"2023 Corporate Governance Statement
2023 Annual Report
Code of Conduct",,,,,,
,,Disclosure 2-16 Communication of critical concerns,"Human Rights p. 21
Transparent and Ethical Business pp. 35-37
2023 Corporate Governance Statement
2023 Annual Report
2023 Modern Slavery Statement",,,,,,
,,Disclosure 2-17 Collective knowledge of highest governance body,2023 Corporate Governance Statement,,,,,,
,,Disclosure 2-18 Evaluating the highest governance body’s performance,"Governance and Risk Management p. 8
2023 Corporate Governance Statement",,,,,,
,,Disclosure 2-19 Remuneration policies,2023 Annual Report - Remuneration Report,,,,,,
,,Disclosure 2-20 Process to determine remuneration,2023 Annual Report - Remuneration Report,,,,,,
,,"Disclosure 2-21 
Annual total compensation ratio","2023 Annual Report - Remuneration Report
The annual total compensation is disclosed in the Remuneration Report, from page 82 Newcrest's 2023 Annual Report. 
GRI 200 - Economic tab.",,,,,,
,,Disclosure 2-22 Statement on sustainable development strategy,Leaders' Message p. 5,,,,,,
