Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,Industry,,,,,,
,,,,,,,,
,,"To support the responsible discovery, development and production of gold and copper, we engage in a variety of ways
with industry, business, education and research, and other non-government organisations, including through memberships. This includes the International Council on Mining and Metals (ICMM) Performance Expectations, and the World Gold Council (WGC) Responsible Gold Mining Principles.",,,,,,
,,,,,,,,
,,,,,,,,
,,International Council on Mining & Metals | Performance Expectations,,,,,,
,,Legend:   ✓ Meets    / Partially meets    ✗ Does not meet,,,,,,
,,,,,,,,
,,,Cadia,Lihir ,Red Chris,Telfer,Brucejack (1),
,,Self-assessment,FY21,FY21,FY21,FY21,,
,,Assurance process,FY22,FY22,FY22,FY22,,
,,Gap closure,FY23,FY23,FY23,FY23,,
,,,,,,,,
,,Principle 1 | Ethical Business,,,,,,
,,1.1,✓,✓,✓,✓,,
,,1.2,✓,✓,✓,✓,,
,,1.3,✓,✓,✓,✓,,
,,1.4,✓,✓,✓,✓,,
,,1.5,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 2 | Decision-Making,,,,,,
,,2.1,✓,✓,✓,✓,,
,,2.2,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 3 | Human Rights,,,,,,
,,3.1,✓,✓,✓,✓,,
,,3.2,✓,✓,✓,✓,,
,,3.3,✓,✓,✓,✓,,
,,3.4,✓,✓,✓,✓,,
,,3.5,✓,✓,✓,✓,,
,,3.6,✓,✓,✓,✓,,
,,3.7,✓,✓,✓,✓,,
,,3.8,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 4 | Risk Management,,,,,,
,,4.1,✓,✓,✓,✓,,
,,4.2,✓,✓,✓,✓,,
,,4.3,✓,✓,✓,✓,,
,,4.4,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 5 | Health & Safety,,,,,,
,,5.1,✓,✓,✓,✓,,
,,5.2,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 6 | Environmental Performance,,,,,,
,,6.1,✓,✓,✓,✓,,
,,6.2,✓,✓,✓,✓,,
,,6.3,/,/,/,/,,
,,6.4,✓,✓,✓,✓,,
,,6.5,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 7 | Conservation of Biodiversity,,,,,,
,,7.1,✓,✓,✓,✓,,
,,7.2,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 8 | Responsible Production,,,,,,
,,8.1,✓,✓,✓,✓,,
,,8.2,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 9 | Social Performance,,,,,,
,,9.1,✓,✓,✓,✓,,
,,9.2,✓,✓,✓,✓,,
,,9.3,✓,✓,✓,✓,,
,,9.4,✓,✓,✓,✓,,
,,,,,,,,
,,Principle 10 | Stakeholder Engagement,,,,,,
,,10.1,✓,✓,✓,✓,,
,,10.2,✓,✓,✓,✓,,
,,10.3,✓,✓,✓,✓,,
,,10.4,✓,✓,✓,✓,,
,,,,,,,,
