Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2,,,GRI 300 series - Environmental,,,,,,,,,,,,,,,,,,,
4,,,"Year-on-year data may not be directly comparable as a result of acquisition or divestment activity. \nBrucejack data is presented in company totals for the first time in FY23. FY20 reporting did not include Red Chris performance unless otherwise stated. Data contained in the FY20 Sustainability Report for Gosowong was reported up to divestment on 4 March 2020 (unless otherwise stated).\n\nEnvironmental data (GRI 300 series) is reported on an operational control basis.\nFor example, Red Chris data is reported at 100% (despite having 70% ownership).\n\nIn the interests of public disclosure, Wafi-Golpu JV data is presented in performance data tables however is not included in Company totals unless otherwise stated. \n\nThe data presented in the following tables may not total exactly due to rounding. \t\t\t\t\t\t\t",,,,,,,,,,,,,,,,,,,
7,,,GRI 302-1 Energy consumption within the organization (GJ) FY23(1),,,,,,,,,,,,,,,,,,,
8,,,Electricity generation - fossil fuels,Company,Brucejack,Cadia,Lihir,Red Chris (2),Telfer,Havieron,Exploration,Namosi,Wafi-Golpu (2),Corporate Offices(3),,,,,,,,
9,,,Diesel,151034,0,0,88610,0,18233.7,44190,0,0,0,0,,,,,,,,
10,,,Fuel oil,7998955,0,0,7998955,0,0,0,0,0,0,0,,,,,,,,
11,,,Natural Gas,6205748,0,0,0,0,6205748,0,0,0,0,0,,,,,,,,
12,,,Energy consumed for production of electricity,14355736.6,0,0,8087565,0,6223981.7,44190,0,0,0,0,,,,,,,,
14,,,Renewable electricity consumed,,,,,,,,,,,,,,,,,,,
15,,,Geothermal energy,64588,0,0,64588,0,0,0,0,0,0,0,,,,,,,,
16,,,Energy consumed - renewable electricity,64587.6,0,0,64588,0,0,0,0,0,0,0,,,,,,,,
18,,,On-site fuels and oils,,,,,,,,,,,,,,,,,,,
19,,,Acetylene,434,13,80,252,54,34.9,0,0,0,0,0,,,,,,,,
20,,,"Diesel (non-transport, haulage and production)",6281864,338806,995791,2017009,1106092,1699771.3,124395,0,0,11464,0,,,,,,,,
21,,,Diesel used in explosives,23521,0,0,12254,6810,4457.1,0,0,0,0,0,,,,,,,,
22,,,Grease,14680,0,2313,7288,1381,3326.7,372,0,0,0,0,,,,,,,,
23,,,Hydraulic/non-lubricant fluid oils,272,0,272,0,,0,0,0,0,0,0,,,,,,,,
24,,,Liquefied petroleum gas,124594,57209,763,0,66194,819.3,0,0,0,0,11,,,,,,,,
25,,,Natural gas,9594,0,0,0,0,0,0,0,0,0,9594,,,,,,,,
26,,,Oil (lubricating oil),135588,1931,23387,44447,19919,45904.5,0,0,0,0,0,,,,,,,,
27,,,Unleaded petrol,1400,0,0,1335,0,0,0,0,64,0,0,,,,,,,,
28,,,Energy consumed - non-transport (including on-site mobile fleet),6592349,397959,1022606,2082585,1200450,1754313.8,124767,,64,11464,9605,,,,,,,,
