Unnamed: 0,Governance,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Indicator,Unit,FY2020,FY2021,FY2022,FY2023
1,Code of conduct,,,,,
2,Code of conduct training completion,#,42000,40000,40000,43800
3,Ethics helpline,,,,,
4,Total reports,#,186,188,180,200
5,Reports in progress,#,31.62,30.080000000000002,30,13
6,Reports partially or fully substantiated,#,74.4,56.4,61.2,70
7,Reports unsubstantiated,#,79.98,101.52000000000001,89,117
8,Due diligence checks,,,,,
9,Total,#,2450,8821,11078,9923
10,Customers,#,1700,3227,4335,4313
11,Suppliers,#,750,5532,6660,5498
12,Other partners1,#,n.d.,62,83,112
13,Business involvement in countries with significant corruption risk2,,,,,
14,Number of active projects,#,n.d.,n.d.,0,0
15,Total backlog,AUD,n.d.,n.d.,0,0
16,Monetary losses as a result of legal proceedings associated with,,,,,
17,Bribery and corruption,AUD,n.d.,n.d.,n.d.,0
18,Professional integrity,AUD,n.d.,n.d.,n.d.,0
19,Anti-competitive practices,AUD,n.d.,n.d.,n.d.,0
21,"1Due diligence checks on other partners, such as agents, joint ventures and sponsorship opportunities.",,,,,
22,"2Significant corruption risk is defined as the 20 countries holding 20 lowest ratings in Transparency InternationalÃ¢ÂÂs Corruption Perception Index, as of 30 June 2023.",,,,,
