Unnamed: 0,Social,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Indicator,Unit,FY2020,FY2021,FY2022,FY2023,,
1,Safety,,,,,,,
2,Total Recordable Case Frequency Rate (TRCFR)1,,0.16,0.16,0.16,0.14,,
3,Direct employees,,n.d.,n.d.,0.13,0.12,,
4,Contractors and subcontractors,,n.d.,n.d.,0.21,0.18,,
5,Partners and customers,,n.d.,n.d.,0.06,0,,
6,Lost Workday Frequency Rate (LWCFR)1,,0.03,0.02,0.04,0.03,,
7,Direct employees,,n.d.,n.d.,0.03,0.03,,
8,Contractors and subcontractors,,n.d.,n.d.,0.06,0.03,,
9,Partners and customers,,n.d.,n.d.,0,0,,
10,Serious Case Frequency Rate (SCFR)1,,0.06,0.07,0.06,0.03,,
11,Direct employees,,n.d.,n.d.,0.05,0.03,,
12,Contractors and subcontractors,,n.d.,n.d.,0.07,0.04,,
13,Partners and customers,,n.d.,n.d.,0.06,0,,
14,Fatalities,#,1,0,0,1,,
15,Direct employees,#,n.d.,0,0,1,,
16,Contractors and subcontractors,#,n.d.,0,0,0,,
17,Partners and customers,#,n.d.,0,0,0,,
18,People development,,,,,,,
19,Digital learning accreditations Issued,#,n.d.,n.d.,21700,41800,,
20,Sustainability learning accreditations Issued,#,n.d.,n.d.,10500,44700,,
21,Workforce training on data privacy,%,0.6556744769067593,0.8385744234800838,0.85,0.98,,
22,Utilization,%,n.d.,n.d.,0.9,0.9,,
23,Gender,,,,,,,
24,Total workforce,%,n.d.,0.18,0.186,0.208,,
25,Board members,%,n.d.,0.33,0.33,0.33,,
26,Group Executives,%,n.d.,0.6,0.45,0.45,,
27,Senior Leaders,%,n.d.,0.16,0.16,0.16,,
28,Graduate intake,%,n.d.,0.46,0.47,0.48,,
29,Our workforce demograpics,,,,,,,
30,Total employees,#,51855,47700,51000,48233,,
31,Employees (Americas),#,n.d.,n.d.,n.d.,14056,,
32,Employees (APAC),#,n.d.,n.d.,n.d.,15162,,
33,Employees (EMEA),#,n.d.,n.d.,n.d.,19005,,
34,Permanent employees,#,n.d.,n.d.,n.d.,36060,,
35,Temporary employees,#,n.d.,n.d.,n.d.,12163,,
36,The Worley Foundation,,,,,,,
37,Organizations pledged to support,#,n.d.,n.d.,16,21,,
38,Corporate financial donations,,,,,,,
39,Total contributions,AUD,2664160,1614960,2252889,2252366,,
40,Non-legislated contributions,AUD,1553020,1053710,1397483,1359475,,
41,Legislated contributions,AUD,1111140,561250,855406,892880,,
42,Direct economic value generated and distributed,,,,,,,
43,Economic value generated and distributed,Million AUD,n.d.,n.d.,9814,11170,,
44,Economic value generated and received,Million AUD,n.d.,n.d.,9863,11137,,
45,Distributed to our shareholders,Million AUD,n.d.,n.d.,262,262,,
46,Distributed to other stakeholders,Million AUD,n.d.,n.d.,9552,10908,,
47,Economic value retained,Million AUD,n.d.,n.d.,49,-33,,
49,1 Our safety performance is presented as the rate of cases divided by the number of hours worked. For this reason it does not have an associated unit. See our sustainability basis of preparation for more information.,,,,,,,
