Unnamed: 0,Environmental,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,Indicator,Unit,FY2020,FY2021,FY2022,FY2023,,,,,
1,Energy,,,,,,,,,,
2,Total energy use,MWh,371880,230030,212345,211640,,,,,
3,Purchased electricity,MWh,n.d.,n.d.,106817,105176,,,,,
4,Natural gas,MWh,n.d.,n.d.,50184,51372,,,,,
5,Petrol (transport),MWh,n.d.,n.d.,22822,32444,,,,,
6,Diesel (transport),MWh,n.d.,n.d.,18022,9902,,,,,
7,Diesel (stationary),MWh,n.d.,n.d.,9653,8530,,,,,
8,Purchased cooling,MWh,n.d.,n.d.,1999,242,,,,,
9,Propane,MWh,n.d.,n.d.,1181,1546,,,,,
10,Ethanol,MWh,n.d.,n.d.,981,1078,,,,,
11,Purchased heating,MWh,n.d.,n.d.,686,1350,,,,,
12,Energy consumption from renewable sources,MWh,n.d.,7474,52464,62349,,,,,
13,Energy consumption from non-renewable sources,MWh,371880,222556,159881,149291,,,,,
14,Energy productivity,$ million revenue / GWh,30.4,38.14,42.7,51.6,,,,,
15,Scope 1 and Scope 2 GHG emissions,,,,,,,,,,
16,Total Scope 1 and Scope 2 GHG emissions,tCO2e,114241,67823,48211,41422,,,,,
17,Scope 1 emissions,tCO2e,36928,25555,22238,22334,,,,,
18,APAC,tCO2e,n.d.,n.d.,828,720,,,,,
19,EMEA/UNCE,tCO2e,n.d.,n.d.,6630,7727,,,,,
20,Americas,tCO2e,n.d.,n.d.,14780,13887,,,,,
21,Scope 2 market-based emissions,tCO2e,n.d.,42268,25973,19088,,,,,
22,APAC,tCO2e,n.d.,n.d.,4591,2254,,,,,
23,EMEA/UNCE,tCO2e,n.d.,n.d.,12665,11076,,,,,
24,Americas,tCO2e,n.d.,n.d.,8717,5758,,,,,
25,Scope 2 location based emissions,tCO2e,77313,35524,32251,33462,,,,,
26,Scope 3 GHG emissions,,,,,,,,,,
27,Total Scope 3 GHG emissions,tCO2e,n.d.,560512,585850,792007,,,,,
28,Upstream Scope 3 emissions,tCO2e,n.d.,553079,578417,781213,,,,,
29,Category 1: Purchased goods and services,tCO2e,n.d.,370745,392843,586554,,,,,
30,Category 2: Capital goods,tCO2e,n.d.,35462,35692,17743,,,,,
31,Category 3: Fuel and energy-related activites,tCO2e,n.d.,17321,12298,15309,,,,,
32,Category 4: Upstream transportation and distribution,tCO2e,n.d.,34458,36454,18819,,,,,
33,Category 5: Waste generated in operations,tCO2e,n.d.,3355,3355,6545,,,,,
34,Category 6: Business travel,tCO2e,n.d.,16013,25615,57759,,,,,
35,Category 7: Employee commuting,tCO2e,n.d.,51402,54891,65587,,,,,
36,Category 8: Upstream leased assets,tCO2e,n.d.,24323,17269,12897,,,,,
37,Downstream Scope 3 emissions,tCO2e,n.d.,7433,7433,10794,,,,,
38,Category 9: Downstream transportation and distribution,tCO2e,n.d.,132,132,669,,,,,
39,Category 10: Processing of sold products,tCO2e,n.d.,,,,,,,,
40,Category 11: Use of sold products,tCO2e,n.d.,Not quantified,Not quantified,Not quantified,,,,,
41,Category 12: End-of-life treatment of sold products,tCO2e,n.d.,Not quantified,Not quantified,Not quantified,,,,,
42,Category 13: Downstream leased asssets,tCO2e,n.d.,1738,1738,9942,,,,,
43,Category 14: Franchises,tCO2e,n.d.,,,,,,,,
44,Category 15: Investments,tCO2e,n.d.,5563,5563,183,,,,,
45,Nature and biodiversity,,,,,,,,,,
46,Water withdrawals in regions of significant water scarcity risk1,ML,n.d.,n.d.,134,128,,,,,
47,Total water usage2,ML,n.d.,141,592,539,,,,,
48,Fabrication yards,ML,n.d.,141,162.149,170,,,,,
49,Offices,ML,n.d.,n.d.,429.829,369,,,,,
50,Total waste recycled2,t,n.d.,4052,5404,3423,,,,,
51,Fabrication yards,t,n.d.,4052,4645,2751,,,,,
52,Offices,t,n.d.,n.d.,759,672,,,,,
53,Total waste via waste-to-energy2,t,n.d.,1599,1855,1415,,,,,
54,Fabrication yards,t,n.d.,1599,1511,1109,,,,,
55,Offices,t,n.d.,n.d.,344,306,,,,,
56,Total waste to landfill2,t,n.d.,2960,8470,8281,,,,,
57,Fabrication yards,t,n.d.,2960,5419,4841,,,,,
58,Offices,t,n.d.,n.d.,3051,3440,,,,,
59,Total hazardous waste2,t,n.d.,1129,652,298,,,,,
60,Fabrication yards,t,n.d.,1229,652,298,,,,,
61,Offices,t,n.d.,n.d.,0,0,,,,,
63,"1Significant water risk is defined as areas with high or extremely high baseline water stress, according to the WRI Aqueduct water risk atlas tool.",,,,,,,,,,
64,"2 In FY2021, our water and waste disclosures included our fabrications yards only.",,,,,,,,,,
