Governance,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Indicator,Unit,FY2020,FY2021,FY2022,FY2023
Code of conduct,,,,,
Code of conduct training completion,#,42000,40000,40000,43800
Ethics helpline,,,,,
Total reports,#,186,188,180,200
Reports in progress,#,31.62,30.080000000000002,30,13
Reports partially or fully substantiated,#,74.4,56.4,61.2,70
Reports unsubstantiated,#,79.98,101.52000000000001,89,117
Due diligence checks,,,,,
Total,#,2450,8821,11078,9923
Customers,#,1700,3227,4335,4313
Suppliers,#,750,5532,6660,5498
Other partners1,#,n.d.,62,83,112
Business involvement in countries with significant corruption risk2,,,,,
Number of active projects ,#,n.d.,n.d.,0,0
Total backlog,AUD,n.d.,n.d.,0,0
Monetary losses as a result of legal proceedings associated with,,,,,
Bribery and corruption,AUD,n.d.,n.d.,n.d.,0
Professional integrity,AUD,n.d.,n.d.,n.d.,0
Anti-competitive practices,AUD,n.d.,n.d.,n.d.,0
,,,,,
"1Due diligence checks on other partners, such as agents, joint ventures and sponsorship opportunities.",,,,,
"2Significant corruption risk is defined as the 20 countries holding 20 lowest ratings in Transparency International’s Corruption Perception Index, as of 30 June 2023.",,,,,
