Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
105,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,The Good Work Design Project,,,IAG,2023.0,"This year, we started The Good Work Design Project to create a mentally healthy IAG by designing work that prevents harm, promotes wellbeing and supports productivity. Our people's psychosocial health was a focus before COVID-19 and became more critical following the pandemic.",,,,,23,,,"Good Work Design Project, Mental Health, Pandemic",3,S,3,,,,,,,,,,,,,,,
106,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Workers must observe and cooperate with the IAG Safety and Wellbeing Framework and all policies (including this Policy), procedures, rules, directions, instructions, etc. People Leaders must, as reasonably practicable, also Proactively identify any risks and hazards that might impact the physical or psychological safety and well-being of people in IAG Workplaces.",,,,IAG,2023.0,,,,234,,,,,,,,,Safety and Wellbeing policy,,,,,,,,,,,,,,
107,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,403.0,Occupational Health and Safety,403-09,Work-related injuries,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,404.0,Training and Education,404-01,Average hours of training per year per employee,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Brilliant Me,,,IAG,2023.0,"We also launched our first careers week, Brilliant Me: Activate Your Brilliance, hosting over 80 events that attracted 10,000 registrations to participate.",,,,,20,,,"Careers Week, Events, Registrations","4, 8",S,4,,,,,,,,,,,,,,,
112,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Two multi-year immersive programs,,,IAG,2023.0,"In November 2021, we launched two multi-year immersive programs, partnering with industry and leadership experts to build and broaden capabilities and skills across our circa 370 senior leaders. Early measures show positive shifts in mindset and behaviour.",,,,,20,,,"Immersive Programs, Leadership Experts, Capability Building","4, 8",S,4,,,,,,,,,,,,,,,
113,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Internships,,,IAG,2023.0,"Internships through CareerTrackers and CareerSeekers and our partnership with Google, recognising Google Career Certificates, are helping us attract new people. Our graduate strategy supports our future workforce and helps address talent scarcity.",,,,,20,,,"Internships, Career Partnerships, Graduate strategy","4, 8",S,4,,,,,,,,,,,,,,,
114,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
