Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"The 2023 annual report of Insurance Australia Group Limited (IAG, or the Group) includes IAGÃ¢ÂÂs full statutory accounts and the DirectorsÃ¢ÂÂ and remuneration reports for the financial year ending 30 June 2023.\t",,,,IAG,2023.0,,,,,,Cover,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Insurance Australia Group Limited, Insurance Australia Limited, Insurance Manufacturers of Australia Pty Limited, IAG New Zealand Limited.",,,,IAG,2023.0,,,,,,129,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",The financial year ended 30 June 2023.,,,,IAG,2023.0,,,,,,Cover,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Unless otherwise indicated, references to FY23 and 2023 and FY22 and 2022 in graphs and copy throughout this report refer to IAGÃ¢ÂÂs financial years ending 30 June 2023 and 2022, respectively. All figures are in Australian dollars unless otherwise stated.",,,,IAG,2023.0,,,,,,Cover,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,"Our External Auditor is KPMG, and our current lead audit partner is Brendan Twining. The BAC is responsible for the appointment, evaluation, Management and removal of the External Auditor and the approval of their annual fees (subject to shareholder approval where required).",,,,IAG,2023.0,,,,,,,16,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","As one of Australia and New ZealandÃ¢ÂÂs largest general insurers, IAGÃ¢ÂÂs core business and value chain are exposed to a broad range of interconnected ESG risks. IAG ensures individuals, households and businesses",,,,IAG,2023.0,,,,,,51,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"Total headcount 11,597",,,,IAG,2023.0,,,,,,,,,,,,,FY23-data-ESG-Summary,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,13% of total employees,,,,IAG,2023.0,,,,,,,,,,,,,FY23-data-ESG-Summary,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"People and Remuneration Committee Charter, Risk Committee Charter, Audit Committee Charter, Nomination Committee Charter",,,,IAG,2023.0,,,,,,,2,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,"The Board, with assistance from the NomCom, conducts a formal selection process before appointing new INEDs. External consultants may also be engaged to help identify suitable candidates. All candidates for Board positions undergo comprehensive background checks (including Police and Bankruptcy checks) and assessment under IAGÃ¢ÂÂs Fit and Proper Policy before they are appointed.",,,,IAG,2023.0,,,,,,,10,,,,,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,"The Board comprises 10 Independent Non-Executive Directors (INEDs), the Managing Director and the Chief Executive Officer (CEO).",,,,IAG,2023.0,,,,,,,3,,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,"Providing effective leadership and guidance for the Board and IAG; Maintaining an open dialogue with the CEO and Management; Facilitating communication between the Directors and between the Board and Management, including by liaising with the Group Company Secretary concerning the BoardÃ¢ÂÂs information requirements to assist the Board with effective decision-making; and Chairing the Annual General Meeting (AGM) and representing the Board and GroupÃ¢ÂÂs views to stakeholders, including Shareholders, regulators and the community.",,,,IAG,2023.0,,,,,,,5,,,,,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,"The Board delegates certain powers to its standing Board Committees to help it fulfil its roles and responsibilities. In addition to the BoardÃ¢ÂÂs standing Committees, the Board establishes ad hoc Committees as and when required. The Board also delegates specific powers to the CEO, who, in turn, delegates some of those powers to Group Executives and other Officers under delegations of authority. The CEO is accountable to the Board for exercising those delegated powers and ManagementÃ¢ÂÂs performance.",,,,IAG,2023.0,,,,,,,2,,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,"IAG is responsible for managing the environmental, social and governance (ESG) risks and opportunities impacting IAGÃ¢ÂÂs business and the communities in which we operate. We align ESG considerations with our broader strategic ambitions to generate longer-term value for our shareholders, customers, and communities.",,,,IAG,2023.0,,,,,,,15,,,,,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-15,Conflict of interest,"Conflicts of interest, including related party transactions, are a standing agenda item considered by the Board and Board Committees at each Meeting and in each paper presented to the Board or Board Committee. If a potential conflict is identified, the relevant Director or the Board may determine that they should not receive documents related to or participate in discussions or decisions. To further ensure independence from Management, the Board and Board Committees meet regularly without Management present.",,,,IAG,2023.0,,,,,,,9,,,,,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-16,Communication of critical concerns,"Our Continuous Disclosure Committee is responsible for managing IAGÃ¢ÂÂs continuous disclosure obligations daily, including determining whether a disclosure is required and approving the form (unless it is a Board reserved or procedural matter). It is also responsible for IAGÃ¢ÂÂs reporting processes, controls and guidelines for releasing market announcements and referring issues to the Board or through the rapid response process.",,,,IAG,2023.0,,,,,,,19,,,,,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,"The BoardÃ¢ÂÂs Skills Matrix (Skills Matrix) sets out the skills and experience considered essential to the effectiveness of the Board and its Committees. It is reviewed annually to ensure the prescribed skills and experience address IAGÃ¢ÂÂs existing and emerging strategic, business and governance issues and that DirectorsÃ¢ÂÂ skill level ratings remain current. The Skills Matrix identifies potential director candidates as part of the ongoing Board renewal process.",,,,IAG,2023.0,,,,,,,6,,,,,,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,The Board continuously reviews its performance and the performance of its Committees and individual Directors and recognises the importance of this to Board effectiveness. The annual Board performance reviews are conducted either internally or with the assistance of an independent external consultant.,,,,IAG,2023.0,,,,,,,18,,,,,,,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-19,Remuneration policies,,Remuneration Framework,,,IAG,2023.0,We review our Remuneration Framework's (including the Group Remuneration Policy) effectiveness and compliance with relevant regulatory requirements. A review of the Executive Remuneration Framework was completed during FY23.,,,,,54,18,,"Remuneration, Framework, Policy",16,G,10,,,,,,,,,,,,,,,
20,,2.0,General Disclosures,2-20,Process to determine remuneration,,Executive remuneration framework,,,IAG,2023.0,"The Board incorporated the requirements of CPS 511 into the comprehensive review of our Executive remuneration framework completed during FY23. The Board Chair and I met with several proxy advisors and critical investors in June 2023 before finalising our thinking on the FY24 Executive remuneration framework. These discussions have shaped the outcome. The result of the review is several changes, designed not only to meet both the letter and spirit of CPS 511 but also to ensure the framework remains fit for purpose, market competitive, support us in delivering IAG's strategy and align with shareholder outcomes.",,,,,54,18,,"Executive, Remuneration, Proxy Advisor",16,G,10,,,,,,,,,,,,,,,
21,,2.0,General Disclosures,2-21,Annual total compensation ratio,"The annual total compensation ratio male to female (average) is 1,05.",,,,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,2.0,General Disclosures,2-22,Statement on sustainable development strategy,"We conduct an annual materiality assessment to inform our enterprise-wide sustainability priorities, strategy setting and risk management processes. This financial year, we re-validated that our four material topics for IAG to address remain consistent with the FY22 assessment: climate change, disaster resilience and emergency response, affordability and availability of insurance, and trust and transparency.",,,,IAG,2023.0,,,,,,13,,,,,,,,,,,,,,,,,,,,,
23,,2.0,General Disclosures,2-23,Policy commitments,,Group Continuous Disclosure Policy,,,IAG,2023.0,"The Group Continuous Disclosure Policy (Disclosure Policy) governs how we communicate with the market and the investment community. We have systems, frameworks, and processes to manage compliance with relevant laws and regulations, including an independent Risk and Compliance Division, policies and processes, reporting and incident management procedures, and training programs.",,,,,13,,,"Continuous Disclosure, Communication, Market",16,G,10,,,,,,,,,,,,,,,
24,,2.0,General Disclosures,2-23,Policy commitments,,Group Whistleblower Policy,,,IAG,2023.0,IAG's Group Whistleblower Policy outlines the rights and responsibilities of people involved in a whistleblowing report or investigation. Employees and others identifying that something is wrong are encouraged to speak up.,,,,,13,,,"Whistleblower, Rights, Speak",16,S,6,,,,,,,,,,,,,,,
