Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
35,,3.0,Material Topics,3-2,List of material topics,"Climate change, disaster resilience and emergency response, affordability and availability of insurance, and trust and transparency",,,,IAG,2023.0,,,,,,13,,,,,,,,,,,,,,,,,,,,,
36,,3.0,Material Topics,3-3,Management of material topics,,Climate-related physical risks scenario,,,IAG,2023.0,"Supporting our physical scenario analysis, our annual capital stress testing focused on climate-related physical risks this year. Stress testing is undertaken through the Group's Internal Capital Adequacy Assessment Process (ICAAP) framework. It is a valuable tool for exploring the potential implications of climate risks, which provides input into our risk appetite, capital target setting and contingency planning. Future stress tests are expected to incorporate transition and liability risks.",,,,,29,,,"Climate Risks, Stress Testing, Contingency Planning","8, 9, 12",G,13,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-3,Management of material topics,,The IAG Academy,,,IAG,2023.0,"Experiences in Customer, Digital & Data, Insurance, Leadership and Risk faculties. Courses provide our people with career pathways, improved capabilities, and new skills to suit the changing workforce.",,,,,20,,,"Digital Claims, Customer Experience, Interactions","8, 9, 12",S,"1, 7",,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-3,Management of material topics,,ClaimsTracker service,,,IAG,2023.0,"Using our ClaimsTracker service, customers can lodge and track their claims digitally. More than 600,000 customers have used this service since its launch in 2022, creating over one million individual interactions. More than 36% of claims are now lodged online.",,,,,"14, 15",,,"Career Pathways, Skills, Capabilities","8, 9, 12",S,"1, 7",,,,,,,,,,,,,,,
39,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Net profit attributable to shareholders of the Parent $832m. Dividends per ordinary share: 15.0 cents,,,,IAG,2023.0,,,,,,150,,,,,,,,,,,,,,,,,,,,,
40,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,$238m Invested in green bonds,,,,IAG,2023.0,,,,,,3,,,,,,,,,,,,,,,,,,,,,
41,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,We aim to have women constitute 50% of our senior management roles and Indigenous employees constitute 3% of our Australian workforce. This year's results are 45% and 1.2% respectively.,,,,IAG,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
