Unnamed: 0,Unnamed: 0.1,Business Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
101,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,,,,
102,,Group,51.8,48.2,52.5,47.5,53.58,46.42,54.08,45.92,53.69,46.31,53.1,46.9,,,,,,,,,,,,
103,,CHEP Americas,54.6,45.4,56,44,116.49,83.51,57.85,42.15,58.71,41.29,58.71,41.27,,,,,,,,,,,,
104,,CHEP EMEA,46.1,53.9,46.5,53.5,103.32,96.68,49.57,50.43,47.65,52.35,47.65,52.35,,,,,,,,,,,,
105,,CHEP Asia-Pacific,60.6,39.4,61,39,63.45,36.55,62.37,37.63,63.81,36.19,63.81,36.19,,,,,,,,,,,,
106,,IFCO,,,,,,,,,,,46.7,53.3,,,,,,,,,,,,
107,,Corporate,54.5,45.5,55.4,44.3,52.07,47.93,52.34,47.66,53.69,46.31,54.72,45.28,,,,,,,,,,,,
109,,Plant Based,FY23,,FY22,,FY21,,FY20,,FY19 (exc IFCO),,FY19 (inc IFCO),,,,,,,,,,,,,
110,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,,,,
111,,Group,91.7,8.3,92.7,7.3,93.39,6.61,93.39,6.61,93.55,6.45,93.22,6.78,,,,,,,,,,,,
112,,CHEP Americas,94,6,94.6,5.4,188.5,11.5,95.5,4.5,95.85,4.15,95.85,4.15,,,,,,,,,,,,
113,,CHEP EMEA,89.3,10.7,91,9,182.47,17.53,91.13,8.87,90.99,9.01,90.99,9.01,,,,,,,,,,,,
114,,CHEP Asia-Pacific,92.1,7.9,91.7,8.3,92.66,7.34,93.16,6.84,94.58,5.42,94.58,5.42,,,,,,,,,,,,
115,,IFCO,,,,,,,,,,,89.45,10.55,,,,,,,,,,,,
116,,Corporate,66.7,33.3,66.7,33.3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
118,Employees by employment contract (%),,,,,,,,,,,,,,,,,,,,,,,,,
119,,Gender,FY23,,FY22,,FY21,,FY20,,FY19 (exc IFCO),,FY19 (inc IFCO),,,,,,,,,,,,,
120,,,Permanent,Temporary,Permanent,Temporary,Permanent,Temporary,Permanent,Temporary,Permanent,Temporary,Permanent,Temporary,,,,,,,,,,,,
121,,Group,95.9,4.1,96.45,3.55,95.8,4.2,96.8,3.2,93.6,6.4,93.7,6.3,,,,,,,,,,,,
122,,Male,96.7,3.3,97.41,2.59,96.7,3.3,97.4,2.6,95.7,4.3,95.8,4.2,,,,,,,,,,,,
123,,Female,93.7,6.3,93.43,6.55,92.9,7.1,94.8,5.2,86.4,13.6,87.1,12.9,,,,,,,,,,,,
125,Employees by employment type (%),,,,,,,,,,,,,,,,,,,,,,,,,
126,,Gender,FY23,,FY22,,FY21,,FY20,,FY19 (exc IFCO),,FY19 (inc IFCO),,,,,,,,,,,,,
127,,,Permanent,Temporary,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Permanent,Temporary,Permanent,Temporary,,,,,,,,,,,,
128,,Group,98.4,1.6,98.4,1.6,98.4,1.6,98.4,1.6,98.4,1.6,98.2,1.8,,,,,,,,,,,,
129,,Male,99.4,0.6,99.4,0.6,99.4,0.6,99.5,0.5,99.5,0.5,99.5,0.5,,,,,,,,,,,,
130,,Female,95.5,4.5,95.2,4.8,95,5,94.6,5.4,94.7,5.3,93.9,6.1,,,,,,,,,,,,
132,Age distribution of permanent employees (%) [9],,,,,,,,,,,,,,,,,,,,,,,,,
133,,Year,Regional Split,<30,30-<35,35-<40,40-<45,45-<50,50-<55,55-<60,60-<65,>65,,,,,,,,,,,,,,
134,,FY23,Group,0.1678,0.1583,0.1685,0.1502,0.1268,0.1082,0.0697,0.0386,0.119,,,,,,,,,,,,,,
135,,,CHEP Americas,0.192,0.164,0.157,0.148,0.12,0.099,0.066,0.039,0.017,,,,,,,,,,,,,,
136,,,CHEP EMEA,0.162,0.16,0.177,0.149,0.133,0.112,0.068,0.034,0.004,,,,,,,,,,,,,,
137,,,CHEP Asia-Pacific,0.122,0.125,0.168,0.16,0.13,0.128,0.086,0.056,0.025,,,,,,,,,,,,,,
138,,,Corporate,0.163,0.177,0.171,0.152,0.12,0.098,0.07,0.035,0.014,,,,,,,,,,,,,,
139,,FY22,Group,0.1694,0.1597,0.169,0.149,0.129,0.106,0.071,0.036,0.011,,,,,,,,,,,,,,
140,,,CHEP Americas,0.197,0.156,0.164,0.143,0.123,0.097,0.065,0.038,0.016,,,,,,,,,,,,,,
