Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,This page is designed to represent individual country/regional data where there is a legislative/reporting need at that level.,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,Better Planet Detailed View,,,,,,,,,,,,,
1,,Last Updated:,,,,,,,,,,,,,
2,,"For further information on performance, please refer to the appropriate Sustainability Review.",,,,,,,,,,,,,
3,,"Data complied for selcted individual companies to assist in reporting for specific criteria (e.g. legislation, EcoVadis etc)",,,,,,,,,,,,,
4,,All FY19 figures in the Annual Sustainability Review are published excluding IFCO since their divestment during the fiscal year. We have presented IFCO figures up until their divestment for transparency purposes in each table below,,,,,,,,,,,,,
5,,Contents:,,,,,,,,,,,,,
6,,Water,,Energy and Emissions,,,Waste and recycling,,,,,,,,
7,,Water consumed (megalitres),,Kilotonnes (kt) of CO2-e [2] (Scope 1 and 2),,,"General waste, recycling and hazardous waste (metric tonnes)",,,,,,,,
8,,Water recycled (megalitres),,Emissions intensity (kg per unit),,,,,,,,,,,
9,,Rainwater harvested (megalitres),,Greenhouse gas (GHG) emissions (detail),,,,,,,,,,,
11,,Water,,,,,,,,,,,,,
13,,Water consumed (megalitres),,,,,,,,,,,,,
15,,Product Split,FY19 (exc IFCO),FY19 (inc IFCO),FY18 (exc IFCO),FY18 (inc IFCO),FY17,FY16,FY15,,,,,,
16,,Pallets AU,,,,,,,,,,,,,
17,,Pallets CL,,,,,,,,,,,,,
18,,Pallets CA,,,,,,,,,,,,,
19,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,,
20,,Pallets USA,,,,,,,,,,,,,
21,,Pallets ZA,,,,,,,,,,,,,
22,,Total,0,0,0,0,0,0,0,,,,,,
24,,Water recycled (megalitres),,,,,,,,,,,,,
26,,Product Split,FY19 (exc IFCO),FY19 (inc IFCO),FY18 (exc IFCO),FY18 (inc IFCO),FY17,FY16,FY15,,,,,,
27,,Pallets AU,,,,,,,,,,,,,
28,,Pallets CL,,,,,,,,,,,,,
29,,Pallets CA,,,,,,,,,,,,,
30,,Pallets EU (Brambles Enterprises Ltd),,,,,,,,,,,,,
31,,Pallets USA,,,,,,,,,,,,,
32,,Pallets ZA,,,,,,,,,,,,,
33,,Total,0,0,,0,0,0,0,,,,,,
35,,Rainwater harvested (megalitres),,,,,,,,,,,,,
