Unnamed: 0,Unnamed: 0.1,Business Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
203,Employee hires by gender (%),,,,,,,,,,,,,,,,,,,,,,,,,
204,,Gender,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
205,,Male,0.796,0.812,0.8752,0.86,0.821,0.814,,,,,,,,,,,,,,,,,,
206,,Female,0.203,0.188,0.1248,0.137,0.179,0.186,,,,,,,,,,,,,,,,,,
207,,Not declared,0.001,0,0,0.003,,,,,,,,,,,,,,,,,,,,
209,Employee hires by age group (%),,,,,,,,,,,,,,,,,,,,,,,,,
210,,Age[8],FY23,FY22,FY21,FY20,Age[8],FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,
211,,29 and under,0.4162,0.4193,0.4615,0.429,<30,0.453,0.417,,,,,,,,,,,,,,,,,
212,,30-34,0.2033,0.1949,0.1939,0.194,30-<35,0.184,0.191,,,,,,,,,,,,,,,,,
213,,35-39,0.1436,0.143,0.1248,0.152,35-<45,0.232,0.255,,,,,,,,,,,,,,,,,
214,,40-44,0.0964,0.0994,0.0907,0.091,45-<55,0.098,0.105,,,,,,,,,,,,,,,,,
215,,45-49,0.0608,0.0621,0.0597,0.062,55-<65,0.03,0.028,,,,,,,,,,,,,,,,,
216,,50-54%,0.0434,0.0431,0.0392,0.036,>65,0.038,0.043,,,,,,,,,,,,,,,,,
217,,55-59,0.0244,0.0246,0.0216,0.024,,,,,,,,,,,,,,,,,,,,
218,,60-64,0.0093,0.0106,0.0065,0.009,,,,,,,,,,,,,,,,,,,,
219,,>65,0.0025,0.003,0.0022,0.002,,,,,,,,,,,,,,,,,,,,
221,Engagement,,,,,,,,,,,,,,,,,,,,,,,,,
222,,Measure,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
223,,Brambles Engagement Survey participation,0.88,0.83,0.82,0.845,0.83,-,,,,,,,,,,,,,,,,,,
225,Brambles Injury Frequency Rate (BIFR) and Lost Time Injury Frequency Rate (LTIFR),,,,,,,,,,,,,,,,,,,,,,,,,
226,,Events per million hours worked,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
227,,Brambles Injury Frequency Rate,3.8,4.1,5,5.5,5.9,5.5,,,,,,,,,,,,,,,,,,
228,,Lost Time Injury Frequency Rate,1.6,1.6,2.1,1.6,2.3,,,,Back to top,,,,,,,,,,,,,,,
230,BIFR by gender,,,,,,,,,,,,,,,,,,,,,,,,,
231,,Gender,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
232,,Male,0.949,0.9099,0.9252,0.957,0.927,0.923,,,,,,,,,,,,,,,,,,
233,,Female,0.051,0.0901,0.0748,0.043,0.073,0.077,,,,,,,,,,,,,,,,,,
235,BIFR by segment,,,,,,,,,,,,,,,,,,,,,,,,,
236,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,,,,,,,,,,,,
237,,CHEP Americas,7.4,8.3,9.9,13,13.8,13.8,,,,,,,,,,,,,,,,,,
238,,CHEP EMEA,1.0,1.4,2,1.8,2,2,,,,,,,,,,,,,,,,,,
239,,CHEP Asia-Pacific,6.5,4,5.6,3.5,5.2,5.2,,,,,,,,,,,,,,,,,,
240,,IFCO,,,,,,1.4,,,,,,,,,,,,,,,,,,
241,,Group,3.8,4.1,5,5.5,5.9,5.5,,,,,,,,,,,,,,,,,,
243,Wellbeing,,,,,,,,,,,,,,,,,,,,,,,,,
244,,Metrics,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,,,,
245,,Number of initiatives launched,62,13,11,,,,,,,,,,,,,,,,,,,,,
246,,Brambles Pulse Survey score (Benchmark: Brambles Score),77:78,78:78,78:77,,,,,,Back to top,,,,,,,,,,,,,,,
248,,Inclusion & Diversity,,,,,,,,,,,,,,,,,,,,,,,,
249,Brambles Pulse Survey results,,,,,,,,,,,,,,,,,,,,,,,,,
