Unnamed: 0,Unnamed: 0.1,Planet Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
231,,Carbon Neutrality,,,,,,,,,,,,,
233,Offset Credits Purchased - Used towards Carbon Neutral Pallets[12],,,,,,,,,,,,,,
234,,Year,Tonnes CO2e,,,,,,,,,,,,
235,,FY23,24592,,,,,,,,,,,,
236,,FY22,20851,,,,,,,,,,,,
237,,FY21,18667,,,,,,,,,,,,
238,,FY20,"8,699[13]",,,,,,,,,,,,
239,,FY19 (exc IFCO),10562,,,,,,,,,,,,
240,,FY19 (inc IFCO),10562,,,,,,,,,,,,
242,Renewable Energy Certificate Credits Purchased towards Scope 2 Carbon Neutrality [14],,,,,,,,,,,,,,
243,,Year [15],Regional Split,Energy Attribute Certificates\n(EACs) MWhs,EAC\nTonnes CO2e Offset,Voluntary Carbon Offsets (VCOs)\nTonnes CO2e,Total tonnes offset,,,,,,,,
244,,FY23,USA,15019,5719,0,5719,,,,,,,,
245,,,Canada,8353,629,0,629,,,,,,,,
246,,,South Africa,5998,6173,0,6173,,,,,,,,
247,,,Argentina,625,253,0,253,,,,,,,,
248,,,Brazil,834,99,0,99,,,,,,,,
249,,,Ireland,768,267,0,267,,,,,,,,
250,,,Mexico,525,275,0,275,,,,,,,,
251,,,Netherlands,628,262,0,262,,,,,,,,
252,,,Thailand,407,166,0,166,,,,,,,,
253,,,Malaysia,1076,752,0,752,,,,,,,,
254,,,Australia,3993,1960,0,1960,,,,,,,,
255,,,New Zealand,0,,0,0,,,,,,,,
256,,,Other,0,,0,0,,,,,,,,
257,,,Group,38226,16555,0,16555,,,,,,,,
258,,FY22,USA,17379.2,6667.4,7902.97,14570.37,,,,,,,,
259,,,Canada,7993.2,649.5,4684.6,5334.1,,,,,,,,
260,,,South Africa,6358.5,6544.1,2266.89,8810.99,,,,,,,,
261,,,Argentina,602.1,243.8,194.65,438.45,,,,,,,,
262,,,Brazil,756.2,89.4,300.66,390.06,,,,,,,,
263,,,Ireland,681.8,201.2,244.93,446.13,,,,,,,,
264,,,Mexico,500.5,262.1,603.76,865.86,,,,,,,,
265,,,Netherlands,542.2,226.2,600.09,826.29,,,,,,,,
266,,,Thailand,267.5,118.2,297.99,416.19,,,,,,,,
267,,,Malaysia,970.7,678.6,246.46,925.06,,,,,,,,
268,,,Australia,0,0,8753.48,8753.48,,,,,,,,
269,,,New Zealand,0,0,916.26,916.26,,,,,,,,
270,,,Other,,784,8533.64,9317.64,,,,,,,,
271,,,Group,36051.9,16464.5,35546.38,52010.88,,,,,,,,
272,,FY21,USA,17236.076,6540.2,6065.01,12605.21,,,,,,,,
273,,,Canada,8400.082,1287.7,5012.09,6299.79,,,,,,,,
274,,,South Africa,8749,8713.1,3429.91,12143.01,,,,,,,,
275,,,Brazil,729.298,86.2,274.94,361.14,,,,,,,,
276,,,Ireland,667.972,197.1,247.85,444.95,,,,,,,,
277,,,Mexico,451.442,236.4,568.84,805.24,,,,,,,,
278,,,Netherlands,372.281,155,519.09,674.09,,,,,,,,
279,,,Thailand,0,0,301.45,301.45,,,,,,,,
280,,,Malaysia,0,0,816.63,816.63,,,,,,,,
281,,,Australia,0,0,15123.79,15123.79,,,,,,,,
282,,,New Zealand,0,0,906.3,906.3,,,,,,,,
283,,,Other,1195.464,669,9100.12,9769.12,,,,,,,,
284,,,Group,37801.615,17884.7,42366.02,60250.72,,,,,,,,
285,,FY20,USA,18711,7568,0,26279,,,,,,,,
286,,,Canada,8148,1390,0,9538,,,,,,,,
287,,,South Africa,5557,5890,0,11447,,,,,,,,
288,,,Australia,0,0,0,0,,,,,,,,
289,,,Group,32416,14848,0,47264,,,,,,,,
290,,FY19,USA,18399,8521,0,26920,,,,,,,,
291,,(exc IFCO),Canada,8213.826,2041,0,10254.826,,,,,,,,
292,,,South Africa,0,0,0,0,,,,,,,,
293,,,Australia,0,0,0,0,,,,,,,,
294,,,Group,26612.826,10562,0,37174.826,,,,,,,,
296,Carbon Credit Offsets Applied - towards Scope 1 Carbon Neutrality,,,,,,,,,,,,,,
297,,Year [17],Voluntary Carbon Offsets (VCOs)\nTonnes CO2e,,,,,,,,,,,,
299,,FY23,32682,,,,,,,,,,,,
300,,FY22,35546,,,,,,,,,,,,
301,,FY21,29414,,,,,,,,,Back to top,,,
303,,Outputs,,,,,,,,,,,,,
305,Waste Disposed (metric tonnes),,,,,,,,,,,,,,
306,,Tonnes Waste,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
307,,Total waste recycled/reused,51013,87467,82537,87073,75210,75448,,,,,,,
308,,Total waste disposed (excluding waste recycled/reused),10650,16272,32279,57039,48186,50197,,,,,,,
309,,Waste landfilled,10586,15624,unavailable,unavailable,unavailable,unavailable,,,,,,,
310,,Waste incinerated with energy recovery,3397,648,unavailable,unavailable,unavailable,unavailable,,,,,,,
