Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
77,Female 36-55 years,0.35,0.385714,0.09,0.07,,0.06,0.04,0.1,0.102,0.12,0.08,
78,Female over 55 years,0.05,0.271429,0,0.01,,0,0,0.03,0.011,0.04,0,
79,Total Male Turnover (% of Total Turnover Rate),0.68,0.69697,0.79,0.85,,0.76,0.82,0.7,0.69,0.76,0.86,
80,Male under 36 years,0.43,0.403727,0.25,0.33,,0.424,0.35,0.33,0.295,0.36,0.3,
81,Male 36-55 years,0.42,0.397516,0.47,0.42,,0.333,0.22,0.26,0.318,0.36,0.44,
82,Male over 55 years,0.15,0.198758,0.07,0.1,,0,0.25,0.11,0.08,0.04,0.12,
83,Total Turnover Rate,0.18,0.13,0.11,0.18,,0.22,0.12,0.09,0.38,0.14,0.14,
84,"(4) Turnover result for EVN total is voluntary permanent on 12 month moving average. The split by age bracket and gender is the % of all terminations (summing up to 100%), rather than turnover rates for each grouping.",,,,,,,,,,,,
86,"Permanent employee turnover rate (5) by gender, and region",,,,,,FY22,,,,,,
87,GRI 401-1,FY22,FY21,FY20,FY19,,Corporate,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,
88,Total female turnover rate (% of Total Turnover Rate),0.32,0.30303,0.22,0.14,,0.24,0.18,0.3,0.31,0.24,0.14,
89,Total male turnover rate (% of Total Turnover Rate),0.68,0.69697,0.79,0.85,,0.76,0.82,0.7,0.69,0.76,0.86,
90,Total Turnover Rate,0.18,0.13,0.11,0.18,,0.22,0.12,0.09,0.38,0.14,0.14,
91,(5) Permanent employee turnover rate is calculated as the number of permanent employee turnover for the year over the average number of permanent employees for the year.,,,,,,,,,,,,
93,Parental leave (6),,,,,,,,,,,,
94,GRI 401-3,FY22,FY21,Female,Male,,,,,,,,
95,Number of employees who took parental leave,139,91,44,95,,,,,,,,
96,Number of employees who returned to work after parental leave ended,121,65,27,94,,,,,,,,
97,(6) Includes primary and secondary parental leave. Please note some employees are still currently on parental leave so does not represent the true value of returned employees.,,,,,,,,,,,,
99,Operational changes,,,,,,,,,,,,
100,GRI 402-1,FY22,FY21,,,,,,,,,,
101,Number of strikes and lockouts exceeding one week duration,0,0,,,,,,,,,,
103,Average hours of training per year per employee,,,,,,,,,,,,
104,GRI 404-1,FY22,FY21,,,,,,,,,,
105,Total training hours (7),128306,116092,,,,,,,,,,
106,Average Hours of Training per Employee,47,58.721295,,,,,,,,,,
107,"(7) Training hours include: Leadership training (Leader essential), Compliance training (Manager/Supervisor training, High Risk Licenses) Competency (operations training, inductions, safety training) and development training where a formal course or conference is required",,,,,,,,,,,,
109,Percentage of employees receiving regular performance and career development reviews,,,,,,,,,,,,
110,GRI 404-3,FY22,FY21,Male,Female,,,,,,,,
111,Salaried employees who receive performance and career reviews (%),0.79,0.94,0.76,91%%,,,,,,,,
112,Hourly employees who receive performance and career reviews (%),0.82,0.9,84%%,66%%,,,,,,,,
114,Diversity of Board of Directors by gender,,,,,,,,,,,,
115,GRI 405-1,FY22,FY21,FY20,,,,,,,,,
116,Percentage female,0.25,0.25,0.25,,,,,,,,,
117,Percentage male,0.75,0.75,0.75,,,,,,,,,
119,Diversity of Board of Directors by age,,,,,,,,,,,,
120,GRI 405-1,FY22,FY21,,,,,,,,,,
121,Percentage under 36 years,0,0,,,,,,,,,,
122,Percentage 36-55 years,0.375,0.375,,,,,,,,,,
123,Percentage over 55 years,0.625,0.625,,,,,,,,,,
125,Diversity of employees by gender,,,,,,,,,,,,
126,GRI 405-1,FY22,FY21,FY20,FY19,FY18,,,,,,,
127,Percentage of female employees,0.1904,0.199292,0.165055,0.147541,0.131,,,,,,,
128,Percentage of male employees,0.8096,0.800708,0.834945,0.852459,0.869,,,,,,,
130,Diversity of employees by age,,,,,,,,,,,,
131,GRI 405-1,FY22,FY21,,,,,,,,,,
132,Percentage of employees under 36 years,0.37,0.3692,,,,,,,,,,
133,Percentage of employees 36-55 years,0.49,0.4937,,,,,,,,,,
134,Percentage of employees over 55 years,0.14,0.1371,,,,,,,,,,
136,Local employment,,,,,,,,,,,,
137,,FY22,FY21,FY20,FY19,FY18,,,,,,,
138,% local employment across our operations,0.72,0.67,0.65,0.54,0.52,,,,,,,
140,Employee engagement,,,,,,,,,,,,
141,,FY22,FY21,FY20,FY19,,,,,,,,
142,% respondents to survey,0.39,0.54,0.53,0.87,,,,,,,,
143,% employee retention,0.82,0.87,0.89,0.82,,,,,,,,
144,Employee engagement - overall score (8),79,78,78,73.5,,,,,,,,
145,Number of ALO initiatives,97,231,197,131,,,,,,,,
146,(8) Refers to our Teamgage Survey,,,,,,,,,,,,
148,Inclusion and Diversity,,,,,,,,,,,,
149,,FY22,FY21,FY20,FY19,FY18,,,,,,,
150,Female graduate intake (% of total graduate intake),0.3,0.44,0.62,0.5,0.4,,,,,,,
151,Female summer vacation interns (% of total vacation interns),0.57,0.48,0.64,0.39,0.29,,,,,,,
152,Indigenous and FirstÃÂ Nation Employees (% of total employee count),0.06,0.07,0.07,0.048,0.04,,,,,,,
154,Development and retention,,,,,,,,,,,,
155,,FY22,FY21,FY20,FY19,,,,,,,,
156,% of people fulfilling their stated development goals,0.63,0.82,0.75,-,,,,,,,,
157,No. of enrolments in leadership development program (9),274,283,34,60,,,,,,,,
158,% of roles appointed through succession and internal candidates,0.41,0.42,0.41,0.33,,,,,,,,
