Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Communities,,,,,,,
2,Operations taking place in or near Indigenous territory,,,,,,,
3,GRI MM5,FY22,FY21,,,,,
4,Is the operation adjacent (1) or on Indigenous peoples' territory?,Yes,Yes,,,,,
5,Do formal agreements exist with Indigenous peoples?,Yes,Yes,,,,,
6,"(1) Adjacent refers to land physically next to, or influenced by, the operation site",,,,,,,
8,"Operations with local community engagement, impact assessments, and development programs",,,,,,,
9,GRI 413-1,FY22,FY21,FY20,,,,
10,% of sites with formal social impact assessments in place (2),0.4,0.2,0.2,,,,
11,% of sites with formal Community Plans,1,1,1,,,,
12,% of Community Plans Actions completed,1,1,1,,,,
13,% of current production assets that have required community consultation,1,1,1,,,,
14,% of development projects that are in the process of community consultation,1,1,1,,,,
15,Number of development projects in the process of community consultation,1,1,1,,,,
16,(2) SIA completed for Mt Rawdon and Red Lake,,,,,,,
18,Grievances mechanisms & outcomes,,,,,,,
19,GRI 413-2,FY22,FY21,,,,,
20,Total number of community grievances or complaints (3),8,15,,,,,
21,Environmental,1,3,,,,,
22,Health & Safety,2,1,,,,,
23,Social and Communities,1,9,,,,,
24,Economic opportunities (e.g. employment & procurement),-,1,,,,,
25,Indigenous rights,-,1,,,,,
26,Land and resource use,1,0,,,,,
27,Mining practices and activities,3,0,,,,,
28,Number of grievances or complaints investigated,5,15,,,,,
29,Number of remediation plans implemented as a result of an investigation,-,0,,,,,
30,"Number of grievances or complaints resolved, completed or withdrawn at the end of the year",8,15,,,,,
31,"% of grievances or complaints resolved, completed or withdrawn at the end of the year",1,1,,,,,
32,(3) Specific issues of concern to community members that requires a response from the company and potentially further action,,,,,,,
34,Cultural Heritage,,,,,,,
35,,FY22,FY21,FY20,FY19,FY18,,
36,Material Cultural Heritage Incidents,0,0,0,0,0,,
37,Material Community Impact Incidents,0,0,0,0,0,,
39,Suppliers that were screened using social criteria,,,,,,,
40,"GRI 408-1, 409-1, 412-1, 414-1",FY22,FY21,,,,,
41,% of medium and high risk suppliers receiving modern slavery questionnaires (4),1,1,,,,,
42,% of medium and high risk suppliers assessed for modern slavery and human rights risks in the last year (5),0.62,0.54,,,,,
43,% of total suppliers assessed where human rights risks have been identified,0,0,,,,,
44,% of human rights risk with mitigation or remediation process implemented,,,,,,,
46,"(4) A medium to high risk supplier is a supplier who has been identified as having the potential (through the provision of their goods and services) to breach the policies, standards, practices, values and/or readily accepted business activities, as defined for the particular supply of a good or service.",,,,,,,
47,(5) 62% of questionnaires issued were returned,,,,,,,
