Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,Health & Safety,,,,,,,,,,,,,,,,
2,Emergency response,,,,,,,FY22,,,,,,,,,
3,GRI 403-8,FY22,FY21,FY20,FY19,FY18,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,,,,
4,Number of onsite incident responses,24,30,,,,,14,2,4,2,0,2,,,,
5,Number of offsite incident responses,6,3,,,,,2,2,1,0,0,1,,,,
6,Number of community responses,,,4,25,16,,,,,,,,,,,
7,Total,30,33,,,,,16,4,5,2,0,3,,,,
8,Number of ERT members,234,173,136 (1),132,147,,45,72,36,22,25,34,,,,
9,(1) Includes the divested Mt Carlton asset,,,,,,,,,,,,,,,,
11,Other safety & wellbeing metrics,,,,,,,,,,FY22,,,,,,
12,GRI 403-8,FY22,FY21,FY20,FY19,FY18,FY17,FY16,FY15,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton***,Ernest Henry****,
13,Person hours worked,7128241.21,5612323.28,5323912,4570433,4374660,4646310,4536104,2912135,,-,-,-,-,-,-,
14,Number of safety interactions,45096,49107,54287,32588,40150,48545,31755,17000,,5755,1588,21162,8066,1081,5702,
15,Significant Safety Occurence FrequencyÃÂ (SSOF),,,,,3.2,4.95,5.9,11.61^,,,,,,,,
16,Safety Incident Frequency (SIF)**,13.33,20.31,14.84,15.97,,,,,,10.6,17.2,9.13,27.2,,7.8,
17,Significant Incidents reviewed with senior management (%),1,1,1,1,,,,,,1,1,1,1,1,1,
18,Number of hazards reported,24607,13337,13415,13040,14048,16515,16853,11278,,8707,3143,11322,748,185,12,
20,Total Recordable Injury Frequency (TRIF) *,,,,,,,,,,FY22,,,,,,
21,GRI 403-09,FY22,FY21,FY20,FY19,FY18,FY17,FY16,FY15,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton***,Ernest Henry****,
22,Employees,9.5,8.45,8.3,6.82,0,0,0,0,,-,-,-,-,-,-,
23,Contractors,12.57,11.84,4.1,10.65,0,0,0,0,,-,-,-,-,-,-,
24,Total,10.66,9.62,6.76,8.31,5.49,7.96,9.7,9.6,,4.7,17.6,9.1,14.6,2.95,13.07,
26,Lost Time Injury Frequency (LTIF) *,,,,,,,,,,FY22,,,,,,
27,GRI 403-09,FY22,FY21,FY20,FY19,FY18,FY17,FY16,FY15,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton***,Ernest Henry****,
28,Employees,2.7,3,3.26,1.08,0,0,0,0,,-,-,-,-,-,-,
29,Contractors,2.6,1.54,0,2.8,0,0,0,0,,-,-,-,-,-,-,
30,Total,2.81,2.49,2.07,1.75,0.5,0.4,1.8,1,,1.77,0.98,4.87,10.46,0,2.61,
32,Fatalities,,,,,,,,,,FY22,,,,,,
33,GRI 403-09,FY22,FY21,FY20,FY19,FY18,FY17,FY16,FY15,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,
34,Employees,0,0,0,0,0,0,0,0,,-,-,-,-,-,-,
35,Contractors,0,0,0,0,0,0,0,0,,-,-,-,-,-,-,
36,Total,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
38,Occupational Illness Frequency *,,,,,,,,,,,,,,,,
39,GRI 403-10,FY22,FY21,,,,,,,,,,,,,,
40,Employees,0.14,0.36,,,,,,,,,,,,,,
42,Note: all classifications above (except Occupational Illness Frequency) include contractors,,,,,,,,,,,,,,,,
43,* including Ernest Henry / per million hours worked,,,,,,,,,,,,,,,,
44,** In FY19 Evolution changed the definition of significant safety occurrence and renamed to significant incidents. The definition change has resulted in more incidents being classified as significant incidents to ensure inceased reporting and learning,,,,,,,,,,,,,,,,
45,*** Mt Carlton data (mma) is for 3 months (Jul-Sept) reflecting the divestment in the reporting year,,,,,,,,,,,,,,,,
46,**** Ernest Henry data (mma) is for 6 months (Jan-Jun) reflecting the acquisition within the reporting year,,,,,,,,,,,,,,,,
47,^FY15 figures are for Evolution operated assets. In the FY16 annual report Mungari and Cowal FY15 figures had been added for comparative purposes (operated by previous owner where data was collected during due diligence - gaps have been subsequently identified with this data),,,,,,,,,,,,,,,,
48,"Note: OSHA principles apply to all calculations using 1,000,000 person hours",,,,,,,,,,,,,,,,
