UNGC Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Purpose: \n - EVN's 2022 Annual and Sustainability Report serves as our Communication on Progress, an annual disclosure to stakeholders on progress made in implementing the Ten Principles of the UN Global Compact in the areas of human rights, labour, environment and anti-corruption.\n - We provide this index corresponding to our progress in implementing the Ten Principles. As a signatory of the UN Global Compact, we strive to embrace its core values and promote these values within our sphere of influence.",,,,,
"Purpose: \n - EVN's 2021 Annual and Sustainability Report serves as our Communication on Progress, an annual disclosure to stakeholders on progress made in implementing the Ten Principles of the UN Global Compact in the areas of human rights, labour, environment and anti-corruption.\n - We provide this index corresponding to our progress in implementing the Ten Principles. As a signatory of the UN Global Compact, we strive to embrace its core values and promote these values within our sphere of influence.",,,,,
Theme,Principle,EVN Response,,,
Human Rights,Principle 1 Businesses should support and respect the protection of internationally proclaimed human rights,- Annual and Sustainability Report 2022 - Community\n - Community Relations Policy\n - Modern Slavery Statement\n - Supplier Code of Conduct\n - Procurement Statement\n - Sustainability Performance Standards - Social Responsibility Performance Standards\n - Additional information can be found on our website,,,
,Principle 2 Make sure that they are not complicit in human rights abuses,- Annual and Sustainability Report 2022 - Community\n - Community Relations Policy\n - Modern Slavery Statement\n - Supplier Code of Conduct\n - Procurement Statement\n - Sustainability Performance Standards - Social Responsibility Performance Standards\n - Additional information can be found on our website,,,
Labour,Principle 3 Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining,- Annual and Sustainability Report 2022 - Community\n - Annual and Sustainability Report 2022 - People & Culture\n - Sustainability Performance Standards - Social Responsibility Performance Standards\n - Additional Information can be found on our website at evolutionmining.com.au\n - GRI Index indicator 102-41,,,
,Principle 4 The elimination of all forms of forced and compulsory labour,- Modern Slavery Statement\n - Supplier Code of Conduct\n - Procurement Statement\n - Sustainability Performance Standards - Social Responsibility Performance Standards\n - Additional Information can be found on our website at evolutionmining.com.au,,,
,Principle 5 The effective abolition of child labour,- Modern Slavery Statement\n - Supplier Code of Conduct\n - Procurement Statement\n - Sustainability Performance Standards - Social Responsibility Performance Standards\n - Additional information can be found on our website at evolutionmining.com.au,,,
,Principle 6 The elimination of discrimination in respect of employment and occupation,- Annual and Sustainability Report 2022 - People\n - Diversity and Inclusion Policy\n - Modern Slavery Statement\n - Supplier Code of Conduct\n - Procurement Statement\n - Sustainability Performance Standards - Social Responsibility Performance Standards\n - Additional information can be found on our website at evolutionmining.com.au\n,,,
Environment,Principle 7 Businesses should support a precautionary approach to environmental challenges,Annual and Sustainability Report 2022 - Environment\n - Climate Risk Position Statement\n - Tailings Storage Facilities Governance Committee Charter\n - Sustainability Policy\n - Sustainability Performance Standards - Environmental Performance Standards\n - Supplier Code of Conduct\n - Additional information can be found on our website at evolutionmining.com.au on Environment; Biodiversity; Tailings Storage Facilities; Water,,,
,Principle 8 Undertake initiatives to promote greater environmental responsibility,- Annual and Sustainability Report 2022 - Risk management\n - Annual and Sustainability Report 2022 - Environment\n - Sustainability Policy\n - Sustainability Performance Standard - Environmental Performance Standards\n - Sustainability Performance Standard - Social Responsibility Performance Standards\n - Supplier Code of Conduct\n - Additional information can be found on our website at evolutionmining.com.au,,,
,Principle 9 Encourage the development and diffusion of environmentally friendly technologies,- Annual and Sustainability Report 2022 - Risk management\n - Annual and Sustainability Report 2022 - Environment\n - Sustainability Policy\n - Sustainability Performance Standard - Environmental Performance Standards\n - Sustainability Performance Standard - Social Responsibility Performance Standards\n - Supplier Code of Conduct\n - Additional information can be found on our website at evolutionmining.com.au,,,
Anti-Corruption,"Principle 10 Businesses should work against corruption in all its forms, including extortion and bribery",- Annual and Sustainability Report 2022 - Economic Performance\n - Code of Conduct\n - Tax Governance Statement\n - Additional information can be found on our website at evolutionmining.com.au,,,
