Unnamed: 0,GRI & SDG Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,"Purpose: \n - EVN has prepared the Sustainability Report in accordance with the Global Reporting Initiative (GRI) Standards (Core Option) but may not achieve the full definition of each GRI indicator.\n - As required by the GRI Standards, we provide an index that specifies each of the GRI Standards used and lists all disclosures included in the report. \n - EVN's GRI index is based on various sources of information, all produced by the Group: 2022 Annual and Sustainability Report, the Group corporate website, additional documents located in the 'References' tab etc. Where relevant, key information relevant to each GRI indicator may be called out in the 'Additional Comment/Response' column but this is not meant to be exhaustive.",,,,,,,,,,
2,Topic,Indicator Number,Description,References,Additional Comment/Response,Workbook Directory,UN Global Compact Principle,SDG,,,
3,Organisational Profile,102-1,Name of the organisation,2022 Annual and Sustainability Report\nCompany Constitution,- Evolution Mining Limited,,,,,,
4,Organisational Profile,102-2,"Activities, brands, products, and services",Our Story\n2022 Annual and Sustainability Report,"- Production of Gold, Silver, Copper (up to June 2021)",,,,,,
5,Organisational Profile,102-3,Location of headquarters,Contact Details\n2022 Annual and Sustainability Report,"- Sydney, NSW (Australia)",,,,,,
6,Organisational Profile,102-4,Location of operations,Our Assets\n2022 Annual and Sustainability Report,"- Australia, Canada",,,,,,
7,Organisational Profile,102-5,Ownership and legal form,Company Constitution\n2022 Annual and Sustainability Report,- Evolution Mining is a publicly-traded corporation listed on the Australian Stock Exchange under the symbol EVN.,,,,,,
8,Organisational Profile,102-6,Markets served,Our Assets\nFY2022 Financial Report\n2022 Annual and Sustainability Report,,,,8,,,
9,Organisational Profile,102-7,Scale of the organization,Our Assets\nFY2022 Financial Report\n2022 Annual and Sustainability Report,,,,,,,
10,Organisational Profile,102-8,Information on employees and other workers,"Our People and Culture\nOur Leadership\n2022 Annual and Sustainability Report\nThis document - ""People"" Worksheet",,Go to Data,6,"5, 8",,,
11,Organisational Profile,102-9,Supply chain,Modern Slavery Statement\nSupplier Code of Conduct\nProcurement Statement\n2022 Annual and Sustainability Report,,,,,,,
12,Organisational Profile,102-10,Significant changes to the organization and its supply chain,2022 Annual and Sustainability Report,"- Evolution acquired 100% ownership in the Ernest Henry operation in Queensland, Kundana and EKJV in Western Australia and divested our Mt Carlton operation.",,,,,,
13,Organisational Profile,102-11,Precautionary Principle or approach,2022 Annual and Sustainability Report,"- The precautionary principle is integrated into our risk management process whereby, to protect the environment, lack of full scientific certainty shall not be used as a reason for postponing cost-effective measures to prevent environmental degradation.",,7,12,,,
14,Organisational Profile,102-12,External initiatives,2022 Annual and Sustainability Report,"- Aligned with: UN Global Compact, UN Sustainable Development Goals, Global Reporting Initiative and Task Force on Climate-Related Financial Disclosures.\n - Electric Mine Consortium\n - Net Zero Emissions Leadership Accelerator Pilot \n - Work 180\n - ISO 14001 Environmental certification\n - Cyanide Code certification",,,17,,,
15,Organisational Profile,102-13,Membership of associations,2022 Annual and Sustainability Report,- Do not donate to political associations,,,17,,,
16,Strategy,102-14,Statement from senior decision-maker,2022 Annual and Sustainability Report,,,,,,,
17,Strategy,102-15,"Key impacts, risks, and opportunities",2022 Annual and Sustainability Report,,,,,,,
18,Ethics and integrity,102-16,"Values, principles, standards, and norms of behaviour","Our Story\nCorporate Governance Statement\nAnti-Bribery and Corruption Policy, page 1\nEmployee Code of Conduct, page 1\nSustainability Website: Sustainability Principles, Sustainability Policies and Standards and Strategic Planning Policy and Standards\n2022 Annual and Sustainability Report\n",,,"1, 2, 3, 4, 5, 6, 10","5, 8, 12, 13",,,
19,Ethics and integrity,102-17,Mechanisms for advice and concerns about ethics,"Employee Code of Conduct, page 1\nWhistleblower Policy\nWhistleblower Standards\nSupplier Code of Conduct\n2022 Annual and Sustainability Report",,Go to Data,"1, 2, 10",16,,,
20,Governance,102-18,Governance structure,Corporate Governance\nCorporate Governance Statement\nBoard Charter\nAudit Committee Charter\nNomination and Remuneration Committee Charter\nRisk and Sustainability Committee Charter\nTailings Storage Facilities Governance Committee Charter\n2022 Annual and Sustainability Report,- Supported by Board Committee charters,,10,,,,
21,Governance,102-19,Delegating authority,Our Leadership\nRisk and Sustainability Committee Charter\n2022 Annual and Sustainability Report,- Established under DoA structure,,10,,,,
22,Governance,102-20,"Executive-level responsibility for economic, environmental, and social topics",Our Leadership\nCorporate Governance Statement\n2022 Annual and Sustainability Report,- ESG managed under Sustainability portfolio by Fiona Murfitt - VP Sustainability \n - Economic: Lawrie Conway - CFO and Finance Director\n - People and Culture: Paul Eagle - Vice President People and Culture\n - Corporate Governance: Evan Elstein - Company Secretary and Vice President of IT,,10,16,,,
23,Governance,102-21,"Consulting stakeholders on economic, environmental, and social topics",Corporate Governance Statement\nRisk and Sustainability Committee Charter\n2022 Annual and Sustainability Report,,,10,16,,,
24,Governance,102-22,Composition of the highest governance body and its committees,"Our Leadership\nBoard Charter, page 1\nCorporate Governance Statement, page 3\n2022 Annual and Sustainability Report","- The Board of Directors, supported by its 3 Sub Committees are the highest governance bodies in the organisation.",,10,516,,,
25,Governance,102-23,Chair of the highest governance body,Board Charter\nCorporate Governance Statement\n2022 Annual and Sustainability Report,,,10,16,,,
26,Governance,102-24,Nominating and selecting the highest governance body,"Corporate Governance Charter, pages 12-13\nDiversity Policy, pages 1-2\n2022 Annual and Sustainability Report",,,10,516,,,
27,Governance,102-25,Conflicts of interest,Our Leadership\nCorporate Governance Statement\nBoard Code of Conduct\nEmployee Code of Conduct\n2022 Annual and Sustainability Report,"- The board takes steps to ensure that its directors, executives and employees use sound judgment and understand the code of conduct, the rules of reporting conflicts of interest, and the need to receive direction from the Executive Chairman as well as the Company Secretary about any potential conflicts of interest.",,10,16,,,
28,Governance,102-26,"Role of highest governance body in setting purpose, values, and strategy",Corporate Governance\nBoard Charter\nCorporate Governance Statement\nRisk and Sustainability Committee Charter\n2022 Annual and Sustainability Report,"- The highest governing body within the organisation is the Board of Directors. \n - The Board maintains three sub committees including the Risk and Sustainability Committee, which meets at least three times per year, and is designed to advise and support the Board of Directors on all matters pertaining to the Sustainability of the Company and group level risk appetite, risk management, and mitigation of all material risks arising from the CompanyÃ¢ÂÂs activities.\n - Additional in-depth insight into the management of sustainability matters, which includes policy reviews, compliance issues, and incidents can be found in our 2022 Annual and Sustainability Report.",,"1, 7, 8",,,,
29,Governance,102-27,Collective knowledge of highest governance body,Our Leadership\nCorporate Governance Statement\n2022 Annual and Sustainability Report,,,10,4,,,
30,Governance,102-28,Evaluating the highest governance bodyÃ¢ÂÂs performance,Corporate Governance\nBoard Charter\nCorporate Governance Statement\n2021 Annual and Sustainability Report,"- We monitor governance developments to make sure our practices continue to be current and appropriate, and support our high standards of governance and stewardship.\n - The board conducts a formal assessment of board and committee effectiveness, as well as the contribution of individual directors.",,10,,,,
31,Governance,102-29,"Identifying and managing economic, environmental, and social impacts",Our Leadership\nCorporate Governance Statement\nRisk and Sustainability Committee Charter\n2022 Annual and Sustainability Report,,,"1, 2, 7, 8, 9, 10","9, 16",,,
32,Governance,102-30,Effectiveness of risk management processes,Our Leadership\nRisk and Sustainability Committee Charter\nCorporate Governance Statement\nSustainability Policy\nStrategic Planning Policy\nSustainability Performance Standards\n2022 Annual and Sustainability Report,"- The board has overall responsibility for risk oversight and each board committee is responsible for overseeing risk in particular aspects of our business.\n - The primary responsibility of the Risk and Sustainability Committee is to oversee the CompanyÃ¢ÂÂs risk management systems, sustainability programs and mitigating controls on behalf of the Board and regularly providing a report of its activities to the Board.\n - We have an established, risk-based decision approach that is supported by the Sustainability and Strategic Planning Policies, Standards, Risk Management Framework and supporting sites processes and procedures that aligns to the principles of the Australian and international standards and guidance.",,"1, 2, 7, 8, 9, 10","9, 16",,,
33,Governance,102-31,"Review of economic, environmental, and social topics",Corporate Governance Statement\nRisk and Sustainability Committee Charter\n2022 Annual and Sustainability Report,,,"1, 2, 7, 8, 9, 10","9, 16",,,
34,Governance,102-32,Highest governance bodyÃ¢ÂÂs role in sustainability reporting,Corporate Governance Statement\nRisk and Sustainability Committee Charter\n2022 Annual and Sustainability Report,"- The Board's Risk and Sustainability Committee reviews sustainability, health, safety and environmental performance three times a year.\n - The Board receives the Executive Report on a monthly basis which contains a summary of the Sustainability performance. \n - The Board via the Risk and Sustainability Committee approves the Annual Sustainability Report.",,,,,,
35,Governance,102-33,Communicating critical concerns,Code of Conduct\nWhistleblower Policy\nWhistleblower Standards\n2022 Annual and Sustainability Report,"The Leadership Team has oversight of all material risk matters including any emerging issues. These issues are raised and communicated directly either via the sub committees, the Board or as needed.",,"1, 10",11,,,
