Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
160,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,Ã¢ÂÂYour VoiceÃ¢ÂÂ Engagement Survey,,,GPT,2023.0,"The 'Your Voice' Engagement Survey by GPT is crucial for soliciting feedback and gauging employee satisfaction and engagement levels. Through comprehensive questionnaires and data analysis, GPT gains valuable insights into organisational strengths and areas for improvement. By prioritising employee input and acting on survey findings, GPT fosters a culture of transparency, collaboration, and continuous improvement within the workplace.",,,,,,,"Ã¢ÂÂYour VoiceÃ¢ÂÂ Engagement Survey, modern slavery risks, suspected modern slavery","16, 17",S,,MSS,,,,,,,,,,,,,,
161,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Modern slavery e-learning module,,,GPT,2023.0,"GPT's Modern Slavery e-learning module provides employees with essential training to recognise and address instances of modern slavery within the supply chain. Through interactive modules and real-life case studies, employees gain a deeper understanding of the complexities and signs of modern slavery. By empowering employees with knowledge and awareness, GPT reinforces its commitment to ethical sourcing practices and the protection of human rights.",,,,,,,"Modern slavery e-learning module, Training and education, Frequent skilling",2024-04-17 00:00:00,S,,,,,,,,,,,,,,,,
162,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Modern Slavery Development Working Group,,,GPT,2023.0,"The Modern Slavery Development Working Group at GPT is dedicated to advancing strategies and initiatives to combat modern slavery within the organisation and its supply chains. Comprising multidisciplinary experts and stakeholders, this group collaborates to develop policies, conduct risk assessments, and implement best practices to eradicate modern slavery. By fostering collaboration and driving proactive efforts, the Modern Slavery Development Working Group reinforces GPT's commitment to ethical business practices and human rights.",,,,,,,"Modern Slavery Development Working Group, modern slavery risks, development and construction",17,"S, G",,,,,,,,,,,,,,,,
163,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,GPT,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Casuarina Social Plan,,,GPT,2023.0,"The Casuarina Social Plan, devised by the community through collaborative efforts, aims to enhance social cohesion and wellbeing in the neighbourhood. The plan seeks to foster a sense of belonging and connection among residents through community events, support networks, and recreational activities. By prioritising inclusivity and participation, the Casuarina Social Plan endeavours to create a vibrant and supportive community for all its members.",,,,,,,"Casuarina Social Plan, vibrant community hub, Darwin",11,S,,https://www.gpt.com.au/sustainability/community/our-activities,,,,,,,,,,,,,,
165,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,ACF Foundation,,,GPT,2023.0,"The ACF Foundation, a grassroots community effort, addresses pressing social and environmental challenges through innovative solutions. The foundation strives to make a meaningful impact in education, healthcare, and conservation by mobilising volunteers, organising fundraisers, and partnering with local businesses. Through collaborative endeavours, the ACF Foundation aims to create positive change and build a brighter future for all community members.\t",,,,,,,"ACF Foundation, Volunteers, Collaboration",11,S,,https://www.gpt.com.au/sustainability/community/our-activities,,,,,,,,,,,,,,
166,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Wollongong and SASSHI,,,GPT,2023.0,"Wollongong and SASSHI have joined a remarkable community effort to promote mental health awareness and support. Through collaborative initiatives such as workshops, peer support groups, and outreach programs, they strive to destigmatise mental illness and provide resources for those in need. Wollongong and SASSHI are fostering a more compassionate and resilient community where individuals feel empowered to seek help and support each other in mental health challenges.",,,,,,,"Wollongong and SASSHI, Community Day, Shoalhaven and Illawarra",11,S,,https://www.gpt.com.au/sustainability/community/our-activities,,,,,,,,,,,,,,
167,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Live Life Get Active,,,GPT,2023.0,"Live Life Get Active is a community-driven initiative that promotes health and fitness among individuals of all ages and backgrounds. The program empowers participants to lead active and fulfilling lives through free outdoor exercise classes, nutritional guidance, and motivational support. By fostering a sense of camaraderie and accountability, Live Life Get Active inspires communities to prioritise their wellbeing and make positive lifestyle choices together.\t",,,,,,,"Live Life Get Active, Newcastle, free outdoor fitness",11,S,,https://www.gpt.com.au/sustainability/community/our-activities,,,,,,,,,,,,,,
168,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Charlestown Square: The Place,,,GPT,2023.0,"Charlestown Square offers facilities to support the critical needs of the local community and attract customers through initiatives held at 'The Place'. The community centre is part of GPT's ambition to provide environments that enable communities to prosper. Established in 2010, The Place is a fully operational social enterprise that provides a regular program of activities to actively engage people from all ages and backgrounds in the community.",,,,,,,"Charlestown Square: The Place, communities to prosper, local community",11,S,,https://www.gpt.com.au/sustainability/community/our-activities,,,,,,,,,,,,,,
169,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,The Riverside Centre,,,GPT,2023.0,"The Riverside Centre stands as a beacon of community collaboration, offering a diverse range of programs and services to enrich the lives of residents. Through partnerships with local organisations, the centre provides educational workshops, recreational activities, and support services tailored to the community's needs. By fostering a sense of belonging and empowerment, The Riverside Centre embodies the spirit of collective effort in creating a thriving and inclusive community hub.",,,,,,,"The Riverside Centre, Leveraging our relationships, national charitable partners",11,S,,https://www.gpt.com.au/sustainability/community/our-activities,,,,,,,,,,,,,,
