Unnamed: 0,2023 Sustainability performance,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1,Diversity and inclusion metrics,,,,,,,,
3,Gender diversity,%,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,,
4,Women in workforce,,54.4,55.2,56.1,56.9,57.2,,
5,Women in Team Member and Team Leader roles1,,66.9,67.5,68.8,68.3,68.3,,
6,Women in Manager roles1,,45.2,45.8,45.7,45.5,46,,
7,Women in Executive Manager roles1,,44.7,44.1,42.5,41.7,39.5,,
8,Women in General Manager roles1,,41.4,39,38.5,39.8,39.3,,
9,Women in Executive General Manager roles1,,41,38.4,38.8,38.9,31,,
10,Women in Manager and above roles,,45.1,45.5,45.2,45,45,,
11,Women in Executive Manager and above roles,,44,43.1,41.7,41.2,39.1,,
12,Women in Senior Leadership (Group Executives)1,,41.666667,41.7,27.272727,33.333333,30,,
14,Gender pay equity Ã¢ÂÂ (female to male base salary),ratio,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,2019-03-31 00:00:00,,
15,Executive General Manager,,0.93,0.91,0.859233,0.9,0.95,,
16,General Manager,,0.98,0.99,0.985472,1,0.97,,
17,Executive Manager,,0.99,0.98,0.976143,0.98,1,,
18,Manager / Professional,,0.98,0.97,0.966451,0.98,0.98,,
19,Team Member,,1.01,1.01,0.996733,1,1,,
21,WGEA Gender pay gap \n(percentage difference of average male earnings)2,%,2023-03-31 00:00:00,2022-03-31 00:00:00,,,,,
22,Workplace Gender Equality Agency (WGEA) Gender pay gap,,23.6,23.1,,,,,
24,Age diversity3,%,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,,
25,<25 years,,6.5,7,7.1,7.9,7.4,,
26,25-34 years,,32.9,32.3,30.7,30.8,31.4,,
27,35-44 years,,32.9,32.5,32.5,31.9,31.8,,
28,45-54 years,,18.2,18.6,19.9,19.6,19.9,,
29,55-64 years,,8.2,8.1,8.6,8.6,8.4,,
30,65+ years,,1.1,1,1.1,1,0.9,,
32,Other diversity dimensions,%,Sep 22,Sep 21,Sep 20,Oct 19,Apr 19,,
33,CBA Indigenous workforce (ancestry)3,,1,0.913,0.8,1.5,0.9,,
34,Employees living with disability,,7.6,7.1,6.5,8.7,10.5,,
35,Employees who identify as LGBTI and/or gender non-binary,,5.1,4.8,4.9,3.3,3.4,,
37,,,Cultural Diversity\nIndex,"Australia, NZ, British, Irish",Europe,Asia,"Africa, \nMiddle East",Americas,"Indigenous, Pacific Islanders"
40,Cultural diversity based on ancestry (Sep 2022)4,,#,%,%,%,%,%,%
41,CBA overall,,0.775,48,12,32.6,3.6,1.4,2.5
42,General Manager and above,,0.604,67.9,14.8,10.8,3.5,1.8,1.3
43,Executive Manager and above,,0.645,64.5,14.3,15.6,3.3,1.46,0.9
44,2021 Australia Census (ancestry),,0.654,64.3,11.3,16,4,1,3.8
46,1 Not assured by PwC.,,,,,,,,
47,"2 Reported for the first time in FY23, not assured by PwC.",,,,,,,,
48,"3 Metric can be volatile due to small sample size. Prior to FY23, figure was calculated as a proportion of employees in all included locations. In FY23, we provided localised response options to participants based in India. As such, the methodology changed to reflect the proportion of Australia-based participants who selected any of the Indigenous response options. 2021 Australian Census (Aboriginal or Torres Strait Islander) was 3.2%.",,,,,,,,
49,4 Numbers may not sum to 100 due to rounding.,,,,,,,,
