Unnamed: 0,2023 Sustainability performance,Unnamed: 1
34,Escalated complaints to an external dispute resolution (EDR) scheme,"The number of complaints escalated to an EDR scheme for the Group. This includes complaints that have been through the BankÃ¢ÂÂs Internal Dispute Resolution (IDR) process, then escalated to an EDR scheme. These complaints are recorded in FirstPoint and managed by the\nGroup Customer Relations and/or Customer Care teams. EDR schemes include, but are not limited to the Australian Financial Complaints Authority (AFCA) and the Office of the Australian Information Commissioner (OAIC). Includes Bankwest and CBA/Colonial First State (CFS) or Commonwealth Insurance Limited (CIL) comingled complaints or complaints related to the sale and distribution of CFS/CIL products. Excludes ASB businesses in New Zealand and other overseas operations. Accompanying sustainability performance metric assured by PwC."
35,ESG,"Environmental, social and governance."
36,ESG bond arrangement,"The full value of all Green, Social, Sustainability, Sustainability-Linked and Transition Bonds arranged during the 12 months ended 30 June, in which CBA acted as Global Coordinator, Manager/Bookrunner or Lead Arranger. The roles and bond classification have been defined and confirmed by Bloomberg. Private placements aligned with International Capital Market Association principles are included. Accompanying sustainability performance metric assured by PwC."
37,ESG learnings\ncompleted/attended,"The number of ESG training modules or events completed or attended by CBA and Bankwest\nemployees, delivered via online learning modules, in-person or virtual events as at 30 June.\nFundamental training includes basic entry level introductory content. Specialised training is\nspecific to a role, industry or other tailored content. Excludes ASB businesses in New Zealand."
38,ESG training completed (headcount),"The number of CBA and Bankwest employees who have completed ESG training modules, measured by headcount, as recorded in the Bank's learning management system (PeopleLink) as at 30 June. Excludes ASB businesses in New Zealand. Accompanying sustainability performance metric assured by PwC."
39,Financial Independence Hub (participants supported),"An individual who has received meaningful support, interactions or assistance within the Financial Independence program. This might include, but is not limited to, financial\ncoaching, financial counselling, providing advice, information or education on domestic and family violence and/or financial abuse, referrals to other services within Good Shepherd or to external agencies, or support with tasks. A participant can receive one or more services."
40,Forgone revenue,"Forgone revenue consists of the aggregate value of fee-free or discounted CBA products and services related to transacting accounts during the reporting period, to a range of customers including youth, students, young adults, government benefit recipients, not- for-profit organisations and older people. This metric relates to monthly account fee and\ntransaction fees and contains some assumptions to estimate the number of active accounts with forgone revenue. This metric does not include discounts on interest rates or revenue forgone as part of CBAÃ¢ÂÂs Emergency Assistance Packages. Certain transaction fee waivers are excluded from forgone revenue estimates. Accompanying sustainability performance metric assured by PwC."
41,"Fuels Ã¢ÂÂ natural gas, diesel and transport","Energy from the use of natural gas and diesel in data centres, retail and commercial operations. Includes energy from the use of fuels such as petrol, diesel and ethanol for transport, under CBAÃ¢ÂÂs operational control during the reporting period. Accompanying sustainability performance metric assured by PwC."
42,Full-time equivalent employees (FTE),"Total FTE of the Group by geographical work locations as at 30 June. FTE includes full- time, part-time, job share employees, employees on extended leave and contractors. One full-time role is equal to 38 working hours per week. New Zealand category refers to ASB employees only. CBA staff based in New Zealand are captured under 'Other'. India FTE prior to FY22 are captured under 'Other'. Total FTE sustainability performance metric assured by PwC."
43,Gender pay equity Ã¢ÂÂ female to male base salary comparison,"Gender pay equity is defined as the ratio of the weighted average base salary of males and females for Australia-based employees of the Group, as at 31 March. The data reflects roles in similar functions, role scope and responsibilities. The data refers to permanent employees who are full-time, part-time, job sharing or on extended leave. It excludes the CEO, Board members, contractors, casual employees, seconded employees and employees who have not responded with a defined gender. Accompanying sustainability performance metric assured by PwC."
