Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
439,,35-44,30.1,31,32.6,31.17912583948035,32.9,,,,,,,,,,,,,,,,,,,,,,,,
440,,45-54,19.6,20,21.6,19.828250578002862,20.9,,,,,,,,,,,,,,,,,,,,,,,,
441,,55+,8.4,8,8.2,7.145216338214247,7.3,,,,,,,,,,,,,,,,,,,,,,,,
443,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,,1. Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,,2. For FY23 1.2% of this workforce does not have age group data available due to the controlled entity type construct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,,"3. In FY23, the 16-24 Age Group has been adjusted to 24 and under.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,Table 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,,"Disability representation in the workforce1,2",,,,,,,,,,GRI Standards 405-1,,,,,,,,,,,,,,,,,,,
450,,Count and Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,,Count,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,,Representation of TelstraÃ¢ÂÂs graduate cohort who self identify as disabled or living with disability against a target of 12% by commencement in 2025,16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,Representation of workforce who self identify as disabled or living with disability,408,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,1. Data refers to FY23 Telstra Group Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,,"2. Some of our workforce have selected to not self-disclose their disability, meaning that records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,PAY EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,,Table 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,Gender Pay Equity: Compa-ratioÃÂ¹,,,,,,,,,,GRI Standards 405-2,,,,,,,,,,,,,,,,,,,
464,,Compa-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
