Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
289,,Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
291,,Male,2299,2239,2728,2586,4299,,,,,,,,,,,,,,,,,,,,,,,,
292,,Female,1596,1479,1683,1093,2133,,,,,,,,,,,,,,,,,,,,,,,,
293,,Another option,11,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
294,,Not self-disclosed,18,19,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
296,,24 and under,854,635,280,222,315,,,,,,,,,,,,,,,,,,,,,,,,
297,,Male,427,302,128,116,184,,,,,,,,,,,,,,,,,,,,,,,,
298,,Female,420,328,151,89,131,,,,,,,,,,,,,,,,,,,,,,,,
299,,Another option,4,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
300,,Not self-disclosed,3,5,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
302,,25-34,1316,1349,1250,1010,1346,,,,,,,,,,,,,,,,,,,,,,,,
303,,Male,749,791,625,560,773,,,,,,,,,,,,,,,,,,,,,,,,
304,,Female,555,557,620,367,573,,,,,,,,,,,,,,,,,,,,,,,,
305,,Another option,4,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
306,,Not self-disclosed,8,1,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
308,,35-44,859,952,1069,977,1692,,,,,,,,,,,,,,,,,,,,,,,,
309,,Male,513,606,638,611,1023,,,,,,,,,,,,,,,,,,,,,,,,
310,,Female,340,340,424,293,669,,,,,,,,,,,,,,,,,,,,,,,,
311,,Another option,1,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
312,,Not self-disclosed,5,6,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
314,,45-54,521,436,770,804,1392,,,,,,,,,,,,,,,,,,,,,,,,
315,,Male,332,271,517,547,937,,,,,,,,,,,,,,,,,,,,,,,,
316,,Female,188,162,249,213,455,,,,,,,,,,,,,,,,,,,,,,,,
317,,Another option,1,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
318,,Not self-disclosed,0,3,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
320,,55 +,374,365,781,896,1687,,,,,,,,,,,,,,,,,,,,,,,,
321,,Male,278,269,637,752,1382,,,,,,,,,,,,,,,,,,,,,,,,
322,,Female,93,92,140,131,305,,,,,,,,,,,,,,,,,,,,,,,,
323,,Another option,2,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
324,,Not self-disclosed,1,4,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
326,,Australia,3490,3200,3124,3354,5779,,,,,,,,,,,,,,,,,,,,,,,,
327,,Hong Kong,32,41,76,21,123,,,,,,,,,,,,,,,,,,,,,,,,
328,,Philippines,150,151,887,193,171,,,,,,,,,,,,,,,,,,,,,,,,
329,,India,166,252,104,62,not reported,,,,,,,,,,,,,,,,,,,,,,,,
330,,Singapore,25,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
331,,United Kingdom,24,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
332,,United States of America,11,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
333,,Other3,26,93,241,295,353,,,,,,,,,,,,,,,,,,,,,,,,
335,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,2. For FY23 1.2% of this workforce does not have age group data available due to the controlled entity type construct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,"3. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,"4. Other countries are Canada, China, Japan, Republic of Korea, Malaysia, New Zealand, Sweden, Taiwan, Thailand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,"5. In FY23, the 16-24 Age Group has been adjusted to 24 and under.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,Table 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,"Parental leave by gender1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,Headcount,,,,,,,,,,GRI Standards 401-3,,,,,,,,,,,,,,,,,,,
346,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
347,,Male,971,1023,884,879,610,,,,,,,,,,,,,,,,,,,,,,,,
348,,Female,608,571,411,557,684,,,,,,,,,,,,,,,,,,,,,,,,
349,,Another option,2,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
351,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,"1. Data refers to Telstra Direct headcount as defined above who returned to work after parental leave ended within the reporting period. This includes Australian employees only, as per our parental leave policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,"2. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,Table 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,"Returned to work after parental leave1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,Headcount,,,,,,,,,,GRI Standards 401-3,,,,,,,,,,,,,,,,,,,
359,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
360,,Male,868,1012,877,877,602,,,,,,,,,,,,,,,,,,,,,,,,
361,,Female,383,562,409,548,631,,,,,,,,,,,,,,,,,,,,,,,,
362,,Another option,2,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
364,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,"1. Data refers to Telstra Direct headcount as defined above who returned to work after parental leave ended within the reporting period. This includes Australian employees only, as per our parental leave policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,"2. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
