Unnamed: 0,People and Workplace(1),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,Global female representation (%),FY23,FY22,FY21,,Legend,,,,,,,,,,,,,
,Board of Directors,62.5,50,45.5,,NR = not reported due to data availability,,,,,,,,,,,,,
,Executive Committee,30,30,27.5,,,,,,,,,,,,,,,
,Division Heads(2),25.53191489361702,26.5,23,,,,,,,,,,,,,,,
,Senior Executives(3),23.348300192431047,21.8,20.5,,,,,,,,,,,,,,,
,Women in workforce,44.0678827295361,43,42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employees by contract type (#),FY23,FY22,FY21,,,,,,,,,,,,,,,
,Active permanent(4),19289,16804,15602,,,,,,,,,,,,,,,
,Contingent(5),841,735,486,,,,,,,,,,,,,,,
,Casual,14,17,33,,,,,,,,,,,,,,,
,Total ,20144,17556,16121,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employees by contract type (#),FY23,FY22,FY21,,,,,,,,,,,,,,,
,Active Permanent ,,,,,,,,,,,,,,,,,,
,Permanent - Full time,18518,16126,14946,,,,,,,,,,,,,,,
,Permanent - Part time ,771,678,656,,,,,,,,,,,,,,,
,Total ,19289,16804,15602,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employees by region (#),FY23,FY22,FY21,,,,,,,,,,,,,,,
,Active Permanent ,,,,,,,,,,,,,,,,,,
,Americas,3100,2821,2599,,,,,,,,,,,,,,,
,ANZ,9477,7835,6946,,,,,,,,,,,,,,,
,Asia,4221,3937,4013,,,,,,,,,,,,,,,
,EMEA,2491,2211,2044,,,,,,,,,,,,,,,
,Total ,19289,16804,15602,,,,,,,,,,,,,,,
,Contingent,,,,,,,,,,,,,,,,,,
,Americas,90,122,71,,,,,,,,,,,,,,,
,ANZ,626,467,291,,,,,,,,,,,,,,,
,Asia,26,30,42,,,,,,,,,,,,,,,
,EMEA,99,116,82,,,,,,,,,,,,,,,
,Total ,841,735,486,,,,,,,,,,,,,,,
,Casual,,,,,,,,,,,,,,,,,,
,Americas,1,0,0,,,,,,,,,,,,,,,
,ANZ,11,15,28,,,,,,,,,,,,,,,
,Asia,2,2,5,,,,,,,,,,,,,,,
,EMEA,0,0,0,,,,,,,,,,,,,,,
