Unnamed: 0,Environmental and Social Risk (ESR) Management,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,Reviews completed under the ESR Policy in the year by type (#),FY23,FY22,FY21,,,Legend,,,,,,,,,,,,,,
,Counterparty reviews ,678,498,216,,,NR = not reported due to data availability,,,,,,,,,,,,,,
,Transactions,340,431,402,,,,,,,,,,,,,,,,,
,Advisory mandates,76,112,79,,,,,,,,,,,,,,,,,
,Total(1),1094,1041,697,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Reviews completed under the ESR Policy in the year by sector (#),FY23,FY22,FY21,,,,,,,,,,,,,,,,,
,Mining,249,215,135,,,,,,,,,,,,,,,,,
,Energy,195,192,98,,,,,,,,,,,,,,,,,
,Social infrastructure,87,83,17,,,,,,,,,,,,,,,,,
,Agriculture,80,50,31,,,,,,,,,,,,,,,,,
,Financial services,60,54,31,,,,,,,,,,,,,,,,,
,Chemicals & pharmaceuticals,54,52,31,,,,,,,,,,,,,,,,,
,Gaming & entertainment,53,42,41,,,,,,,,,,,,,,,,,
,Manufacturing,48,44,31,,,,,,,,,,,,,,,,,
,Defence,45,43,36,,,,,,,,,,,,,,,,,
,Infrastructure,33,33,64,,,,,,,,,,,,,,,,,
,Technology,31,41,25,,,,,,,,,,,,,,,,,
,Transport,31,41,37,,,,,,,,,,,,,,,,,
,Nuclear,27,33,22,,,,,,,,,,,,,,,,,
,Renewables,23,46,30,,,,,,,,,,,,,,,,,
,Other,33,35,25,,,,,,,,,,,,,,,,,
,Real estate,23,15,26,,,,,,,,,,,,,,,,,
,Food & beverages,12,9,10,,,,,,,,,,,,,,,,,
,Waste management,10,13,7,,,,,,,,,,,,,,,,,
,Total(1),1094,1041,697,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Training attendances in the year (#),FY23,FY22,FY21,,,,,,,,,,,,,,,,,
,ESR and Work Health and Safety(2)(3),1078,590,144,,,,,,,,,,,,,,,,,
,Human Rights(3),3455,4400,1499,,,,,,,,,,,,,,,,,
,Total ,4533,4990,1643,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Footnotes:,,,,,,,,,,,,,,,,,,,,
,(1) PwC has provided limited assurance over the total reviews completed under the ESR Policy for the FY2023 reporting period as detailed in the PwC independent assurance report available within Macquarie’s FY2023 Basis of Preparation for ESG Reporting. ,,,,,,,,,,,,,,,,,,,,
,"     This also sets out the reporting boundaries, metric definitions and measurement methodologies for the assured metrics. PwC did not assure the split by type or sector.",,,,,,,,,,,,,,,,,,,,
,"(2) Includes risk managers and those in specific business groups with greatest potential exposure to environmental, social and WHS risks. Excludes global online WHS training completions.",,,,,,,,,,,,,,,,,,,,
,"(3) Some employees may have attended more than one training session, in which case their attendance was counted for each session.",,,,,,,,,,,,,,,,,,,,
