Unnamed: 0,Unnamed: 0.1,Sustainability in Our Own Business Operations,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,,Emissions - Scope 1 (Direct) (tCO2e)(1),FY23,FY22(2),FY21,,Legend,,,,,,,,,,,,
2,,"Diesel, natural gas and refrigerant emissions",411,343,465,,NR = not reported due to data availability,,,,,,,,,,,,
5,,Emissions - Scope 2 (Indirect) electricity emissions (tCO2e)(1),FY25 Target,FY23(4),,FY22(2),,FY21,,,,,,,,,,,
6,,,Market-based,Market-based,Location-based(3),Market-based,Location-based(3),Market-based,Location-based(3),,,,,,,,,,
7,,Corporate offices and data centres(5),0,0,14568,0,15748,20883,22581,,,,,,,,,,
8,,Base buildings(5),0,0,0,0,264,1153,1153,,,,,,,,,,
9,,Total,0,0,14568,0,16012,22036,23734,,,,,,,,,,
12,,Emissions - Scope 3 (Indirect) upstream emissions (tCO2e)(1),FY23,FY22(6),FY21(6),FY20 baseline,,,,,,,,,,,,,
13,,Category 1: Purchased goods & services,155097,147622,137072,149454,,,,,,,,,,,,,
14,,Category 2: Capital goods(7),,,,,,,,,,,,,,,,,
15,,Category 3: Fuel & energy related activities,3862,3959,3156,4054,,,,,,,,,,,,,
16,,Category 4: Upstream transportation and distribution(7),,,,,,,,,,,,,,,,,
17,,Category 5: Waste generated in operations,187,142,147,112,,,,,,,,,,,,,
18,,Category 6: Business travel(4)(8),56872,14609,1805,68744,,,,,,,,,,,,,
19,,Category 7: Employee commuting(9),,,,,,,,,,,,,,,,,
20,,Category 8: Upstream leased assets(7),,,,,,,,,,,,,,,,,
21,,Total,216018,166332,142180,222364,,,,,,,,,,,,,
24,,"Emissions - total Scope 1, 2 and 3 upstream (tCO2e)(1)",FY23,FY22(2),FY21,,,,,,,,,,,,,,
25,,,216429,166675,164681,,,,,,,,,,,,,,
28,,Per capita emissions - Scope 2 indirect electricity emissions (tCO2e),FY23(7),,FY22,,FY21,,,,,,,,,,,,
29,,,Market-based,Location-based(3),Market-based,Location-based(3),Market-based,Location-based(3),,,,,,,,,,,
30,,Corporate offices and data centres(5),0,0.72,0,0.9,1.3,1.4,,,,,,,,,,,
31,,Base buildings(5),0,0,0,0.01,0.07,0.07,,,,,,,,,,,
32,,Total,0,0.72,0,0.91,1.37,1.47,,,,,,,,,,,
35,,Per capita emissions - Scope 3 (Indirect) upstream emissions (tCO2e),FY23,FY22(6),FY21(6),FY20 baseline,,,,,,,,,,,,,
37,,Category 1: Purchased goods & services,7.7,8.41,8.5,9.7,,,,,,,,,,,,,
38,,Category 2: Capital goods(7),,,,,,,,,,,,,,,,,
39,,Category 3: Fuel & energy related activities,0.19,0.22,0.2,0.26,,,,,,,,,,,,,
40,,Category 4: Upstream transportation and distribution(7),,,,,,,,,,,,,,,,,
41,,Category 5: Waste generated in operations,0.01,0.01,0.01,0.01,,,,,,,,,,,,,
42,,Category 6: Business travel(4)(8),2.82,0.83,0.11,4.47,,,,,,,,,,,,,
43,,Category 7: Employee commuting(9),,,,,,,,,,,,,,,,,
44,,Category 8: Upstream leased assets(7),,,,,,,,,,,,,,,,,
45,,Total,10.72,9.47,8.82,14.44,,,,,,,,,,,,,
48,,Energy use (TJ),FY23,FY22(2),FY21,FY14 baseline,,,,,,,,,,,,,
50,,Direct energy(10),6,5,7,0,,,,,,,,,,,,,
51,,Indirect energy(11),146,147,156,231,,,,,,,,,,,,,
52,,Total,152,152,163,231,,,,,,,,,,,,,
55,,Macquarie people(12) occupying a sustainably-rated(13) office (%),FY25 Target,FY23,FY22,FY21,,,,,,,,,,,,,
56,,,80,72,71,69,,,,,,,,,,,,,
59,,Recycling rate (%)(14),FY25 Target,FY23,FY22,FY21,,,,,,,,,,,,,
60,,,50,51,45,35,,,,,,,,,,,,,
63,,Reduction in paper use from FY19 baseline (%)(15),FY25 Target,FY23,FY22,FY21,,,,,,,,,,,,,
64,,,60,77,84,84,,,,,,,,,,,,,
67,,Spend with diverse supplier groups in tiers 1 & 2 of supply chain (A$m)(16),FY23,FY22,FY21,,,,,,,,,,,,,,
68,,,17.2,16.5,12,,,,,,,,,,,,,,
71,,Footnotes:,,,,,,,,,,,,,,,,,
