Unnamed: 0,Unnamed: 0.1,Business Conduct and Ethics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1,,Political contributions in Australia ($A)(1),FY23,FY22,FY21,,Legend,,,,,,,,,,
2,,Liberal Party of Australia,104764,108064,127680,,NR = not reported due to data availability,,,,,,,,,,
3,,Australian Labor Party,96000,110961,112550,,,,,,,,,,,,
4,,Australian National Party,22000,11375,11000,,,,,,,,,,,,
5,,Total,222764,230400,251230,,,,,,,,,,,,
8,,"Attendances at tailored training, workshops and leadership sessions in the year(2) (#)",FY23,FY22,FY21,,,,,,,,,,,,
9,,,11800,8000,9000,,,,,,,,,,,,
12,,Disclosures received and managed by the Integrity Office in the year(3) (#),FY23,FY22,FY21,,,,,,,,,,,,
13,,,61,64,49,,,,,,,,,,,,
16,,Data protection matters reported in the year(4) (#),FY23,,,,,,,,,,,,,,
17,,,1,,,,,,,,,,,,,,
20,,Footnotes:,,,,,,,,,,,,,,,
21,,(1) This disclosure is made by way of an annual Australian Electoral Commission (AEC) return on a 1 July to 30 June basis and is published by the AEC in the February following the end,,,,,,,,,,,,,,,
22,,of the disclosure year.,,,,,,,,,,,,,,,
23,,"(2) Tailored content focused on conduct, supervision in a hybrid working environment, integrity, speaking up and psychological safety. Macquarie also requires all employees globally",,,,,,,,,,,,,,,
24,,"to undertake mandatory online Code of Conduct training (not included in the above). Some employees may have attended more than one training session, in which case their attendance",,,,,,,,,,,,,,,
25,,was counted for each session.,,,,,,,,,,,,,,,
26,,"(3) Covers all disclosures made to the Integrity Office, including whistleblower disclosures, and includes disclosures made through the anonymous reporting channel.",,,,,,,,,,,,,,,
27,,"(4) For example, as per section 26WE of the Australian Privacy Act 1988 (Cth) and reportable under Part IIIC of the Act.",,,,,,,,,,,,,,,
