Unnamed: 0,Unnamed: 0.1,Environmental and Social Risk (ESR) Management,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
1,,Reviews completed under the ESR Policy in the year by type (#),FY23,FY22,FY21,,,Legend,,,,,,,,,,,,,,
2,,Counterparty reviews,678,498,216,,,NR = not reported due to data availability,,,,,,,,,,,,,,
3,,Transactions,340,431,402,,,,,,,,,,,,,,,,,
4,,Advisory mandates,76,112,79,,,,,,,,,,,,,,,,,
5,,Total(1),1094,1041,697,,,,,,,,,,,,,,,,,
7,,Reviews completed under the ESR Policy in the year by sector (#),FY23,FY22,FY21,,,,,,,,,,,,,,,,,
8,,Mining,249,215,135,,,,,,,,,,,,,,,,,
9,,Energy,195,192,98,,,,,,,,,,,,,,,,,
10,,Social infrastructure,87,83,17,,,,,,,,,,,,,,,,,
11,,Agriculture,80,50,31,,,,,,,,,,,,,,,,,
12,,Financial services,60,54,31,,,,,,,,,,,,,,,,,
13,,Chemicals & pharmaceuticals,54,52,31,,,,,,,,,,,,,,,,,
14,,Gaming & entertainment,53,42,41,,,,,,,,,,,,,,,,,
15,,Manufacturing,48,44,31,,,,,,,,,,,,,,,,,
16,,Defence,45,43,36,,,,,,,,,,,,,,,,,
17,,Infrastructure,33,33,64,,,,,,,,,,,,,,,,,
18,,Technology,31,41,25,,,,,,,,,,,,,,,,,
19,,Transport,31,41,37,,,,,,,,,,,,,,,,,
20,,Nuclear,27,33,22,,,,,,,,,,,,,,,,,
21,,Renewables,23,46,30,,,,,,,,,,,,,,,,,
22,,Other,33,35,25,,,,,,,,,,,,,,,,,
23,,Real estate,23,15,26,,,,,,,,,,,,,,,,,
24,,Food & beverages,12,9,10,,,,,,,,,,,,,,,,,
25,,Waste management,10,13,7,,,,,,,,,,,,,,,,,
26,,Total(1),1094,1041,697,,,,,,,,,,,,,,,,,
29,,Training attendances in the year (#),FY23,FY22,FY21,,,,,,,,,,,,,,,,,
30,,ESR and Work Health and Safety(2)(3),1078,590,144,,,,,,,,,,,,,,,,,
31,,Human Rights(3),3455,4400,1499,,,,,,,,,,,,,,,,,
32,,Total,4533,4990,1643,,,,,,,,,,,,,,,,,
35,,Footnotes:,,,,,,,,,,,,,,,,,,,,
36,,(1) PwC has provided limited assurance over the total reviews completed under the ESR Policy for the FY2023 reporting period as detailed in the PwC independent assurance report available within MacquarieÃ¢ÂÂs FY2023 Basis of Preparation for ESG Reporting.,,,,,,,,,,,,,,,,,,,,
37,,"This also sets out the reporting boundaries, metric definitions and measurement methodologies for the assured metrics. PwC did not assure the split by type or sector.",,,,,,,,,,,,,,,,,,,,
38,,"(2) Includes risk managers and those in specific business groups with greatest potential exposure to environmental, social and WHS risks. Excludes global online WHS training completions.",,,,,,,,,,,,,,,,,,,,
39,,"(3) Some employees may have attended more than one training session, in which case their attendance was counted for each session.",,,,,,,,,,,,,,,,,,,,
