Unnamed: 0,Sustainability in Our Own Business Operations,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,Emissions - Scope 1 (Direct) (tCO2e)(1),FY23,FY22(2),FY21,,Legend,,,,,,,,,,,,
,"Diesel, natural gas and refrigerant emissions",411,343,465,,NR = not reported due to data availability,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Emissions - Scope 2 (Indirect) electricity emissions (tCO2e)(1),FY25 Target,FY23(4),,FY22(2),,FY21,,,,,,,,,,,
,,Market-based,Market-based,Location-based(3),Market-based,Location-based(3),Market-based,Location-based(3),,,,,,,,,,
,Corporate offices and data centres(5),0,0,14568,0,15748,20883,22581,,,,,,,,,,
,Base buildings(5),0,0,0,0,264,1153,1153,,,,,,,,,,
,Total,0,0,14568,0,16012,22036,23734,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Emissions - Scope 3 (Indirect) upstream emissions (tCO2e)(1),FY23,FY22(6),FY21(6),FY20 baseline,,,,,,,,,,,,,
,Category 1: Purchased goods & services ,155097,147622,137072,149454,,,,,,,,,,,,,
,Category 2: Capital goods(7),,,,,,,,,,,,,,,,,
,Category 3: Fuel & energy related activities ,3862,3959,3156,4054,,,,,,,,,,,,,
,Category 4: Upstream transportation and distribution(7),,,,,,,,,,,,,,,,,
,Category 5: Waste generated in operations,187,142,147,112,,,,,,,,,,,,,
,Category 6: Business travel(4)(8),56872,14609,1805,68744,,,,,,,,,,,,,
,Category 7: Employee commuting(9),,,,,,,,,,,,,,,,,
,Category 8: Upstream leased assets(7),,,,,,,,,,,,,,,,,
,Total,216018,166332,142180,222364,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Emissions - total Scope 1, 2 and 3 upstream (tCO2e)(1)",FY23,FY22(2),FY21,,,,,,,,,,,,,,
,,216429,166675,164681,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Per capita emissions - Scope 2 indirect electricity emissions (tCO2e),FY23(7),,FY22,,FY21,,,,,,,,,,,,
,,Market-based,Location-based(3),Market-based,Location-based(3),Market-based,Location-based(3),,,,,,,,,,,
,Corporate offices and data centres(5),0,0.72,0,0.9,1.3,1.4,,,,,,,,,,,
,Base buildings(5),0,0,0,0.01,0.07,0.07,,,,,,,,,,,
,Total,0,0.72,0,0.91,1.37,1.47,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Per capita emissions - Scope 3 (Indirect) upstream emissions (tCO2e),FY23,FY22(6),FY21(6),FY20 baseline,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Category 1: Purchased goods & services ,7.7,8.41,8.5,9.7,,,,,,,,,,,,,
,Category 2: Capital goods(7),,,,,,,,,,,,,,,,,
,Category 3: Fuel & energy related activities ,0.19,0.22,0.2,0.26,,,,,,,,,,,,,
,Category 4: Upstream transportation and distribution(7),,,,,,,,,,,,,,,,,
,Category 5: Waste generated in operations,0.01,0.01,0.01,0.01,,,,,,,,,,,,,
,Category 6: Business travel(4)(8),2.82,0.83,0.11,4.47,,,,,,,,,,,,,
,Category 7: Employee commuting(9),,,,,,,,,,,,,,,,,
,Category 8: Upstream leased assets(7),,,,,,,,,,,,,,,,,
,Total,10.72,9.47,8.82,14.44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Energy use (TJ),FY23,FY22(2),FY21,FY14 baseline,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Direct energy(10),6,5,7,0,,,,,,,,,,,,,
,Indirect energy(11),146,147,156,231,,,,,,,,,,,,,
,Total,152,152,163,231,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Macquarie people(12) occupying a sustainably-rated(13) office (%),FY25 Target,FY23,FY22,FY21,,,,,,,,,,,,,
,,80,72,71,69,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Recycling rate (%)(14),FY25 Target,FY23,FY22,FY21,,,,,,,,,,,,,
,,50,51,45,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Reduction in paper use from FY19 baseline (%)(15),FY25 Target,FY23,FY22,FY21,,,,,,,,,,,,,
,,60,77,84,84,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Spend with diverse supplier groups in tiers 1 & 2 of supply chain (A$m)(16) ,FY23,FY22,FY21,,,,,,,,,,,,,,
,,17.2,16.5,12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Footnotes:,,,,,,,,,,,,,,,,,
,"(1) PwC has provided limited assurance over this metric for the FY2023 reporting period as detailed in the PwC independent assurance report available within Macquarie’s FY2023 Basis of Preparation for ESG Reporting. This also sets out the reporting boundaries,",,,,,,,,,,,,,,,,,
,     definitions and measurement methodologies for the assured metrics.,,,,,,,,,,,,,,,,,
,"(2) Previous estimates in this column have been revised to reflect actuals. FY2022 Scope 1 emissions have been revised from 351 tCO2e to 343 tCO2e. FY2022 Scope 2 location-based emissions for corporate offices and data centres have been revised from 15,741 tCO2e to 15,748 tCO2e.",,,,,,,,,,,,,,,,,
,      Emissions related to base buildings have not changed.,,,,,,,,,,,,,,,,,
,"(3) Location-based emissions include emissions based on electricity for which energy attribute certificates were purchased and which was not directly sourced from renewable sources through green energy. In FY2023, Macquarie has sourced the equivalent of 100% of our ",,,,,,,,,,,,,,,,,
,     electricity consumption from renewable sources through a combination of green energy from landlords or utilities (46.5%) and energy attribute certificates (53.5%) which have been retired or will be retired by 30 June 2022 (based on the RE100 boundary criteria).,,,,,,,,,,,,,,,,,
,"(4) Where actuals were not available for FY2023, estimates have been used and will be updated with actuals in future reports.",,,,,,,,,,,,,,,,,
,(5) Defined within section 3.1.1 of the FY2023 Basis of Preparation for ESG Reporting.,,,,,,,,,,,,,,,,,
,"(6) With the exception of category 6 (business travel), all other Scope 3 categories were not reported in prior reports and PwC has not provided limited assurance over them.",,,,,,,,,,,,,,,,,
,(7) Included in Category 1.,,,,,,,,,,,,,,,,,
,"(8) Scope 3 Category 6 (business travel) emissions have been revised to reflect updated calculation methodology for FY2022 and FY2021. FY2022 aboslute emissions have been revised from 13,887 tCO2e to 14,609 tCO2e. FY2021 absolute emissions have been revised from 524 tCO2e to 1,805 tCO2e.",,,,,,,,,,,,,,,,,
,      FY2022 per capita emissions have been revised from 0.79 tCO2e to 0.83 tCO2e. FY2021 per capita emissions have been revised from 0.03 tCO2e to 0.11 tCO2e.,,,,,,,,,,,,,,,,,
