Unnamed: 0,Unnamed: 0.1,People and Workplace(1),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
1,,Global female representation (%),FY23,FY22,FY21,,Legend,,,,,,,,,,,,,
2,,Board of Directors,62.5,50,45.5,,NR = not reported due to data availability,,,,,,,,,,,,,
3,,Executive Committee,30,30,27.5,,,,,,,,,,,,,,,
4,,Division Heads(2),25.53191489361702,26.5,23,,,,,,,,,,,,,,,
5,,Senior Executives(3),23.348300192431047,21.8,20.5,,,,,,,,,,,,,,,
6,,Women in workforce,44.0678827295361,43,42,,,,,,,,,,,,,,,
9,,Employees by contract type (#),FY23,FY22,FY21,,,,,,,,,,,,,,,
10,,Active permanent(4),19289,16804,15602,,,,,,,,,,,,,,,
11,,Contingent(5),841,735,486,,,,,,,,,,,,,,,
12,,Casual,14,17,33,,,,,,,,,,,,,,,
13,,Total,20144,17556,16121,,,,,,,,,,,,,,,
16,,Employees by contract type (#),FY23,FY22,FY21,,,,,,,,,,,,,,,
17,,Active Permanent,,,,,,,,,,,,,,,,,,
18,,Permanent - Full time,18518,16126,14946,,,,,,,,,,,,,,,
19,,Permanent - Part time,771,678,656,,,,,,,,,,,,,,,
20,,Total,19289,16804,15602,,,,,,,,,,,,,,,
23,,Employees by region (#),FY23,FY22,FY21,,,,,,,,,,,,,,,
24,,Active Permanent,,,,,,,,,,,,,,,,,,
25,,Americas,3100,2821,2599,,,,,,,,,,,,,,,
26,,ANZ,9477,7835,6946,,,,,,,,,,,,,,,
27,,Asia,4221,3937,4013,,,,,,,,,,,,,,,
28,,EMEA,2491,2211,2044,,,,,,,,,,,,,,,
29,,Total,19289,16804,15602,,,,,,,,,,,,,,,
30,,Contingent,,,,,,,,,,,,,,,,,,
31,,Americas,90,122,71,,,,,,,,,,,,,,,
32,,ANZ,626,467,291,,,,,,,,,,,,,,,
33,,Asia,26,30,42,,,,,,,,,,,,,,,
34,,EMEA,99,116,82,,,,,,,,,,,,,,,
35,,Total,841,735,486,,,,,,,,,,,,,,,
36,,Casual,,,,,,,,,,,,,,,,,,
37,,Americas,1,0,0,,,,,,,,,,,,,,,
38,,ANZ,11,15,28,,,,,,,,,,,,,,,
39,,Asia,2,2,5,,,,,,,,,,,,,,,
40,,EMEA,0,0,0,,,,,,,,,,,,,,,
41,,Total,14,17,33,,,,,,,,,,,,,,,
44,,Active Permanent employees by region \nand gender (#),FY23,FY22,FY21,,,,,,,,,,,,,,,
46,,Female,,,,,,,,,,,,,,,,,,
47,,Americas,1090,965,891,,,,,,,,,,,,,,,
48,,ANZ,4362,3528,3040,,,,,,,,,,,,,,,
49,,Asia,1891,1735,1727,,,,,,,,,,,,,,,
50,,EMEA,1012,856,771,,,,,,,,,,,,,,,
51,,Total,8355,7084,6429,,,,,,,,,,,,,,,
52,,Male,,,,,,,,,,,,,,,,,,
53,,Americas,2010,1856,1708,,,,,,,,,,,,,,,
54,,ANZ,5115,4307,3906,,,,,,,,,,,,,,,
55,,Asia,2330,2202,2286,,,,,,,,,,,,,,,
56,,EMEA,1479,1355,1273,,,,,,,,,,,,,,,
57,,Total,10934,9720,9173,,,,,,,,,,,,,,,
60,,Global return-to-work rate following primary carersÃ¢ÂÂ leave (%)(6),FY23,FY22,FY21,,,,,,,,,,,,,,,
61,,,95,96,97,,,,,,,,,,,,,,,
64,,Lost Time Injury Frequency Rate(7),FY23,FY22,FY21,,,,,,,,,,,,,,,
65,,,0.1,0.1,0.2,,,,,,,,,,,,,,,
68,,Rolling 12-month global voluntary turnover rate (%)(8),FY23,FY22,FY21,,,,,,,,,,,,,,,
69,,,11.1,14.8,7.5,,,,,,,,,,,,,,,
72,,Training courses and learning events in the year (#)(9),FY23,FY22,FY21,,,,,,,,,,,,,,,
73,,,4847,4270,2428,,,,,,,,,,,,,,,
76,,Footnotes:,,,,,,,,,,,,,,,,,,
77,,"(1) Workforce data based on total global workforce, excluding employees in operationally segregated subsidiaries and investments where Macquarie does not have a controlling interest.",,,,,,,,,,,,,,,,,,
78,,(2) Division Head refers to critical roles across Macquarie. It typically includes executives two layers down from the CEO.,,,,,,,,,,,,,,,,,,
79,,(3) Senior Executive refers to Macquarie's combined Division Director and Executive Director population.,,,,,,,,,,,,,,,,,,
80,,"(4) Active Permanent workforce includes Regular, Fixed Term and Max Term employees only.",,,,,,,,,,,,,,,,,,
81,,"(5) Contingent workforce includes the following categories: Independent Contractor/Consultant, Secondee and Agency Worker.",,,,,,,,,,,,,,,,,,
82,,(6) Measures the percentage of staff that were expected to return from parental leave in a fiscal year and have returned to the office for at least one day when their leave ended.,,,,,,,,,,,,,,,,,,
83,,(7) Lost time Injury (LTI) is an incident that results in time lost from work equal to or greater than a full day/shift. The LTI Frequency Rate (LTIFR) is the number of Lost Time Injuries resulting in a compensable claim,,,,,,,,,,,,,,,,,,
84,,"per million workhours. Data is based on total global workforce, excluding employees in operationally segregated subsidiaries and investments where Macquarie does not have a controlling interest.",,,,,,,,,,,,,,,,,,
85,,"(8) Calculation is based on a rolling 12-month basis, and is calculated using the following formula: (Total number of permanent regular departures in the last 12 months) divided by (Average number of permanent",,,,,,,,,,,,,,,,,,
86,,regular headcount in the last 12 months). Note this calculation only includes permanent regular departures.,,,,,,,,,,,,,,,,,,
87,,"(9) Measures the number of instructor-led and web-based training sessions completed globally, which is calculated as the sum of all instructor-led training (ILT) and web-based training (WBT) sessions completed",,,,,,,,,,,,,,,,,,
88,,globally as recorded in our internal learning platform.,,,,,,,,,,,,,,,,,,
