Unnamed: 0,Unnamed: 0.1,Climate Change,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
1,,Green energy assets at year end measured using 100% of generating capacity for assets managed / owned (including partially) by Macquarie (GW)(1)(2),FY23,FY22,FY21,,,,,,,,,,,,,,,
2,,In development,95,30,30,,Legend,,,,,,,,,,,,,
3,,Under construction,2,1,1,,NR = not reported due to data availability,,,,,,,,,,,,,
4,,Currently operating,14,16,14,,,,,,,,,,,,,,,
7,,"Invested, committed or arranged in green energy assets in the year ($Ab)(1)(3)",FY23,FY22,FY21,,,,,,,,,,,,,,,
8,,,2.2,2.3,3.1,,,,,,,,,,,,,,,
11,,Exposure at Default ($Ab)(4)(5),FY23,FY22,FY21,,,,,,,,,,,,,,,
12,,Coal(6)(7),NR,0.1,NR,,,,,,,,,,,,,,,
13,,Oil/gas(8),NR,1.2,NR,,,,,,,,,,,,,,,
14,,Motor Vehicles,NR,8.1,NR,,,,,,,,,,,,,,,
15,,Residential mortgages,NR,108.7,NR,,,,,,,,,,,,,,,
16,,Power and Utilities(9),NR,4.5,NR,,,,,,,,,,,,,,,
17,,Other(10),NR,44.5,NR,,,,,,,,,,,,,,,
18,,Total,NR,167.1,NR,,,,,,,,,,,,,,,
21,,Baseline emissions and interim targets,"FY20 absolute emissions (Scope 1, 2) \n(MtCO2e)","FY20 absolute emissions (Scope 1, 2, 3)\n(MtCO2e)","FY20 physical emissions intensity (Scope 1, 2) (gCO2e/MJ)","FY20 physical emissions intensity (Scope 1, 2, 3)\n(gCO2e/MJ)","2030 physical emissions target (Scope 1, 2, 3)\n(gCO2e/MJ)",,,,,,,,,,,,,
22,,Oil/gas (upstream)(12),0.51,3.88,8.3,66.2,56.3-59.6 (10-15% reduction),,,,,,,,,,,,,
