Unnamed: 0,Environmental and Social Financing,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,Private market green energy assets under management at year end ($Ab)(1),FY23,FY22,FY21,,Legend,,,,
,,25,NR,NR,,NR = not reported due to data availability,,,,
,,,,,,,,,,
,,,,,,,,,,
,GIG Progress Metrics(2),,,,,,,,,
,,,,,,,,,,
,Additional estimated lifetime green impact from GIG investments made in the year,FY23,FY22,FY21,,,,,,
,Greenhouse gas (GHG) emissions avoided (ktCO2e),NR,6720,17606,,,,,,
,Renewable energy generated (GWh),NR,12119,31705,,,,,,
,Materials recycled (kt),NR,0,1961,,,,,,
,Waste to landfill avoided (kt),NR,0,7770,,,,,,
,Energy storage capacity (MW/Mwh),NR,190/200,0,,,,,,
,,,,,,,,,,
,Further breakdown of metrics from the GIG Progress Table showing additional estimated lifetime green impact per category is set out in the following tables:,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GIG reduction of GHG emissions breakdown (ktCO2e),FY23,FY22,FY21,,,,,,
,Offshore wind,NR,0,0,,,,,,
,Waste,NR,0,1929,,,,,,
,Energy efficiency,NR,0,0,,,,,,
,Bioenergy,NR,0,0,,,,,,
,Onshore wind,NR,2359,13546,,,,,,
,Solar ,NR,4361,2131,,,,,,
,Total,NR,6720,17606,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GIG generation of renewable energy breakdown (GWh),FY23,FY22,FY21,,,,,,
,Offshore wind,NR,0,0,,,,,,
,Waste,NR,0,4448,,,,,,
,Energy efficiency,NR,0,0,,,,,,
,Bioenergy,NR,0,0,,,,,,
,Onshore wind,NR,2788,23567,,,,,,
,Solar ,NR,9331,3690,,,,,,
,Total,NR,12119,31705,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GIG recycling of materials breakdown (tonnes),FY23,FY22,FY21,,,,,,
,Ferrous metals,NR,0,90000,,,,,,
,Non-ferrous metals,NR,0,190000,,,,,,
,Paper/card,NR,0,0,,,,,,
,Glass,NR,0,0,,,,,,
,Mineral aggregates,NR,0,1680775,,,,,,
,Waste electrical and electronic equipment,NR,0,0,,,,,,
,Other,NR,0,0,,,,,,
,Total,NR,0,1960775,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GIG avoidance of waste to landfill breakdown (tonnes),FY23,FY22,FY21,,,,,,
,Biodegradable waste,NR,0,6742000,,,,,,
,Non-biodegradable waste,NR,0,1028225,,,,,,
,Total,NR,0,7770225,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GIG energy storage capacity,FY23,FY22,FY21,,,,,,
,Electrical power capacity (MW),NR,190,0,,,,,,
,Electrical energy capacity (MWh) ,NR,200,0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Footnotes:,,,,,,,,,
,"(1) Excludes private credit funds. AUM is calculated as the proportional ownership interest in the underlying assets of funds and mandated assets that Macquarie actively manages or advises for the purpose of
",,,,,,,,,
,"      wealth creation, adjusted to exclude cross-holdings in funds and to reflect Macquarie’s proportional ownership interest of the fund manager. Private Markets AUM includes equity to deploy. ",,,,,,,,,
,      PwC has provided limited assurance over this metric as detailed in the PwC independent assurance report available within Macquarie’s FY2023 Basis of Preparation for ESG Reporting. This also sets out the ,,,,,,,,,
,"      reporting boundaries, definitions and measurement methodologies for the assured metrics. Refer to the Basis of Preparation for ESG Reporting for the definition of ‘green energy assets’.",,,,,,,,,
,      This metric is first disclosed in FY23.,,,,,,,,,
,(2) This data is disclosed in the GIG Progress Report. Deloitte's Independent Assurance Report to the UK Green Investment Bank Limited on Green Impact Data within the GIG Progress Report in relation to ,,,,,,,,,
,     Green Impact Data reported for projects held on Green Investment Group’s balance sheet can be accessed at https://www.greeninvestmentgroup.com/en/progress-report/2022,,,,,,,,,
,     FY23 data will be included in our 2023 GIG Progress Report to be released by the end of this year.,,,,,,,,,
