Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the Data pack table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
64,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,Tax Policy,,,NAB,2023.0,"The Tax Policy applies to all functions of NAB, including employees, contractors and agents. The Tax Policy is reviewed regularly, and the NAB Board approves any changes. For the Tax Policy, Tax Risk is defined as an unexpected adverse financial or reputational consequence arising to NAB from adopting a position or taking an action inconsistent with NAB's key tax principles.",,,Data pack,,,,"Tax Policy, tax risk, tax principle",16,G,,Tax Transparency Report page 2,,,,,,,,,,,,,,
65,,207.0,Tax,207-04,Country-by-country reporting,NAB undertakes international related party dealings between its operations in Australia and its offshore branches and subsidiaries. All transactions are conducted consistently with the arm's length standard in line with the Tax Policy.,,,,NAB,2023.0,,,,Data pack,,,,,,,,Tax Transparency Report page 4,,,,,,,,,,,,,,
66,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,302.0,Energy,302-01,Energy consumption within the organization,"NAB's direct energy consumption in 2023 was 89,331 GJ.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
70,,302.0,Energy,302-02,Energy consumption outside of the organization,"NAB's indirect energy consumption in 2023 was 311,806 GJ.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
71,,302.0,Energy,302-03,Energy intensity,NAB supports commercial real estate owners via direct financing to upgrade their assets to improve energy efficiency.,,,,NAB,2023.0,,,,Data pack,,33,,,,,,,,,,,,,,,,,,,,
72,,302.0,Energy,302-04,Reduction of energy consumption,,Energy Savings Opportunities Scheme,,,NAB,2023.0,"In 2014, NAB's United Kingdom-based operations became subject to the Energy Savings Opportunities Scheme (ESOS), introduced by the United Kingdom ESOS Regulations 2014. The ESOS requires mandatory energy assessments (audits) of organisation buildings and transport every four years. The Group's London Branch completed its ESOS energy efficiency assessment in 2023 to prepare for its ESOS submission.",,,Data pack,,39,,"Energy Savings Opportunities Scheme, energy assessment, ESOS regulation","7, 16","E, G",,,,,,,,,,,,,,,,
73,,302.0,Energy,302-05,Reductions in energy requirements of products and services,"The Commercial Building Disclosure Program is managed by the Australian Government Department of Climate Change, Energy, the Environment and Water. It aims to improve the energy efficiency of Australia's largest office buildings by requiring energy efficiency information, including emissions data, to be provided where commercial office space of 1,000 square metres or more is offered for sale or lease.",,,,NAB,2023.0,,,,Data pack,,66,,,,,,,,,,,,,,,,,,,,
74,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,NAB supports commercial real estate owners via direct financing to upgrade their assets to improve their water usage.,,,,NAB,2023.0,,,,Data pack,,33,,,,,,,,,,,,,,,,,,,,
75,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,NAB did not specifically disclose this information.,,,NO DISCLOSURE,NAB,2023.0,,,,Data pack,,,,,,,,,,,,,,,,,,,,,,
76,,303.0,Water and Effluents,303-03,Water withdrawal,"NAB withdrew 181,331 kL of potable water in 2023.",,,,NAB,2023.0,,,,Data pack,,58,,,,,,,,,,,,,,,,,,,,
77,,303.0,Water and Effluents,303-04,Water discharge,NAB did not specifically disclose this information.,,,NO DISCLOSURE,NAB,2023.0,,,,Data pack,,,,,,,,,,,,,,,,,,,,,,
78,,303.0,Water and Effluents,303-05,Water consumption,"NAB consumed 181,331 kL of water in 2023.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
79,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,UNEP FI,,,NAB,2023.0,"NAB participated in a UNEP FI project designed to support financial institutions in understanding the role of nature scenarios (a similar concept to climate scenarios). Such scenarios can help decision-makers by establishing an agreed definition of the future status of nature, e.g., how soil quality might change and what risks and opportunities may arise for the productivity of agribusinesses as a result.",,,Data pack,,40,,"UNEP FI, financial institution, nature scenario",12,E,,,,,,,,,,,,,,,,
80,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Natural Capital Measurement Catalogue,,,NAB,2023.0,"In 2023, NAB supported the continued development of the Natural Capital Measurement Catalogue project, which included the launch of an open-access web-based interface where users can select metrics and methods for the measurement of natural capital assets, flows of services or benefits, and organisational impacts or dependencies on nature.",,,Data pack,,40,,"Natural Capital Measurement Catalogue, natural capital, organisational impact","9, 12",E,,,,,,,,,,,,,,,,
81,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Nature-related impact assessment,,,NAB,2023.0,"During 2023, NAB undertook a preliminary assessment of its nature-related impacts and dependencies. The analysis identified that the most material customer-related impacts on nature are associated with the agriculture, construction, manufacturing, mining, energy and utilities industries, and transport and storage. The highest impacts on nature across the portfolio relate to land and water use, GHG emissions and waste production.",,,Data pack,,41,,"Nature-related impact, agriculture, emissions","12, 13",E,,,,,,,,,,,,,,,,
82,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,FarmID,,,NAB,2023.0,"NAB is developing the capability to geo-locate agricultural customers' assets more accurately through its FarmID database (under development). While initially intended to support the identification of exposure to climate-related hazards, the analytical infrastructure will provide the foundation for understanding a range of nature-related risks in the future.",,,Data pack,,42,,"FarmID, agricultural customer, climate-related hazard","9, 13",E,,,,,,,,,,,,,,,,
83,,304.0,Biodiversity,304-03,Habitats protected or restored,,Greening Australia,,,NAB,2023.0,"The NAB Foundation supports primary research by Greening Australia and WWF on the efficacy of nature-based solutions for enhancing environmental resilience to fire through vegetation configuration. This multi-year project is moving to the implementation phase, which includes establishing a demonstration site.",,,Data pack,,40,,"Greening Australia, WWF, environmental resilience",12,E,,,,,,,,,,,,,,,,
84,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"NAB's scope 1 emissions in 2023 was 7,590 tCO2e.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
86,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"NAB's scope 2 emissions in 2023 was 57,320 tCO2e.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
87,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"NAB's scope 3 emissions in 2023 was 54,078 tCO2e.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
88,,305.0,Emissions,305-04,GHG emissions intensity,,Greener,,,NAB,2023.0,"NAB is partnering with cleantech start-up Greener to support the decarbonisation efforts of small business customers. Partly funded by NAB Ventures, the free 'Greener for Business' platform provides guidance, sustainability insights and a step-by-step climate action plan to help small business users understand and take practical steps aimed at reducing their carbon footprint while also giving users access to exclusive sustainability offers from leading suppliers to help save on costs.",,,Data pack,,,,"Greener, decarbonisation, climate action plan",13,E,,Climate Report page 11,,,,,,,,,,,,,,
89,,305.0,Emissions,305-05,Reduction of GHG emissions,,Climate Data Science and Engineering team,,,NAB,2023.0,"NAB has established a dedicated Climate Data Science and Engineering team. The team is responsible for developing the knowledge and skills required to understand and assess the impacts of climate change on NAB and its customers. The team has been working closely with academic, government and commercial stakeholders to accelerate the work and ensure the consistent application of science across the bank.",,,Data pack,,,,"Climate Data Science and Engineering team, climate change impact, science","4, 13",E,,Climate Report page 11,,,,,,,,,,,,,,
90,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,Transition Maturity Diagnostic,,,NAB,2023.0,"In 2023, NAB completed its work to assess the transition maturity for 100 of its largest GHG-emitting customers using a Transition Maturity Diagnostic (the ""Diagnostic""), building on the work commenced in 2021. The diagnostic was designed concerning global frameworks such as the Transition Pathway Initiative, a global asset owners' initiative that assesses companies' preparedness to transition to a low-carbon economy.",,,Data pack,,,,"Transition Maturity Diagnostic, global framework, low-carbon economy",13,E,,Climate Report page 12,,,,,,,,,,,,,,
91,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,Climate training program,,,NAB,2023.0,"NAB worked with Melbourne Business School to co-design, co-develop, and co-deliver five climate training programs for NAB colleagues across 2023 and 2024. The training comprises a climate foundations eLearn and webinar series available to all NAB colleagues and training programs for relevant bankers focusing on key sectors, including residential and commercial real estate, agribusiness and transport.",,,Data pack,,,,"Climate training program, Melbourne Business School, eLearn","4, 13",E,,Climate Report page 12,,,,,,,,,,,,,,
92,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,NAB supports commercial real estate owners via direct financing to upgrade their assets to improve their waste management.,,,,NAB,2023.0,,,,Data pack,,33,,,,,,,,,,,,,,,,,,,,
93,,306.0,Waste,306-02,Management of significant waste-related impacts,NAB did not specifically disclose this information.,,,NO DISCLOSURE,NAB,2023.0,,,,Data pack,,,,,,,,,,,,,,,,,,,,,,
94,,306.0,Waste,306-03,Waste generated,"NAB generated 1,717 tonnes of waste in 2023.",,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
95,,306.0,Waste,306-04,Waste diverted from disposal,NAB diverted 64% of its waste from landfill in 2023.,,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
