Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the Data pack table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
128,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,ESG risk assessment,,,NAB,2023.0,"In 2023, through its ESG risk assessment processes (which form part of the credit risk and due diligence process), including media scanning, NAB identified many customers with potential human rights and modern slavery concerns within their operations or supply chains. Further investigation and/or customer engagement has confirmed poor labour practices and other potential human rights concerns. NAB and BNZ have taken action, engaged relevant customers and are monitoring the actions these customers are taking to address the issues as appropriate.",,,Data pack,,50,,"ESG risk assessment, media scanning, credit risk and due diligence","8, 16","E, S, G",,,,,,,,,,,,,,,,
129,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Human rights grievance process,,,NAB,2023.0,NAB's human rights grievance process identifies how human rights issues and concerns are investigated and acted upon. One mechanism for receiving human rights-related feedback and concerns is NAB's mailbox grievances@nab.com.au. Grievances received in this mailbox are referred to the appropriate area for investigation and action.,,,Data pack,,50,,"Human rights grievance process, human rights issue, mailbox","8, 16","S, G",,,,,,,,,,,,,,,,
130,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Human rights grievance review,,,NAB,2023.0,"In 2022, NAB engaged a specialist business and human rights advisory firm to review its human rights grievance mechanism against the effectiveness criteria set out in the UN Guiding Principles on Business and Human Rights. The review identified several areas where NAB could make incremental improvements to strengthen its grievance mechanism. As a result, several small changes were made to guidance for colleagues in 2023.",,,Data pack,,50,,"Human rights grievance mechanism, human rights advisory firm, UN Guiding Principles","8, 16","S, G",,,,,,,,,,,,,,,,
131,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Modern slavery risk review,,,NAB,2023.0,"In 2023, NAB commenced an in-depth review of modern slavery risk in the renewable energy sector. As part of the review process, NAB has engaged with several relevant customers and referred to various external guidance, including information provided in the CEC Report and by other international renewable energy industry bodies, advice from NAB's internal ESG experts and other external sources and experts. Progress to date includes a portfolio review to confirm high-risk jurisdictions and activities are correctly identified and engagement with external experts to help identify where NAB can improve frameworks, guidance and risk management practices.",,,Data pack,,52,,"Modern slavery risk, renewable energy sector, high-risk jurisdiction","8, 16","S, G",,,,,,,,,,,,,,,,
132,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,Respect@NAB,,,NAB,2023.0,"A Respect@NAB training module has been added to NAB's People Leader Fundamentals program, designed to educate People Leaders on NAB's legislative obligations and to foster an environment that reduces the likelihood of bullying, harassment and other inappropriate conduct.",,,Data pack,,33,,"Respect@NAB, People Leader Fundamentals, bullying","8, 16","S, G",,,,,,,,,,,,,,,,
133,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,Cultural awareness training,,,NAB,2023.0,"NAB developed and mandated its cultural awareness training for Australian-based colleagues to help build their understanding of Australia's shared history, as well as NAB's initiatives and objectives and how these relate to the work of NAB's colleagues and their ability to support customers effectively.",,,Data pack,,28,,"Cultural awareness training, shared history, customer","8, 17",S,,,,,,,,,,,,,,,,
134,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Reconciliation Action Plan,,,NAB,2023.0,"NAB was the first Australian corporate business to achieve 'Elevate' Reconciliation Action Plan (RAP) status for its leadership in reconciliation. NAB is developing its next three-year RAP for 2024-2026. It builds on the ambition of NAB's previous RAPs and ultimately aligns with its objective to drive commercial growth in the First Nations business sector through initiatives aligned with key pillars: customers, colleagues and community.",,,Data pack,,28,,"Reconciliation Action Plan, reconciliation, First Nation","10, 17",S,,,,,,,,,,,,,,,,
138,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,NAB Neighbourhood,,,NAB,2023.0,"NAB Neighbourhood is NAB's platform to engage colleagues and community organisations in philanthropic initiatives. Colleagues can participate in volunteering, giving, fundraising and granting activities to support causes they care about.",,,Data pack,,47,,"NAB Neighbourhood, community organisation, philanthropic activity",17,S,,,,,,,,,,,,,,,,
139,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,NAB Foundation,,,NAB,2023.0,"NAB Foundation is a registered charity that uses philanthropy, social investment and in-kind support to fund social and environmental progress in Australian communities served by NAB. By funding the people and communities who make a real difference, the NAB Foundation aims to help tackle social and environmental challenges relevant to NAB, natural disasters, climate transition, indigenous economic advancement and affordable housing.",,,Data pack,,47,,"NAB Foundation, social investment, Indigenous economic advancement",17,S,,,,,,,,,,,,,,,,
140,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,NAB Foundation Community Grants,,,NAB,2023.0,"The NAB Foundation Community Grants program offers grants to local community-led projects for disaster readiness and recovery across Australia. It aims to award $1 million annually in grants of up to $10,000 each, with an additional $200,000 available for up to eight projects demonstrating potential to scale impact.",,,Data pack,,47,,"NAB Foundation Community Grants, local community, disaster readiness",17,S,,,,,,,,,,,,,,,,
141,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Disaster Relief Australia,,,NAB,2023.0,"In 2023, the NAB Foundation announced a flagship partnership, providing $1 million in funding to help Disaster Relief Australia (DRA) bolster its community and corporate volunteer capacity over the next two years. The partnership will assist DRA in recruiting and managing more than 3,000 community members on stand-by to volunteer.",,,Data pack,,47,,"Disaster Relief Australia, volunteer capacity, community",17,S,,,,,,,,,,,,,,,,
142,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Walking Together,,,NAB,2023.0,"NAB's ""Walking together"" Indigenous star illustrates the recognition of Indigenous Australians' contribution to culture and NAB's ambition to support their financial inclusion and economic aspirations. The idea came from proud Kamilaroi man and NAB colleague Kieran Cain-Hall. Marcus Lee, a proud Aboriginal descendant of the Karajarri people from North Western Australia, designed it.",,,Data pack,,28,,"Walking Together, Indigenous star, Karajarri people",17,S,,,,,,,,,,,,,,,,
143,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,,Human Rights Policy,,,NAB,2023.0,"A commitment to respecting human rights is a core foundation for NAB Group's Human Rights Policy and the codes of conduct. It is also integrated within several key voluntary initiatives. NAB is a signatory, including the Principles for Responsible Banking and the United Nations Global Compact.",,,Data pack,,51,,"Human Rights Policy, human rights, codes of conduct","8, 16","S, G",,,,,,,,,,,,,,,,
144,,414.0,Supplier Social Assessment,414-02,Negative social impacts in the supply chain and actions taken,"NAB received 13 complaints alleging discrimination filed in Courts, human rights/equal opportunity commissions, or tribunals.",,,,NAB,2023.0,,,,Data pack,,51,,,,,,,,,,,,,,,,,,,,
145,,415.0,Public Policy,415-01,Political contributions,"In 2022 (1 July 2021-30 June 2022), NAB spent $60,500 with the Australian Labor Party, $60,000 with the Liberal Party of Australia, and $33,000 with the National Party of Australia.",,,,NAB,2023.0,,,,Data pack,,23,,,,,,,,,,,,,,,,,,,,
