Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the Data pack table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
32,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,NAB Assist,,,NAB,2023.0,The NAB Assist team is the main point of contact for personal and small business customers experiencing financial difficulty. This team will tailor assistance to each customer and their circumstances.,,,Data pack,,26,,"NAB Assist, financial difficulty, small business customer",8,S,,,,,,,,,,,,,,,,
33,,2.0,General Disclosures,2-30,Collective bargaining agreements,A majority of NAB colleagues supported a new Enterprise Agreement 2024. The Fair Work Commission approved the new Enterprise Agreement 2024 in September 2023 and will commence in February 2024.,,,,NAB,2023.0,,,,Data pack,,36,,,,,,,,,,,,,,,,,,,,
34,,3.0,Material Topics,3-1,Process to determine material topics,,ESG materiality assessment,,,NAB,2023.0,"NAB's annual ESG materiality assessment is designed to identify and prioritise the ESG areas most relevant to NAB's performance, its stakeholders, and where it can potentially impact society. The outcomes guide reporting and decision-making to help NAB address the ESG topics that matter most.",,,Data pack,,24,,"ESG materiality assessment, stakeholder, decision-making",17,"E, S, G",,,,,,,,,,,,,,,,
35,,3.0,Material Topics,3-2,List of material topics,"NAB's material topics are supporting customers, managing climate change, and data security.",,,,NAB,2023.0,,,,Data pack,,24,,,,,,,,,,,,,,,,,,,,
36,,3.0,Material Topics,3-3,Management of material topics,,Accessibility Action Plan,,,NAB,2023.0,"NAB's new Accessibility Action Plan 2023 Ã¢ÂÂ 2024 was launched this year, providing a roadmap for improved inclusion and accessibility for customers, colleagues and community members. In 2023, NAB was awarded third place in the Access and Inclusion Index by the Australian Network on Disability.",,,Data pack,,27,,"Accessibility Action Plan, inclusion, accessibility","8, 10",S,,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-3,Management of material topics,,Farming for the Future,,,NAB,2023.0,"Farming for the Future is an industry-led program that helps farmers make informed decisions about sustainable long-term management of natural assets to optimise production, build resilience and reduce risks. NAB is providing opportunities for customers to be involved in the program.",,,Data pack,,40,,"Farming for the Future, farmer, natural asset",8,S,,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-3,Management of material topics,,Credit risk assessment,,,NAB,2023.0,"Detailed credit risk assessment and due diligence are conducted. It includes assessing and identifying material risk issues incorporating ESG risks. ESG-related checklists and guidance notes on various topics and sensitive sectors help guide this activity. It may include assessing a potential customer's background, character, ESG-related performance and the countries in which they operate.",,,Data pack,,55,,"Credit risk assessment, material risk issue, ESG-related checklist",8,"E, S, G",,,,,,,,,,,,,,,,
39,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"NAB generated $16,807 million in net interest income in 2023.",,,,NAB,2023.0,,,,Data pack,,106,,,,,,,,,,,,,,,,,,,,
40,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Climate strategy,,,NAB,2023.0,"NAB's climate strategy is aligned with the Group's strategic ambition to serve customers well and help communities prosper. The appointment of NAB's first Chief Climate Officer, in addition to an increased focus on banker climate training and colleagues' climate capabilities, helps support NAB's whole-of-bank approach to its climate strategy and helps achieve emissions reduction consistent with a maximum temperature rise of 1.5ÃÂ°C above pre-industrial levels by 2100.",,,Data pack,,37,,"Climate strategy, climate training, climate capability","4, 13","E, S",,,,,,,,,,,,,,,,
41,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Agri Green Loan,,,NAB,2023.0,"In November 2022, NAB launched its Agri Green Loan proposition. This loan helps agribusiness customers invest in eligible on-farm practices and projects such as solar bioenergy, establishing trees, increasing ground cover and crop or pasture diversity, improving soil and water conservation, and building drought resilience.",,,Data pack,,40,,"Agri Green Loan, agribusiness, solar bioenergy","7, 8, 13","E, S",,,,,,,,,,,,,,,,
